Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,s_hv_median,s_hv_iqr,s_spread_median,s_spread_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr,sw_hv_median,sw_hv_iqr,sw_spread_median,sw_spread_iqr,evals_standard_random,evals_sway2
0,316.494,0.0,0.012,0.0,0.0,0.0,292.90506476,0.0,4231.0516,0.0,1.03633791,0.0,150.076,0.0,0.022,0.0,0.0,0.0,136.862052,0.0,4253.1992,0.0,0.77663773,0.0,0.0,0.0
1,141.381,32.616,0.018,0.014,0.025,0.093,141.25161949,64.26941715,4281.25425,55.418725,0.79703523,0.10072173,153.56,44.626,0.021,0.013,0.022,0.066,134.98298069,22.1129679,4323.7695,66.498525,0.80382647,0.27998957,92.0,92.0
2,138.06,17.625,0.017,0.007,0.0,0.039,109.67122511,25.69169577,4314.58645,29.8399,0.78892711,0.37937925,139.368,27.589,0.013,0.014,0.0,0.0,119.53660064,26.51669473,4353.4631,25.2379,0.66640437,0.27560684,184.0,184.0
3,120.922,32.514,0.016,0.009,0.0,0.022,120.07500686,60.94209842,4325.662,24.625,0.88010427,0.20334541,139.405,23.641,0.012,0.013,0.0,0.0,110.94815749,29.14992886,4360.9834,19.8749,0.70995605,0.12362301,276.0,276.0
4,112.204,36.089,0.013,0.014,0.0,0.034,118.00534267,69.02481145,4354.9191,45.388125,0.8049699,0.05559714,111.973,37.341,0.014,0.021,0.0,0.0,106.54197755,50.99635355,4372.84325,29.503625,0.65308833,0.3635191,368.0,368.0
5,95.101,27.657,0.015,0.012,0.0,0.05,92.29785314,43.51528169,4363.33615,17.7423,0.91338803,0.12537739,92.334,33.333,0.011,0.016,0.0,0.0,69.81781214,47.69677113,4376.783,27.975825,0.61982953,0.27609713,460.0,460.0
6,96.861,26.656,0.009,0.006,0.0,0.0,81.73145936,59.5283473,4370.42925,14.303675,0.79703082,0.15131565,90.238,35.542,0.011,0.012,0.0,0.0,69.81781214,49.14639226,4376.783,29.394625,0.61982953,0.31946024,552.0,552.0
7,93.29,28.008,0.01,0.008,0.0,0.0,74.93595582,57.3330526,4379.319,14.823675,0.77385284,0.35164372,94.199,22.968,0.013,0.008,0.0,0.0,61.24443385,40.35403082,4383.8636,27.259375,0.68257796,0.19068043,644.0,644.0
8,80.672,29.185,0.013,0.016,0.0,0.037,64.74976485,58.28295848,4383.52825,38.52465,0.77821864,0.21598971,79.954,26.243,0.014,0.017,0.0,0.0,53.12475389,27.36083878,4396.00565,40.267025,0.73756798,0.18460128,736.0,736.0
9,77.833,38.894,0.01,0.005,0.0,0.0,54.14299334,70.24048653,4392.6337,34.71645,0.86653989,0.31148725,79.92,36.873,0.017,0.075,0.0,0.0,46.0940752,43.94577976,4403.31645,33.6398,0.62848223,0.26113515,828.0,828.0
10,74.144,25.258,0.01,0.004,0.0,0.0,50.78049807,63.66468931,4393.1031,34.7285,0.88184497,0.21637766,69.956,43.651,0.014,0.076,0.0,0.0,42.26057307,47.02702797,4404.3272,32.980475,0.74950423,0.2072995,920.0,920.0
11,72.959,23.773,0.009,0.002,0.0,0.014,42.69718858,61.62716593,4394.434,33.041875,0.88979665,0.21368764,53.181,42.391,0.016,0.078,0.0,0.0,28.97421029,36.78688986,4404.501,33.034625,0.69972232,0.22700936,1012.0,1012.0
12,69.795,22.134,0.009,0.005,0.0,0.0,39.42236808,61.96892352,4398.5653,43.314625,0.81043551,0.28703447,39.304,53.616,0.011,0.079,0.0,0.0,16.00974915,40.97536042,4412.3707,16.9441,0.77171458,0.18811569,1104.0,1104.0
13,79.754,24.378,0.007,0.007,0.0,0.0,42.81637501,54.11296775,4398.5653,37.58935,0.79408725,0.3140841,49.965,55.645,0.009,0.075,0.0,0.0,18.46307662,39.43728965,4417.11205,16.93285,0.71436118,0.21008211,1196.0,1196.0
14,79.201,17.719,0.007,0.007,0.0,0.0,43.47294245,46.79301315,4398.5853,37.586675,0.79408725,0.24118616,48.534,34.631,0.014,0.203,0.0,0.0,16.78239337,26.96677414,4417.11205,16.93285,0.71436118,0.15678388,1288.0,1288.0
15,71.134,29.058,0.007,0.005,0.0,0.0,37.1439883,41.72165753,4410.09055,37.104525,0.89756487,0.22250659,41.879,36.655,0.021,0.195,0.0,0.0,16.98296534,27.46914168,4417.11205,16.358425,0.81819284,0.17306163,1380.0,1380.0
16,71.241,28.202,0.006,0.004,0.0,0.0,36.97433401,40.86116396,4410.11385,37.029675,0.91028712,0.22191315,46.951,32.989,0.021,0.089,0.0,0.0,17.29375373,27.21553065,4417.11205,16.76755,0.72343631,0.13239339,1472.0,1472.0
17,61.453,51.655,0.006,0.004,0.0,0.0,32.49841807,20.81430602,4410.1317,36.185875,0.80732241,0.22460905,43.725,33.151,0.013,0.055,0.0,0.0,16.48725108,28.10544987,4417.11205,16.76755,0.77448307,0.15400086,1564.0,1564.0
18,64.214,50.719,0.006,0.005,0.0,0.0,35.89438664,20.18621549,4410.1317,36.162975,0.82140986,0.20799374,43.725,29.676,0.018,0.055,0.0,0.0,16.48725108,27.26346864,4417.11205,16.771075,0.77301594,0.15865243,1656.0,1656.0
19,64.896,49.661,0.006,0.005,0.0,0.0,37.23383648,22.60582275,4410.1595,36.124875,0.82140986,0.20763053,45.362,30.002,0.007,0.053,0.0,0.0,17.4694915,29.07648104,4417.11205,17.664325,0.79229769,0.17816934,1748.0,1748.0
20,54.558,52.126,0.008,0.006,0.0,0.0,26.59956936,23.41119881,4410.15965,36.0417,0.79407906,0.10322382,45.362,42.856,0.012,0.393,0.0,0.0,17.4694915,31.58722325,4417.11205,17.664325,0.72548883,0.21953203,1840.0,1840.0
21,56.916,50.432,0.007,0.006,0.0,0.0,28.13065645,18.92566922,4410.15965,35.660025,0.79142075,0.12948848,45.362,44.02,0.012,0.392,0.0,0.0,17.4694915,31.85680185,4417.11205,18.18265,0.76053897,0.33610809,1932.0,1932.0
22,55.368,47.874,0.007,0.012,0.0,0.0,27.00076868,15.77550325,4421.0545,35.64605,0.81485183,0.11850602,45.362,40.403,0.012,0.392,0.0,0.0,17.4694915,27.5398622,4417.11205,15.858425,0.64962166,0.34739976,2024.0,2024.0
23,55.368,47.874,0.007,0.012,0.0,0.0,27.00076868,15.77550325,4421.0545,35.6459,0.81485183,0.14213943,46.285,41.194,0.012,0.092,0.0,0.0,17.21919186,29.2331829,4417.11205,14.39285,0.74633377,0.30367798,2116.0,2116.0
24,59.449,55.871,0.007,0.006,0.0,0.0,29.04784878,24.65794024,4424.98875,36.283575,0.86252317,0.17481828,42.67,39.014,0.011,0.093,0.0,0.0,15.42200397,28.78578248,4417.11205,14.258975,0.74189167,0.26484117,2208.0,2208.0
25,55.932,55.039,0.006,0.007,0.0,0.0,27.5219451,23.29771807,4424.98875,32.3783,0.86506783,0.09581955,42.67,38.651,0.011,0.092,0.0,0.0,15.42200397,28.78578248,4417.11205,14.258975,0.74189167,0.30460865,2300.0,2300.0
26,55.932,54.073,0.006,0.007,0.0,0.0,27.5219451,16.66002908,4424.98875,32.373275,0.81485183,0.09593994,42.67,38.651,0.011,0.092,0.0,0.0,15.42200397,28.78578248,4417.11205,14.258975,0.74189167,0.29448222,2392.0,2392.0
27,56.779,55.031,0.006,0.007,0.0,0.0,27.9912421,16.66002908,4424.98875,32.3754,0.82356346,0.10260028,42.84,39.355,0.01,0.093,0.0,0.0,16.07412932,27.37480363,4417.11205,15.93455,0.71385358,0.29507363,2484.0,2484.0
28,58.07,56.161,0.008,0.373,0.0,0.0,26.88590314,18.40563209,4424.98875,32.365675,0.80306154,0.08852612,42.67,39.355,0.011,0.093,0.0,0.0,15.40544408,26.90551371,4417.11205,14.90275,0.74424254,0.32123449,2576.0,2576.0
29,58.07,54.613,0.009,0.373,0.0,0.0,26.35898036,18.63233735,4424.98875,32.3575,0.82319274,0.09349534,42.5,60.307,0.013,0.77,0.0,0.0,13.69440601,26.28706313,4419.3507,9.7943,0.75589627,0.27954262,2668.0,2668.0
