Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,s_hv_median,s_hv_iqr,s_spread_median,s_spread_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr,sw_hv_median,sw_hv_iqr,sw_spread_median,sw_spread_iqr,evals_standard_random,evals_sway2
0,50.16,0.0,15.252,0.0,140.629,0.0,57.39272001,0.0,148156501.892,0.0,0.82139758,0.0,154.19,0.0,20.338,0.0,223.06,0.0,202.18819286,0.0,124891238.191,0.0,0.79347518,0.0,0.0,0.0
1,107.802,665.301,13.608,10.006,302.85,3329.596,347.7967347,4631.54255817,148995137.997,17607948.1433,0.69678614,0.25699583,88.128,812.024,12.766,14.615,752.23,4558.555,500.50510906,6389.12107904,152814567.867,7749286.55875,0.74846479,0.52598811,92.0,92.0
2,587.58,559.939,22.521,9.363,2503.757,2681.021,3458.6668015,3528.41477489,157719893.917,17275385.4764,0.82711631,0.16109752,88.128,571.015,12.766,13.185,752.23,2815.342,500.50510906,3684.88600002,154636307.923,10624374.852,0.70442317,0.46821652,184.0,184.0
3,484.569,364.339,21.0,5.59,1874.089,1713.041,2790.70665724,2496.09507789,158586424.459,14002475.0668,0.83893624,0.24060715,501.309,374.797,22.313,7.776,2017.73,1563.03,3051.34537717,2574.41388099,157929232.674,6690273.7433,0.92577772,0.46219068,276.0,276.0
4,414.075,26.565,20.811,0.856,1785.247,514.362,2525.80456287,1017.47388663,161077382.54,7961253.33188,0.88838686,0.1455624,422.061,308.014,21.177,7.428,1706.81,1190.408,2423.80872263,1973.24128636,157929232.674,8818298.73265,0.94152856,0.22790156,368.0,368.0
5,348.987,202.279,19.882,6.326,1452.148,985.687,1820.95542296,1772.02105649,161231167.407,7227670.03122,0.89303044,0.13388853,192.273,349.536,16.313,10.282,686.595,1260.777,875.45645121,1988.62179832,163738902.941,8843040.43673,0.74637723,0.46060942,460.0,460.0
6,308.457,203.348,19.209,3.791,1203.917,1034.472,1639.5369297,1344.08268079,161598585.577,6258319.58147,0.85758494,0.1747374,29.449,217.207,10.816,7.742,151.317,688.124,105.56117801,936.17548921,163738902.941,8836784.58293,0.55920842,0.40988179,552.0,552.0
7,177.942,239.694,16.436,6.517,638.403,1074.891,770.87341843,1405.38498089,162307824.743,7641294.01285,0.77877045,0.20460641,32.619,179.997,10.816,7.204,185.896,602.557,114.54683579,811.72589342,163745442.272,9413449.06185,0.74759108,0.35339207,644.0,644.0
8,239.436,213.756,17.745,6.972,917.846,945.412,1167.159495,1190.66957006,164844186.091,7429947.93185,0.88498829,0.18457502,29.456,177.098,10.816,7.269,185.896,611.919,114.54683579,846.57033109,164920134.747,7547558.53473,0.74690075,0.36260962,736.0,736.0
9,140.821,204.244,14.11,7.405,433.914,805.113,520.73113929,1085.2636464,164844186.091,7429947.93185,0.86059696,0.34982749,29.456,12.369,9.026,2.077,170.981,168.091,114.54683579,132.22098491,164920134.747,3143121.9023,0.55872959,0.34446461,828.0,828.0
10,51.489,192.309,12.35,8.908,82.36,669.911,66.17537798,992.09469929,166032266.953,6774483.47945,0.86221906,0.22257492,33.631,9.741,9.4,2.072,155.141,172.706,114.54683579,114.42184793,164920134.747,3091574.18482,0.57440155,0.30432814,920.0,920.0
11,30.949,179.937,12.35,9.586,63.231,649.288,30.44487355,934.47232645,166955006.199,6342522.47727,0.85769918,0.16205945,32.044,9.048,9.4,2.018,155.141,160.736,114.54683579,116.19106981,164920134.747,2629358.93895,0.57440155,0.34082957,1012.0,1012.0
12,30.949,177.039,12.35,9.546,63.231,637.73,30.44487355,851.87279519,166955006.199,6342522.47727,0.85446756,0.14508823,32.044,6.931,9.612,1.831,170.981,160.736,114.54683579,100.13253716,166138883.127,2685189.7294,0.65251381,0.33810885,1104.0,1104.0
13,30.949,169.739,12.35,8.765,63.231,613.527,30.44487355,828.46985003,166955006.199,6342522.47727,0.83297302,0.14824532,31.468,8.937,9.006,1.198,179.589,155.694,114.54683579,99.2175499,166141419.646,2802052.49015,0.7190554,0.29334591,1196.0,1196.0
14,23.67,92.699,9.001,7.792,56.519,398.817,25.21792975,511.3403599,166955006.199,6043954.4808,0.75650364,0.22581064,31.468,8.937,9.006,1.198,155.141,155.694,114.54683579,82.49488895,166141419.646,2802052.49015,0.76094144,0.293317,1288.0,1288.0
15,24.945,90.773,8.439,7.787,61.937,372.442,26.70152484,436.81695177,167208972.369,6040027.8302,0.77933372,0.22489724,31.742,98.713,9.141,4.969,168.738,468.787,114.54683579,553.19928753,167251838.454,2608657.81605,0.80568329,0.18956012,1380.0,1380.0
16,23.67,89.943,7.879,7.483,61.095,362.694,26.30267965,421.7045527,168417816.116,6040027.8302,0.77770061,0.17361892,31.742,122.302,9.141,6.623,196.116,499.032,101.45092623,636.15270654,167269909.162,2608657.81605,0.80021027,0.25528463,1472.0,1472.0
17,23.67,87.35,7.879,7.483,61.095,352.263,26.30267965,380.24603288,168417816.116,6040027.8302,0.81912981,0.17698828,31.742,119.635,9.531,6.608,196.116,480.006,101.45092623,595.08088333,167377136.859,4645613.43843,0.80007249,0.25904314,1564.0,1564.0
18,17.226,21.57,7.879,6.265,61.095,35.057,24.3321194,17.2052774,168417816.116,7922120.43005,0.74785031,0.25102663,29.405,87.305,8.977,5.392,144.08,338.4,77.76186107,419.13629803,167455063.288,4649937.7574,0.72045877,0.4906247,1656.0,1656.0
19,20.164,20.044,8.121,6.265,61.095,25.149,25.54341764,17.2052774,168431111.606,7922120.43005,0.74785031,0.3190572,27.657,78.346,9.131,5.023,73.907,317.056,66.40523322,336.38734422,167557579.36,3041568.2016,0.78511158,0.16016161,1748.0,1748.0
