Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,s_hv_median,s_hv_iqr,s_spread_median,s_spread_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr,sw_hv_median,sw_hv_iqr,sw_spread_median,sw_spread_iqr,evals_standard_random,evals_sway2
0,488.624,0.0,0.513,0.0,0.305,0.0,120.56074686,0.0,89805.5104,0.0,0.75661777,0.0,486.112,0.0,0.508,0.0,0.073,0.0,74.62033817,0.0,89548.5908,0.0,0.77376601,0.0,0.0,0.0
1,550.039,82.411,0.488,0.027,0.335,0.186,168.60392739,53.38209319,90050.13075,366.10435,0.69565568,0.16079281,508.967,69.667,0.512,0.043,0.301,0.113,79.80494941,12.50813659,89806.22775,820.266475,0.68674844,0.15490299,92.0,92.0
2,450.533,92.662,0.49,0.031,0.263,0.163,148.93864328,83.7049369,90509.31985,383.379075,0.74198173,0.16722425,473.27,37.343,0.496,0.018,0.311,0.031,75.51900266,22.63937256,90615.5786,503.133075,0.73116142,0.15716225,184.0,184.0
3,443.688,101.809,0.471,0.034,0.274,0.168,132.22522907,104.49745357,90899.10015,807.701525,0.7137415,0.10307766,453.527,61.793,0.492,0.026,0.296,0.055,75.56794085,16.42264707,90967.3244,449.910125,0.72688386,0.04918004,276.0,276.0
4,375.337,31.346,0.471,0.018,0.29,0.116,81.53003767,90.42239444,91252.16515,634.63495,0.80723872,0.20103896,450.085,31.686,0.483,0.013,0.318,0.04,75.7379288,6.96522602,91099.77165,271.408175,0.68345762,0.09413749,368.0,368.0
5,327.907,50.853,0.471,0.022,0.312,0.138,90.96694793,53.68351775,91508.28015,329.16155,0.90818809,0.16528604,406.139,59.175,0.487,0.038,0.302,0.032,67.13752859,14.72902893,91310.30095,377.4621,0.66371583,0.12445373,460.0,460.0
6,293.857,28.065,0.474,0.009,0.28,0.146,77.32069825,33.7881378,91741.4672,497.587325,0.93580789,0.22705015,384.21,55.171,0.485,0.022,0.274,0.068,58.96977867,11.87745569,91481.931,444.794975,0.70295948,0.07892909,552.0,552.0
7,292.317,15.337,0.456,0.027,0.331,0.082,63.68857957,57.93888372,91862.6085,664.618175,0.89435166,0.27335486,362.594,31.234,0.481,0.012,0.281,0.09,51.70415858,18.19648424,91545.1913,328.881,0.77231261,0.02872381,644.0,644.0
8,283.273,24.03,0.46,0.023,0.317,0.183,54.55248463,35.65290284,91999.5848,488.643575,1.0015102,0.14564973,349.826,41.569,0.479,0.008,0.278,0.111,49.12582635,19.06803451,91734.2583,340.98635,0.74716401,0.20766246,736.0,736.0
9,283.57,20.169,0.459,0.027,0.311,0.19,50.50220658,56.8114161,92039.39945,628.15675,0.99760893,0.15517504,327.914,43.248,0.466,0.018,0.287,0.091,39.85405151,18.77126071,91927.50745,439.9512,0.74090492,0.18823476,828.0,828.0
10,274.699,32.529,0.45,0.034,0.344,0.156,35.74194613,54.17944904,92179.573,495.5242,0.94952348,0.15097993,316.398,33.036,0.466,0.014,0.321,0.084,36.66988822,15.56319361,92001.3692,305.348775,0.82434617,0.08521769,920.0,920.0
11,273.727,26.409,0.445,0.023,0.372,0.194,26.03139855,30.25794377,92625.53095,639.417425,0.93884825,0.09298894,299.371,22.278,0.469,0.034,0.303,0.121,36.18599088,8.60657676,92083.15685,419.257325,0.89049948,0.22036465,1012.0,1012.0
12,281.862,45.877,0.442,0.012,0.32,0.132,26.63511084,30.46683109,92766.47475,481.820425,0.933599,0.17622643,298.607,14.49,0.454,0.032,0.31,0.163,34.14346831,9.13933352,92253.08745,323.7134,0.86245273,0.2006178,1104.0,1104.0
13,259.352,33.478,0.438,0.019,0.37,0.152,21.30037241,30.19619611,92773.88535,429.756575,0.9518175,0.28102643,292.531,10.246,0.445,0.031,0.328,0.109,31.54187841,6.9364238,92256.41255,362.7281,0.82327699,0.08002573,1196.0,1196.0
14,252.443,22.728,0.442,0.019,0.348,0.151,21.7726129,28.59479993,92852.28045,413.16285,0.93437817,0.15166133,287.242,36.674,0.445,0.03,0.354,0.102,30.57221363,11.27912158,92303.2848,255.4983,0.8722503,0.11224952,1288.0,1288.0
15,253.293,27.604,0.437,0.015,0.28,0.165,18.758428,25.53430811,92948.50445,315.816875,0.84374401,0.22614139,282.546,21.207,0.438,0.024,0.358,0.069,28.85851947,9.88590178,92381.64555,516.780475,0.8271466,0.16306456,1380.0,1380.0
16,247.033,24.989,0.435,0.024,0.28,0.201,21.37373728,22.50154057,92986.36485,375.620925,0.83927207,0.27364519,283.393,23.703,0.441,0.023,0.345,0.057,28.15966284,10.05480478,92470.7106,537.049875,0.86130582,0.07592762,1472.0,1472.0
17,238.322,22.409,0.433,0.013,0.243,0.106,22.46960064,39.34743543,93100.8541,176.648775,0.91414177,0.20202123,271.827,24.331,0.44,0.015,0.318,0.074,25.60471946,12.68194449,92480.8128,615.261275,0.87035786,0.12625806,1564.0,1564.0
18,236.017,14.124,0.432,0.014,0.27,0.152,21.24372232,26.43575445,93118.07825,95.6021,0.91069617,0.24865605,267.787,26.033,0.438,0.024,0.328,0.039,22.74066895,15.02371444,92572.1993,767.3998,0.86888489,0.21505458,1656.0,1656.0
19,229.751,21.141,0.433,0.012,0.299,0.141,17.30243399,15.64372726,93143.4209,99.750475,0.98671048,0.29200348,252.162,21.068,0.442,0.028,0.291,0.1,21.39487729,9.25731555,92663.43895,783.475825,0.90396486,0.13795987,1748.0,1748.0
20,234.775,16.39,0.433,0.018,0.277,0.14,13.34490465,15.75633836,93180.9687,110.598025,0.84785525,0.16963278,244.248,19.125,0.441,0.039,0.31,0.148,17.85365761,15.94823815,92784.86905,604.5465,0.90018126,0.24865216,1840.0,1840.0
21,236.564,18.419,0.426,0.017,0.273,0.163,12.50547701,21.37514784,93181.0998,168.499775,0.79069988,0.28229055,248.861,7.815,0.44,0.021,0.313,0.117,17.33162542,14.89167619,92794.4897,590.134825,0.94928548,0.2344876,1932.0,1932.0
22,234.887,20.219,0.425,0.017,0.29,0.121,9.44528922,22.75302306,93237.6064,198.365225,0.79247365,0.25962224,245.959,12.252,0.444,0.022,0.297,0.108,15.53909925,12.93687398,92991.34085,660.90255,0.93883965,0.13851936,2024.0,2024.0
23,235.288,19.683,0.424,0.012,0.306,0.166,8.55935579,22.35408727,93267.1714,291.281225,0.85634254,0.13395534,242.007,21.564,0.437,0.016,0.292,0.06,15.13318251,14.83664334,93012.7128,602.33835,0.82815297,0.20136945,2116.0,2116.0
24,235.288,17.723,0.423,0.014,0.285,0.143,9.4429393,25.27154776,93268.68955,286.0033,0.82578308,0.13074337,243.232,12.737,0.439,0.023,0.322,0.038,12.07648406,9.64052656,93027.50325,656.657875,0.83835152,0.11815913,2208.0,2208.0
25,233.025,12.474,0.424,0.014,0.272,0.136,9.14467368,18.13119242,93415.24825,298.0,0.85609125,0.13456537,241.436,9.652,0.435,0.012,0.333,0.149,10.38317597,10.97002477,93120.69935,595.2143,0.91477747,0.10354752,2300.0,2300.0
26,231.906,15.913,0.422,0.02,0.282,0.138,9.15791841,16.05153775,93415.27775,296.04485,0.87049107,0.17766251,238.557,6.757,0.431,0.004,0.296,0.068,10.08977344,11.69580334,93249.83275,616.5888,0.85971039,0.1312232,2392.0,2392.0
27,233.025,18.124,0.419,0.015,0.258,0.135,8.33877048,13.71314467,93419.3914,265.308125,0.82937669,0.21264775,233.393,11.879,0.432,0.006,0.304,0.101,10.60464454,10.84743758,93253.37605,611.946225,0.91478931,0.1448582,2484.0,2484.0
28,232.99,19.168,0.42,0.016,0.264,0.151,8.29065499,13.8940083,93422.2613,269.92045,0.82940248,0.18995464,237.259,17.636,0.423,0.026,0.304,0.12,12.18050519,12.2080466,93327.55445,611.65545,0.88613482,0.09603467,2576.0,2576.0
29,233.87,21.163,0.416,0.018,0.328,0.144,10.1450494,12.74461511,93422.31,270.30125,0.852784,0.15326704,238.317,24.443,0.422,0.026,0.329,0.095,11.68743258,12.70382577,93330.5656,591.906175,0.91691007,0.14338312,2668.0,2668.0
30,233.837,25.547,0.416,0.012,0.331,0.161,9.99407115,10.98335526,93422.634,267.34695,0.83562917,0.11262236,241.941,24.213,0.426,0.029,0.307,0.109,10.70934368,10.95295329,93391.9876,541.35115,0.88754103,0.16382544,2760.0,2760.0
31,235.09,30.298,0.413,0.011,0.306,0.172,9.73288247,12.33356049,93423.11245,299.9147,0.84266924,0.08176131,238.983,18.295,0.422,0.028,0.319,0.086,8.48795055,10.41695888,93420.4632,577.16535,0.83067306,0.17034653,2852.0,2852.0
32,225.806,28.622,0.414,0.01,0.284,0.132,9.97877274,5.47135828,93474.87905,225.85465,0.85179829,0.04632356,238.995,18.37,0.421,0.027,0.321,0.082,7.85345961,12.15096554,93434.7578,595.68,0.84733668,0.12619895,2944.0,2944.0
33,219.12,27.411,0.416,0.012,0.243,0.079,10.60320851,5.81634633,93480.25905,217.2975,0.83286638,0.09637257,230.869,12.045,0.426,0.028,0.298,0.092,7.23449973,11.2127715,93443.4334,606.19435,0.86599021,0.17330108,3036.0,3036.0
34,218.94,23.035,0.42,0.012,0.248,0.088,10.42007458,5.78409575,93488.599,214.83965,0.85620446,0.21321324,230.444,10.801,0.427,0.021,0.279,0.035,7.02902385,12.17070832,93484.8728,417.521975,0.93654094,0.19071684,3128.0,3128.0
35,222.44,21.448,0.421,0.013,0.253,0.094,11.49215402,6.46602218,93488.915,229.594775,0.83341475,0.19857869,232.642,13.804,0.425,0.019,0.3,0.04,8.05892098,11.97878286,93484.9696,417.925675,0.92230957,0.25468813,3220.0,3220.0
36,221.012,17.992,0.419,0.013,0.259,0.084,11.48267769,9.28718194,93490.0877,169.0981,0.80661801,0.16037224,232.126,15.154,0.425,0.02,0.293,0.044,8.10593148,10.94000173,93487.2223,429.370525,0.84150493,0.35793659,3312.0,3312.0
37,222.65,19.92,0.419,0.014,0.258,0.069,10.92251936,8.16396416,93490.0936,222.59785,0.86996447,0.18002229,226.967,10.55,0.427,0.019,0.274,0.051,7.76086679,11.5722813,93487.2228,425.648725,0.8615506,0.32497706,3404.0,3404.0
38,221.288,18.507,0.42,0.013,0.254,0.063,10.78601608,8.3062865,93490.0941,222.24375,0.87400385,0.20225771,225.715,9.311,0.425,0.02,0.274,0.031,6.09669751,4.90166618,93487.22995,425.51455,0.82053155,0.28387961,3496.0,3496.0
39,221.288,14.2,0.42,0.011,0.24,0.073,10.25800445,9.62135858,93611.8963,343.9388,0.86037268,0.20511414,226.649,4.273,0.421,0.019,0.254,0.064,6.92063588,7.1096393,93528.5255,428.796925,0.83396242,0.192644,3588.0,3588.0
