Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,s_hv_median,s_hv_iqr,s_spread_median,s_spread_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr,sw_hv_median,sw_hv_iqr,sw_spread_median,sw_spread_iqr,evals_standard_random,evals_sway2
0,377.118,0.0,0.09,0.0,0.06,0.0,527.82398873,0.0,48679.1527,0.0,0.65875775,0.0,250.082,0.0,0.295,0.0,0.012,0.0,198.43203836,0.0,47033.1304,0.0,0.61354026,0.0,0.0,0.0
1,310.186,261.529,0.302,0.186,0.249,0.098,247.2136252,261.49829596,41879.58585,4231.934925,0.45729116,0.52185856,370.092,171.701,0.29,0.127,0.067,0.122,319.46937373,143.72190091,43730.942,2524.02255,0.78882689,0.2681656,2.8,3.1
2,457.036,191.631,0.179,0.073,0.049,0.22,390.89593999,257.70915076,46370.9693,416.88005,0.66507093,0.29948509,353.359,133.775,0.335,0.131,0.223,0.272,269.10842377,107.86690915,44101.20995,2724.708375,0.62469636,0.26222854,6.1,6.2
3,422.383,165.504,0.346,0.178,0.183,0.113,430.54616392,135.33138864,43812.48075,3407.264,0.53926962,0.26413377,340.213,134.067,0.207,0.178,0.134,0.176,289.78452463,124.43176646,43865.5045,2795.29855,0.61464016,0.26269632,9.6,9.3
4,438.287,261.402,0.251,0.124,0.11,0.215,372.14696876,214.86983482,44785.6027,2914.7814,0.55456069,0.16709472,442.468,260.488,0.188,0.145,0.218,0.25,409.24536249,278.08632539,45337.28585,5243.09065,0.62249521,0.37732914,13.2,12.3
5,321.125,178.353,0.276,0.066,0.124,0.087,267.91092611,162.17952985,45538.02335,3774.843775,0.71992809,0.20016061,488.994,446.75,0.207,0.092,0.05,0.194,506.10835378,375.2924657,45158.28925,1289.374,0.43013729,0.42645875,16.2,15.4
6,401.868,415.242,0.201,0.274,0.21,0.177,374.1890242,515.83469701,43982.824,4271.430575,0.5462191,0.28447169,464.957,282.396,0.16,0.136,0.114,0.216,398.81617399,254.42718131,45830.6197,2518.3748,0.69593036,0.26412122,19.3,18.4
7,375.561,160.468,0.302,0.122,0.154,0.138,342.68707572,151.93226151,43547.04265,2305.76425,0.70544713,0.30331399,421.838,252.172,0.219,0.175,0.233,0.167,473.94436304,192.52419485,43836.32665,1995.811925,0.65908231,0.30742771,22.4,22.1
8,384.314,163.437,0.266,0.11,0.262,0.265,342.81671937,207.54621883,44062.31705,1772.790775,0.57175435,0.27174967,339.769,280.947,0.283,0.099,0.042,0.211,320.8116156,468.59047743,45466.0943,4110.904475,0.64955108,0.10424008,25.6,25.4
9,451.556,211.709,0.353,0.16,0.183,0.143,388.14532185,190.68330194,42176.07195,4378.444875,0.70646795,0.24956418,449.57,266.53,0.191,0.226,0.194,0.125,375.74480929,282.54219581,45098.1219,3638.727675,0.80528721,0.18540391,28.5,28.4
10,439.187,128.864,0.285,0.106,0.183,0.306,427.2936227,179.46835774,44835.46095,3818.4077,0.66884501,0.13386595,486.781,254.876,0.222,0.125,0.096,0.057,492.41236383,202.65014114,46488.99595,2028.9356,0.5280257,0.36235489,31.9,31.9
