Generation, o25, o50, o75, n25, n50, n75 
0,5532.56190494,5842.92820125,6781.29577686,470.360405714,496.802836158,576.749401374
1,3362.93075506,4013.55938293,4467.89297377,285.513270403,340.945198554,379.653281606
2,2785.15641137,2880.90605952,3186.34231334,236.28834464,244.445974644,270.468377826
3,2198.86627298,2236.16470645,2819.19415561,186.337894515,189.515627549,239.188275126
4,1848.35407122,1864.80452025,1904.03068604,156.475133561,157.876670581,161.218641578
5,1428.1945125,1600.79287469,1797.48154541,120.67859238,135.383540183,152.140921885
6,1221.0113442,1447.06932961,1626.37915049,103.027105791,122.286679484,137.563426744
7,952.862363854,1163.10235033,1351.61242956,80.1814848406,98.0934046752,114.153990883
8,920.569232684,1129.78615469,1363.23157053,77.4301910147,95.254948321,115.143912568
9,913.512072743,1042.02390539,1195.81199798,76.8289386781,87.7778246767,100.880184661
10,872.816077325,932.778419002,1048.53181892,73.361741882,78.4703830841,88.3322825956
11,757.678296381,765.084398788,826.873929226,63.5522915639,64.1832729239,69.4475860281
12,704.284975953,705.909056231,707.914914315,59.0033145055,59.1416820741,59.3125761547
13,650.790549251,679.899450188,689.739131421,54.4457234461,56.9257288381,57.7640450138
14,599.836213371,612.052857821,645.339379778,50.1045417574,51.1453692408,53.9812974715
15,536.831650121,556.118177418,597.706219856,44.7367109034,46.3798746831,49.9230716492
16,529.937222572,574.849271471,577.540126779,44.1493229586,47.9757169428,48.2049710698
17,528.374936521,544.402884778,546.563896077,44.0162201032,45.3817611172,45.5658738627
18,430.308068232,512.694893046,517.421695553,35.6611687512,42.6803197046,43.0830314295
19,416.932671481,473.800749603,480.345786738,34.5216184765,39.3666361801,39.9242569374
20,395.377715725,433.418891886,436.875546353,32.6851902783,35.9262031286,36.2207014243
21,353.658353436,381.923341159,420.621900134,29.13080519,31.5389112916,34.8359315098
22,349.497699168,361.56921248,404.694189395,28.776327876,29.8047905503,33.4789304812
23,342.626157082,354.404127367,361.810342645,28.1908897153,29.1943432595,29.8253342359
24,315.604827841,331.697954166,361.810342645,25.8887401989,27.2598342208,29.8253342359
25,294.073750948,329.460825433,349.18899898,24.05434642,27.0692364606,28.7500273938
26,274.803383668,312.363466888,338.672747593,22.4125594332,25.6125843709,27.854069137
27,267.660180389,310.692568308,330.21012108,21.8039764198,25.4702280003,27.1330745715
28,261.510047909,313.143097763,319.765323714,21.2800005492,25.6790069671,26.2432040181
29,250.985834839,295.230220034,297.55917619,20.3833639769,24.1528746872,24.3512959136
30,245.345015166,294.359028461,294.468564565,19.9027802807,24.078651349,24.0879835505
31,247.90960969,277.293477452,278.282264441,20.1212773054,22.6247091816,22.7089513545
32,208.907404715,265.752113504,270.88705593,16.7983872092,21.6414139042,22.0788981271
33,204.738589499,264.278370166,272.790424524,16.4432146029,21.5158546661,22.24106036
34,203.125707076,250.359958961,272.753151346,16.3058010634,20.330040921,22.2378847787
35,195.474042329,250.359958961,285.844550454,15.6538984076,20.330040921,23.3532391663
36,191.352464275,237.75796945,284.942013703,15.302750289,19.2563830043,23.2763452975
37,195.419277751,212.844409465,237.726551443,15.6492326028,17.133810145,19.2537062689
38,195.419277751,201.39686388,224.595512567,15.6492326028,16.1585079569,18.1349746725
39,190.231941322,199.157852473,224.595512567,15.2072845423,15.9677497976,18.1349746725
40,188.352271364,195.276810739,224.348065865,15.0471413736,15.6370947705,18.1138928338
41,159.890405659,176.398884917,207.606264831,12.6222617615,14.0287428122,16.6875333526
42,155.933167323,188.528970262,194.490597749,12.2851149751,15.0621956768,15.5701113946
43,149.811827349,173.98300583,191.438380577,11.7635921537,13.8229159699,15.3100701426
44,149.711726416,171.744889041,183.979421821,11.7550638051,13.6322340299,14.6745855541
45,149.711726416,171.744889041,187.01692191,11.7550638051,13.6322340299,14.9333729475
46,147.764420785,184.64013388,186.199838816,11.5891582467,14.7308765654,14.8637595161
47,147.764420785,174.596820749,183.287501191,11.5891582467,13.8752114624,14.6156356509
48,148.319281639,165.143268688,166.212682737,11.6364310006,13.0697925242,13.1609039204
49,146.970646903,153.543436051,160.455430612,11.5215307018,12.081515861,12.6704004712
50,130.073110813,143.792829796,155.483223696,10.0819029843,11.2507886502,12.2467809059
51,119.167094873,139.30755641,155.483223696,9.15273776459,10.868654601,12.2467809059
52,119.250019733,136.003248972,155.468074911,9.15980275474,10.5871358903,12.2454902674
53,117.093472323,121.43754062,152.184310834,8.97607032131,9.34617405079,11.9657217995
54,117.093472323,128.546027565,140.210688038,8.97607032131,9.95179931959,10.9455991518
55,117.466976462,118.452594078,127.20047008,9.00789193768,9.09186408788,9.83716119478
56,117.466976462,124.640959638,134.78986609,9.00789193768,9.61909732112,10.4837587104
57,106.252053105,124.374806055,134.78986609,8.05240858034,9.59642170298,10.4837587104
58,96.3811932248,122.213624756,134.78986609,7.21143606202,9.41229447379,10.4837587104
59,93.773201382,119.339553606,133.348762645,6.98924169452,9.16743081627,10.3609803093
60,93.773201382,117.959755091,132.148110402,6.98924169452,9.04987544156,10.2586877478
