Generation, o25, o50, o75, n25, n50, n75 
0,461.544331662,509.320645546,556.885207735,1.93830604437,2.24246194496,2.54526978159
1,437.162818464,443.199977151,461.200330531,1.7830872654,1.82152131961,1.93611604758
2,327.846552474,371.217102996,398.002930767,1.08715271899,1.36326043389,1.53378567762
3,258.136797853,312.408466427,347.997565755,0.643363077767,0.98887002232,1.21543908296
4,194.443916495,260.694838802,315.249671937,0.237878348695,0.65964820287,1.00695784347
5,184.455504647,251.609579201,264.099129253,0.174289633825,0.6018091799,0.681320762844
6,160.192780383,234.740495968,242.539872249,0.0198270947649,0.494416399129,0.544069168962
7,154.0182858,155.194134231,171.745383128,-0.0194812739251,-0.0119955302703,0.0933738380448
8,111.3561439,118.1513108,151.772057037,-0.291079083301,-0.247819360225,-0.0337813250744
9,104.983170235,111.579299883,122.234882308,-0.331651019202,-0.289658416797,-0.221822328044
10,120.271106538,123.940242403,141.319305508,-0.234324213165,-0.210965581396,-0.100326141878
11,99.3379555488,109.426608695,123.890825919,-0.367589860387,-0.30336298447,-0.211280179028
12,88.1270121388,106.639215987,122.675008359,-0.438961515339,-0.321108219937,-0.219020376103
13,80.2334858057,98.7817717868,115.00259451,-0.48921366783,-0.37113066459,-0.267864871508
14,78.6008573965,101.363193244,111.111671424,-0.499607386469,-0.354696693355,-0.292635455905
15,71.4015320587,90.0556177576,92.6506297622,-0.545440082712,-0.426683532146,-0.410163040104
16,70.6280345299,87.7494180157,88.6306800055,-0.550364360421,-0.44136537347,-0.435755040391
17,57.4885814029,63.7992308091,69.9692084544,-0.634013388031,-0.593838223866,-0.554558611129
18,43.9807578566,67.8819974884,73.2106655848,-0.720007553379,-0.567846315422,-0.533922688585
19,39.7415859199,64.3098791884,65.7617127509,-0.746995176605,-0.590587309238,-0.581344575573
20,36.7715293571,65.5790715524,65.6569904738,-0.765903295613,-0.582507314882,-0.582011263643
21,25.0783474029,39.8972679,49.1227392168,-0.840345001115,-0.746004066387,-0.687272420751
22,23.6020104141,39.4087072194,44.0968523277,-0.849743729688,-0.74911436523,-0.719268467093
23,16.2770405181,25.3831540674,30.0158066299,-0.896376310448,-0.838404526055,-0.808911907271
24,13.8698978423,20.719873544,27.4511547727,-0.911700779602,-0.868092130059,-0.825239119062
25,13.8265316132,20.7381929737,26.9880678538,-0.911976859806,-0.867975504012,-0.8281872456
26,12.9525581507,20.7528022939,27.1109672342,-0.917540792307,-0.867882497445,-0.827404837568
27,12.8597817039,20.6875763114,26.7925771713,-0.918131430249,-0.868297742277,-0.829431787921
28,12.8419196208,20.6228196641,26.771452668,-0.918245144714,-0.868709999205,-0.829566271765
29,12.8506547364,20.5865262172,26.7119484538,-0.918189534795,-0.868941052317,-0.829945090397
30,11.6590062025,20.5885940239,25.9479178454,-0.925775865835,-0.868927888146,-0.834809099336
31,11.7438718409,20.6878897456,25.8613760445,-0.925235590067,-0.868295746877,-0.835360045971
32,11.9772722421,21.1522804534,26.0707795209,-0.923749705045,-0.865339320094,-0.834026931342
33,12.0128773416,21.1695144946,26.0665596555,-0.923523034123,-0.8652296039,-0.834053796055
34,12.0355573069,21.2286272924,26.0630685729,-0.923378647821,-0.864853277122,-0.834076021156
35,11.9409491498,21.2121408249,26.2770458365,-0.923980946888,-0.864958234076,-0.832713788659
36,11.537251209,20.4623108096,25.778481196,-0.926550988416,-0.869731838506,-0.8358877752
37,11.5497542386,20.4715281262,25.7577974475,-0.926471391019,-0.869673158776,-0.836019453089
38,11.5061293978,20.4657147447,25.7689038773,-0.926749117609,-0.869710168208,-0.835948746794
39,11.4404063108,20.389166683,25.6872352622,-0.927167527132,-0.870197492214,-0.836468669516
40,11.4368937864,20.3478568766,25.6785861746,-0.927189888736,-0.870460480719,-0.83652373176
