Generation, o25, o50, o75, n25, n50, n75 
0,6637.05531574,6914.21422477,6988.49342854,564.279507267,587.885194439,594.211571079
1,3854.80723579,3935.63105732,4162.71951487,327.314806973,334.198590192,353.539765651
2,2663.48962533,2967.57076071,3410.54377471,225.850015767,251.748675066,289.476787184
3,2000.95833813,2274.75818353,2571.47362732,169.422075699,192.74167066,218.012992336
4,1607.35013429,1900.41436454,1995.38944048,135.898375664,160.858722654,168.947771423
5,1356.68614686,1471.19970661,1825.28455716,114.549266976,124.302412845,154.459899911
6,1095.73306546,1315.78279635,1507.96383821,92.3238338202,111.065519332,127.433622275
7,1034.45198297,1116.91698054,1179.19037025,87.1045101191,94.1280726745,99.4319114062
8,939.270743499,1077.04451202,1331.08193106,78.9979023553,90.7321254823,112.368550106
9,882.526899792,964.261686649,1055.8430573,74.1650163109,81.1263866541,88.9263927737
10,825.262210428,858.920182046,1014.1622974,69.2877697238,72.1544268039,85.3764329952
11,749.409270756,836.482383494,877.368474846,62.82735764,70.2433944098,73.7256720878
12,620.823422727,671.216060665,812.739360148,51.8756717857,56.1676241936,68.2211957239
13,560.03705028,624.544297384,703.625235883,46.6984826513,52.1925795246,58.927921001
14,538.35894504,588.673145262,638.965405758,44.852153509,49.1374253588,53.4208285971
15,538.03232672,541.167775053,544.081060704,44.8243353525,45.0913821986,45.3395073985
16,468.803157849,510.468171679,536.484311471,38.9280713309,42.4766900131,44.6924905425
17,460.482879671,498.79655467,513.417529731,38.2194313505,41.482615744,42.7278875077
18,455.701981433,475.883867753,479.663098338,37.8122411628,39.5311370001,39.8530149266
19,402.360024975,421.321364933,438.983055607,33.2690946273,34.8840362541,36.3882864565
20,373.942294914,396.983998626,480.832484521,30.8487501097,32.8112172432,39.9526118131
21,350.628998422,371.677733212,413.455094352,28.8631513574,30.6558768756,34.2140642037
22,336.175810002,361.348208749,413.617768277,27.6321700201,29.7761089333,34.2279191788
23,335.089069109,361.348208749,389.906723692,27.5396120516,29.7761089333,32.2084441312
24,328.520301457,337.834061881,351.204937304,26.9801486202,27.7734037089,28.9122042027
25,315.039729202,329.329782026,338.171246165,25.8320052223,27.049092264,27.8021217709
26,301.828386778,322.884703407,329.437202267,24.7067921903,26.5001634555,27.0582412703
27,271.731351766,287.72402294,289.032671385,22.143420889,23.5055203218,23.6169782068
28,272.838457125,275.635047705,279.331043109,22.2377133035,22.4758995579,22.7906883251
29,271.101286936,274.859826419,286.388374959,22.0897581244,22.409873785,23.3917628801
30,255.474082681,257.068330188,274.430131972,20.758785592,20.8945680139,22.3732766115
31,241.07919094,247.895434866,270.437177145,19.532769396,20.1133104379,22.0331957428
32,222.615916581,243.379585499,270.437177145,17.9602481293,19.7286945226,22.0331957428
33,224.664724399,246.613348463,250.874423919,18.1347455561,20.0041148481,20.3670316116
34,223.015671059,230.501032669,248.272890971,17.9942953089,18.6318252558,20.14545846
35,219.354909105,225.442020293,247.335877183,17.6825073827,18.2009480238,20.0656527831
36,209.166597281,215.87473396,257.221694758,16.8147665528,17.3861000759,20.9076301091
37,199.181938685,209.543792526,242.079760388,15.9643709145,16.8468923573,19.617988123
38,199.826085954,209.893195268,214.719040982,16.0192330836,16.8766510682,17.2876694427
39,199.234737405,207.366667581,208.971343012,15.9688677934,16.6614661318,16.7981367024
40,173.114829389,206.403977723,206.593193212,13.7442293008,16.5794736182,16.5955891442
41,149.589192206,201.897468339,204.194563009,11.7405454437,16.1956531913,16.3912972656
42,141.355509341,196.725519458,201.101065597,11.0392808057,15.7551571316,16.1278233891
43,135.99724898,183.606213234,193.073042276,10.582916555,14.6377828435,15.4440748212
44,135.99724898,184.165676051,190.419172649,10.582916555,14.6854324186,15.2180441428
45,132.66179493,179.978973982,181.627058443,10.2988351767,14.3288500534,14.4692177809
46,139.456792325,174.83073045,175.474474525,10.8775666467,13.8903729836,13.9452008125
47,129.087506591,163.640003324,173.349394615,9.99441222784,12.9372562149,13.7642072744
48,128.340585157,164.316848915,172.427137737,9.93079675982,12.9949033075,13.6856584468
49,127.315090173,152.730273982,167.470683338,9.84345511934,12.0080720914,13.263516101
50,127.235961513,152.730273982,167.368514072,9.83671571335,12.0080720914,13.2548143214
51,128.284002816,160.795589866,166.76291484,9.92597762901,12.6949968753,13.2032352974
52,116.340141376,160.546343712,161.881969078,8.90871623994,12.6737685238,12.7875240393
53,111.337052436,160.909726525,164.920424144,8.48260201965,12.7047179204,13.0463099467
54,108.417674901,160.909726525,162.981598378,8.23395797254,12.7047179204,12.8811797163
55,97.9869333996,152.106121163,156.084059553,7.34556935202,11.9549128541,12.2937147694
56,95.529036788,152.106121163,154.485701469,7.13622973989,11.9549128541,12.1575822487
57,92.834746991,146.148605236,147.80953144,6.90675646651,11.4475098708,11.5889713325
58,91.721176116,146.148605236,146.697764458,6.81191338241,11.4475098708,11.4942818863
59,95.6704187678,144.7238162,146.148605236,7.14827127519,11.3261602652,11.4475098708
60,95.6704187678,130.380448099,151.736673143,7.14827127519,10.1045323494,11.9234468824
61,93.7276276218,130.380448099,143.124202764,6.98280331244,10.1045323494,11.189920826
62,91.726116967,128.493956985,129.779205208,6.81233419581,9.94385947316,10.053324356
63,93.2406308732,127.27687333,128.91307821,6.94132568886,9.84020018212,9.97955612304
64,93.2406308732,118.089992044,129.858157545,6.94132568886,9.05775141843,10.0600487444
65,90.371951576,117.747254958,128.412113885,6.69699962218,9.02856042302,9.93688887776
66,84.4373083341,116.515074527,127.057463698,6.19154471063,8.92361533608,9.82151301395
67,84.4373083341,112.786380407,124.694660729,6.19154471063,8.60604161184,9.620272549
68,86.5802338866,110.443287971,124.694660729,6.37405816619,8.40647989736,9.620272549
69,84.4517291732,108.925790639,122.349490949,6.19277293677,8.27723430522,9.42053390662
70,84.4517291732,100.892137094,116.598894446,6.19277293677,7.59300620988,8.9307542976
71,83.9154181804,90.8737436868,97.7033916472,6.14709520781,6.73973737012,7.32142003663
72,83.9154181804,89.1511704265,95.7342489915,6.14709520781,6.59302541467,7.15370770983
73,83.1441565766,83.5279927959,93.3736559241,6.08140668201,6.11409809991,6.95265546263
74,80.1463744685,83.5279927959,92.2244813069,5.82608489963,6.11409809991,6.85477999972
75,77.1735847341,83.5279927959,92.2244813069,5.57289172339,6.11409809991,6.85477999972
76,76.919773112,83.5279927959,91.7557638112,5.55127452994,6.11409809991,6.81485922426
77,67.7175385772,82.4574314162,95.9001015996,4.76751812652,6.02291814427,7.16783341409
78,67.7175385772,81.6585061977,86.7414538012,4.76751812652,5.95487350213,6.3877893029
79,64.8132443174,81.6585061977,86.7414538012,4.52015872539,5.95487350213,6.3877893029
80,64.8132443174,75.5550491582,100.519976266,4.52015872539,5.43504068112,7.56130918774
81,64.8132443174,75.5550491582,89.242113576,4.52015872539,5.43504068112,6.60077106334
82,62.7697021087,73.7880146431,83.8353713124,4.34610977178,5.28454195051,6.1402775979
