Generation, o25, o50, o75, n25, n50, n75 
0,5910.89061427,6533.6991861,6907.05622836,705.44604001,779.881633217,824.503775839
1,3680.28511009,3754.20004042,4151.87835425,438.852978476,447.686995756,495.215919625
2,2842.99612218,2946.44007637,3254.38246951,338.783542505,351.146750788,387.950795793
3,2053.25958662,2197.78911913,2287.07943122,244.397385731,261.670978252,272.342599756
4,1742.45522589,1817.05890127,1900.31145584,207.251289789,216.167623127,226.117635965
5,1445.83796596,1660.0304884,1729.14077525,171.800779477,197.400214342,205.659999823
6,1269.89944812,1276.44680737,1322.39042436,150.773310466,151.555824697,157.046822315
7,1106.2281227,1199.91596061,1219.72212034,131.211967303,142.409163531,144.776316643
8,877.351240303,1036.97761334,1121.13601472,103.857516381,122.93542299,132.993699021
9,857.536580164,935.35325143,1082.7230332,101.489347334,110.789685109,128.402732879
10,790.61509828,803.726696693,886.266333362,93.4911590825,95.0582049613,104.923012699
11,725.909003194,743.37093545,754.359926772,85.7577450133,87.8447254192,89.1580857755
12,623.138898256,629.781086615,647.45041932,73.4750725021,74.2689203279,76.3806884072
13,567.190903691,580.975932636,716.134908424,66.78839163,68.4359232365,84.589584241
14,559.083873661,589.428633785,602.867344357,65.8194717778,69.4461563205,71.0522973381
15,559.579017317,572.201925672,579.298597254,65.8786493701,67.3872889648,68.2354548104
16,556.02183309,556.534007233,566.608335954,65.4535089174,65.5147219256,66.7187654607
17,451.539072779,519.62507168,543.563623035,52.9661466758,61.1035133508,63.9645534059
18,355.646227522,399.813905722,459.101696138,41.5054167761,46.784161283,53.870001217
19,338.567315708,428.0683075,470.341950281,39.4642134438,50.1610145444,55.2133915023
20,327.19236407,408.353583781,416.628652691,38.104724652,47.8047894998,48.793792688
21,304.882988258,387.149813261,398.190120546,35.4383971514,45.2705995284,46.5900929637
22,286.957972503,317.871389651,361.066786242,33.2960708552,36.9907190144,42.1532603064
23,279.124722532,308.59537251,317.479962038,32.3598721022,35.8820864911,36.9439371494
24,266.195799677,280.718130106,317.479962038,30.8146588764,32.5503098118,36.9439371494
25,244.78044618,275.771126755,308.398072825,28.2551813526,31.9590637281,35.8585060207
26,239.853704557,273.416533945,311.990342643,27.6663568696,31.6776521988,36.287839763
