Generation, o25, o50, o75, n25, n50, n75 
0,255.014998367,260.320750352,285.766941727,15.6463930205,15.9927319942,17.6537609737
1,172.437140267,199.119114459,217.630315335,10.2560297496,11.997725853,13.2060654684
2,129.527779084,148.776272607,153.576142959,7.4550725703,8.71153979881,9.02485677565
3,117.232283566,117.622213486,131.276319111,6.65247016615,6.67792328356,7.56921050212
4,80.6883158387,83.4615051516,101.684959382,4.2670212584,4.44804433359,5.63760096063
5,68.6397750463,70.7439614364,77.1448442981,3.48053910387,3.61789225511,4.03571713787
6,39.5164478676,41.3477013275,51.9270341348,1.57948091755,1.69901806246,2.38959600075
7,53.7734712004,54.055601885,54.952615128,2.51012427273,2.52854067289,2.58709422889
8,44.7498103371,46.9683350734,48.6960646198,1.92109458359,2.06591129995,2.17869080408
9,37.0774940361,43.2683676995,46.8252753653,1.4202754422,1.82439173654,2.05657291537
10,33.3757264348,35.7649055721,38.0270360239,1.1786383669,1.33459474268,1.48225787154
11,31.9834116637,32.4650682466,33.8311874825,1.08775344234,1.11919412164,1.20836910295
12,27.6171100856,30.4270960418,32.084317571,0.802738158613,0.986163176391,1.09434018979
13,25.1611646971,30.4672343031,31.6061220315,0.642423540115,0.988783246882,1.06312543403
14,27.2993596552,27.3167172035,29.730911382,0.781996639166,0.783129672806,0.940718933751
15,24.0416469138,25.9021846651,28.4363629467,0.56934574809,0.690794458304,0.85621581756
16,21.9859884232,24.8101996865,26.0389051639,0.435160310487,0.619513901312,0.699719043809
17,22.322676469,22.6836594985,25.4063906451,0.457138004238,0.480701580583,0.658430941779
18,20.7461975863,21.4911430342,27.2699716559,0.35423155859,0.402858716924,0.78007830421
19,19.5163543509,21.3953566351,28.3355300942,0.273952147646,0.396606151173,0.84963383884
20,17.6751713076,20.7116080946,21.5802999107,0.153766837929,0.35197369032,0.408678533079
21,17.2615523436,19.34110866,21.2308843628,0.126767391307,0.262512786572,0.385870037205
22,16.5826271957,18.9224117372,21.068822981,0.0824497828751,0.235181870437,0.375291296851
23,15.5344253314,19.5699210134,20.9580286309,0.0140272182796,0.277448772248,0.368059070089
24,15.6316488047,19.6663548896,20.2032691676,0.020373590679,0.283743602804,0.318791290768
25,14.0501853922,19.4287668973,19.8414580972,-0.0828582258041,0.268234777351,0.295173663118
26,15.0048669835,18.5427909227,19.1798074808,-0.0205403030164,0.210401691559,0.251983669302
27,14.1852681873,16.5050835462,17.0980852869,-0.0740405432705,0.0773880332712,0.116096893929
28,14.1520830266,16.2548406347,18.0877944618,-0.0762067422428,0.061053143632,0.180701281933
29,13.2943877597,13.4739448683,15.6437068747,-0.132193772791,-0.120472979041,0.0211606948669
30,13.3576551479,13.474268787,15.8412228393,-0.12806392233,-0.120451834877,0.0340537732931
31,13.5390726365,13.7807899436,14.2546547099,-0.116221690163,-0.100443319012,-0.0695112593726
32,12.5326359042,13.5922406282,14.4694368948,-0.181917988433,-0.11275108925,-0.0554911088423
33,12.6094414542,13.7387618547,14.7793580956,-0.176904419118,-0.103186750145,-0.0352606512385
34,12.7148072433,13.2589872404,14.748505327,-0.17002654782,-0.134504581808,-0.0372746006692
35,12.6546429856,13.0743894791,15.0816851596,-0.173953837924,-0.146554409875,-0.0155259095143
36,12.6685355985,13.7956371313,15.0282010939,-0.173046981879,-0.099474152004,-0.0190171425129
37,11.9658875277,15.1930074016,15.4659219679,-0.218913130993,-0.00825922400898,0.00955558359612
38,10.3153874898,14.6588487335,14.6881731204,-0.326651391432,-0.0431270364201,-0.04121285383
39,10.8146386874,13.6093329968,16.2149792375,-0.294062203722,-0.111635365519,0.0584511457536
40,9.8645170458,11.7997710931,16.8003111437,-0.356082470627,-0.229756569517,0.0966593492769
41,9.76743771801,11.4678546383,14.619502974,-0.362419433766,-0.251422792253,-0.0456953754594
42,9.62646141445,11.533957313,13.7523109694,-0.371621821746,-0.24710786525,-0.102302316328
43,9.72730817947,11.418897144,12.8736259891,-0.365038934872,-0.25461854818,-0.159659474206
44,9.44370361276,11.1976002896,11.7693468203,-0.383551544366,-0.26906395114,-0.231742548398
45,10.0537283106,10.6979406121,11.2413441377,-0.343731490891,-0.301679802841,-0.26620852188
46,10.7989660209,11.3704828673,11.6311665688,-0.295085254791,-0.257778844953,-0.240762420916
47,10.6138208081,11.8307830947,11.9375832915,-0.307170818374,-0.227732225966,-0.220760722086
48,11.0776850515,11.2817980534,11.3819449113,-0.276891554199,-0.263567846687,-0.257030647046
