Generation, o25, o50, o75, n25, n50, n75 
0,6335.48042349,6467.51748085,7044.91176064,876.203866963,894.485577197,974.43097378
1,4871.72366493,5068.59630946,5077.42638687,673.533666272,700.792442803,702.01504591
2,3228.11965741,3284.54575173,3331.26684967,445.962007174,453.774704054,460.243657478
3,2499.94650171,2777.376974,2804.52495114,345.139928136,383.552655639,387.31153562
4,2025.32364774,2147.47694025,2173.17044032,279.424153638,296.337368326,299.89486296
5,1657.44557198,1677.67734505,2008.60882591,228.488147359,231.289417096,277.109837222
6,1390.46495389,1489.54381728,1512.92141422,191.522295531,205.240649357,208.477486513
7,1281.30662373,1389.04968276,1439.9659114,176.408349481,191.3263386,198.37614535
8,946.880558097,1019.49536118,1263.52230655,130.104072871,140.158241112,173.945951879
9,993.680382786,1017.55088028,1083.92611453,136.583926717,139.889010359,149.079254549
10,719.254287373,876.366685977,917.948449809,98.587182035,120.340797292,126.098163994
11,671.892115828,676.171400372,879.260720123,92.0294662424,92.6219714194,120.741502176
12,643.825018605,651.960265988,694.673501526,88.1433258753,89.2697235573,95.1837526252
13,607.885059686,671.475024771,706.295274831,83.1671174688,91.9717162592,96.7928909703
14,554.187840486,623.294464768,673.41924127,75.73225773,85.3006872729,92.2409104034
15,469.507675759,541.41486761,599.355965208,64.0075323755,73.9637255192,81.9861881379
16,396.371664677,458.187675257,587.588877874,53.8811982308,62.4401771711,80.3569297671
17,377.620162036,517.54489267,567.001398851,51.2848851609,70.6587142301,77.5064093642
18,381.293265521,423.804685914,538.682484016,51.7934591546,57.6795451127,73.5854025989
19,367.055578252,428.114824094,511.151600324,49.8221241501,58.2763222513,69.773505786
20,319.465600044,400.60079319,462.454457982,43.2328664897,54.4667588572,63.0309513596
21,311.757267207,362.168715057,398.679660546,42.1655789408,49.1454942807,54.2007608789
22,307.163529152,360.603783292,406.454672543,41.5295348658,48.9288154964,55.2772807532
23,304.223600658,342.591362807,408.265506007,41.1224754999,46.434834954,55.5280068246
24,337.537704853,344.246845981,389.798397615,45.7351108599,46.6640513897,52.9710706793
25,322.055705445,347.898759842,374.36060965,43.5914897229,47.1696914907,50.8335710116
26,266.781237122,324.509486267,378.445595434,35.9382457515,43.9312376002,51.3991737893
27,256.05094536,324.468933687,357.043621412,34.4525409906,43.9256227333,48.4358792769
28,258.335444822,315.950783997,368.132521776,34.7688503513,42.7462088059,49.9712366026
29,256.771930754,304.804984388,326.2122321,34.5523678599,41.2029732715,44.1669979735
30,217.882273112,259.114385411,287.218395678,29.1677473121,34.876701635,38.7679529428
31,205.189713234,266.025517133,280.108446914,27.4103489993,35.8336095673,37.7835170149
32,208.50502868,263.394675153,294.231042086,27.8693840425,35.4693459907,39.7389164902
33,184.739365106,261.746120197,275.240538999,24.5788155939,35.2410888286,37.1095116733
34,154.360058074,253.953998316,290.282441894,20.372529121,34.1621999379,39.1921975162
35,152.548723706,204.188432736,290.282441894,20.1217336951,27.2717127687,39.1921975162
36,149.865342788,202.072130045,268.984369366,19.7501956332,26.9786917537,36.2432890938
37,148.229023741,152.252597349,250.698801287,19.5236326419,20.0807323553,33.7114888268
38,147.078008409,150.680780288,241.593845136,19.3642642857,19.8631002402,32.4508263022
39,123.406194616,150.281339749,234.160283413,16.0866901779,19.807794129,31.4215832689
40,122.940192946,148.77417003,229.940533887,16.0221680834,19.5991130161,30.8373212471
41,110.566451266,144.529626647,225.325581826,14.3089129985,19.0114180631,30.1983399033
42,109.776231849,146.817487699,215.299274442,14.1995000602,19.3281928659,28.8101080692
43,102.852510966,152.032147589,210.270806445,13.2408490462,20.0502091164,28.1138717498
44,123.646935963,154.855542215,227.38966604,16.1200229683,20.4411333271,30.4841308037
45,114.954663472,148.462131487,224.151837422,14.9165001835,19.555908492,30.0358245043
46,102.080962612,148.29698192,182.59551862,13.1340212834,19.5330420589,24.2819808944
47,105.158483368,131.422715233,174.775168748,13.5601315272,17.1966490784,23.1991835863
48,105.158483368,131.422715233,173.460204475,13.5601315272,17.1966490784,23.0171150345
49,114.299381547,130.589523717,173.460204475,14.8257705466,17.0812862691,23.0171150345
50,106.812510845,129.229857538,165.524125704,13.7891464088,16.8930283391,21.9182940262
51,105.127460208,122.826434274,129.739317496,13.5558360937,16.0064171789,16.9635676219
52,105.127460208,116.78480589,127.033793829,13.5558360937,15.1698997521,16.5889636986
53,105.462636367,117.334643736,167.94678011,13.6022442274,15.2460297143,22.2537321732
54,92.2983029643,104.096630564,121.653127726,11.7795246552,13.4131085197,15.8439624048
55,101.465259947,103.16915368,123.744183267,13.0487717487,13.284691059,16.1334877263
56,80.4508306455,100.366519071,149.438596716,10.1391362652,12.8966412581,19.6911088268
57,79.9986443432,100.366519071,123.057736349,10.0765270317,12.8966412581,16.0384430176
58,79.1663419206,100.366519071,121.44910797,9.96128732536,12.8966412581,15.8157140468
59,78.7655129962,79.6831940763,119.751539851,9.9057889797,10.032850124,15.5806705744
60,76.7393498258,78.7655129962,119.04650803,9.62524858665,9.9057889797,15.4830526198
61,76.7393498258,77.7143247053,114.001670388,9.62524858665,9.76024256931,14.7845497768
62,74.2172389067,77.7143247053,114.235191722,9.27603979689,9.76024256931,14.8168828918
63,74.2172389067,77.7143247053,114.032333812,9.27603979689,9.76024256931,14.7887954018
64,74.2172389067,76.7378567945,114.38727413,9.27603979689,9.62504186312,14.8379400599
65,76.6481285245,86.1199700684,107.988613365,9.61261818249,10.9240792674,13.9519883103
66,78.3140915131,83.4495432883,101.190708613,9.84328564228,10.5543348216,13.0107576636
67,78.3140915131,81.1967936396,101.190708613,9.84328564228,10.2424215063,13.0107576636
68,77.1854153753,80.0828503445,103.492573128,9.68701034721,10.0881861049,13.3294713709
69,75.3080332974,77.7240812331,109.07049237,9.42707002565,9.76159344775,14.1017841242
70,75.3080332974,77.7240812331,108.030668799,9.42707002565,9.76159344775,13.9578112608
71,73.5370738393,75.2094682184,100.835721318,9.1818648666,9.41342280985,12.9616065011
72,71.2866959103,75.2094682184,97.5543364424,8.87027993704,9.41342280985,12.5072694486
73,72.7257889623,74.0213302605,97.5543364424,9.06953522721,9.24891449455,12.5072694486
74,64.8953934612,66.034547819,84.4818037489,7.98534701191,8.14307311016,10.6972605048
75,63.8502806592,64.2182453423,84.4818037489,7.84064180725,7.89158980509,10.6972605048
76,61.5590965684,64.2182453423,94.7839244872,7.52340690003,7.89158980509,12.123681162
77,64.2182453423,66.1842319474,94.4650843202,7.89158980509,8.16379821504,12.0795348923
78,60.9541369571,63.391694916,94.4650843202,7.43964483701,7.77714651402,12.0795348923
79,59.8996622268,63.5557719366,94.4650843202,7.29364338974,7.79986444341,12.0795348923
80,59.8996622268,63.2228380577,88.0409911479,7.29364338974,7.75376677339,11.1900617986
81,58.8038013089,62.7002975475,77.1715493976,7.14191165503,7.68141637128,9.68509047871
82,58.8038013089,62.1577503994,84.0567822533,7.14191165503,7.6062958714,10.6384124815
83,58.5258768162,62.1577503994,84.0567822533,7.103430526,7.6062958714,10.6384124815
84,56.721675546,61.389811235,84.0567822533,6.85362274108,7.49996783318,10.6384124815
85,55.4568531333,61.389811235,83.1243155163,6.67849677788,7.49996783318,10.5093041309
86,53.8282731769,61.389811235,72.1843247185,6.45300533289,7.49996783318,8.99456466512
87,50.1198007366,59.1993663283,62.3100321889,5.93953419137,7.19668116602,7.62738064568
88,49.5897704528,62.3100321889,62.4917081228,5.86614676319,7.62738064568,7.65253530185
89,48.037776168,49.5897704528,56.6609859275,5.65125928866,5.86614676319,6.84521972118
90,49.0279238883,51.5096654642,56.6609859275,5.78835408669,6.1319733802,6.84521972118
91,47.1808976061,48.770641342,56.6609859275,5.53261679625,5.75273101956,6.84521972118
92,47.1808976061,48.770641342,56.6609859275,5.53261679625,5.75273101956,6.84521972118
93,47.1808976061,48.7022527326,56.3348730904,5.53261679625,5.74326200559,6.80006648533
94,47.1808976061,48.1206514321,56.3348730904,5.53261679625,5.66273410939,6.80006648533
95,47.4739263804,47.8746344279,55.2574504372,5.57318924803,5.6286708572,6.6508876931
96,45.4683155854,47.4739263804,54.5968141314,5.29549451497,5.57318924803,6.55941669432
