Generation, o25, o50, o75, n25, n50, n75 
0,2588.9469256,2658.51056441,2700.95527839,11.7380895757,12.0803553261,12.2891910359
1,2010.68368922,2309.24345585,2470.79966224,8.8929293175,10.3618976511,11.1567835594
2,1883.97575979,2031.91754926,2132.6973575,8.26950326764,8.99740376946,9.493258749
3,1788.88285226,1837.15221213,1939.79012857,7.80162887358,8.03912290008,8.54412010979
4,1629.06711474,1665.96778097,1810.55330851,7.01530638857,7.19686437541,7.90825145826
5,1459.16021074,1522.01531279,1523.2848116,6.17933352975,6.48859205967,6.49483822461
6,1346.92175185,1467.06841054,1502.61375827,5.62709990569,6.21824331055,6.39313288398
7,1296.01094596,1462.25737867,1485.92212377,5.37660948453,6.19457215909,6.31100700752
8,1022.22506144,1286.57138761,1348.64292537,4.0295331551,5.3301651412,5.63556839238
9,924.736210557,1211.00482411,1447.76513831,3.54987028412,4.95836390989,6.12326770162
10,901.064896234,1200.71145233,1429.08510618,3.43340311393,4.90771864926,6.03135854732
11,938.479592805,1106.21906512,1364.4960494,3.6174902235,4.44279892435,5.71356864485
12,805.106348128,861.70549037,1264.24163811,2.96126961083,3.23974768106,5.22029871386
13,789.155996406,837.865533506,1175.62782055,2.88279098039,3.1224507589,4.78430262039
14,720.135813463,777.635503795,1066.61321537,2.5431991316,2.82610806218,4.24793094275
15,606.26123852,697.197196984,966.827874812,1.98291551912,2.43033696801,3.75696892503
16,512.405886198,581.059925383,960.138157551,1.52113012166,1.85892047658,3.72405429984
17,492.417939004,547.295179215,988.363686453,1.42278578741,1.6927917866,3.86292903378
18,493.237730084,527.518096684,865.9001729,1.42681930858,1.59548494483,3.26038628175
19,437.23465254,450.865437035,841.306101255,1.15127398503,1.21833992298,3.13937897776
20,431.352231495,449.017684408,814.868105075,1.12233140399,1.20924864411,3.00929922981
21,377.599493338,427.906760529,756.125942578,0.857858159363,1.10537906041,2.72027711029
22,379.165049055,410.222576789,839.646135791,0.865560978124,1.01836966121,3.13121164588
23,384.355282669,394.322882418,760.62629579,0.891097871154,0.940140274147,2.74241966631
24,344.128171646,350.142320082,747.292250401,0.693173171147,0.722763874896,2.67681373871
25,328.665602918,388.714857988,723.187992238,0.617094521722,0.912547774345,2.5582164061
26,313.315348449,338.194944839,685.895019104,0.541568478873,0.663980616525,2.37472819797
27,312.159634213,331.880346141,649.577117648,0.535882154711,0.63291164286,2.19603751978
28,310.712544938,336.723395022,599.916836058,0.528762212379,0.65674032388,1.95169990551
29,297.162550568,383.636364514,598.362447138,0.462093776529,0.887560663124,1.94405202942
30,296.664069096,327.764637746,577.063142687,0.459641157057,0.612661609272,1.83925557905
31,267.349328945,345.597346935,603.130311285,0.31540730574,0.700401780681,1.96751078788
32,275.596351869,358.859273541,558.311520449,0.355984157935,0.765652870764,1.74699418837
33,312.450765707,358.220252914,445.639042081,0.537314574593,0.762508773094,1.19262510959
34,289.215061037,364.962298766,379.464435118,0.422990683083,0.795680864473,0.867034011986
35,276.298449267,330.989694034,363.694833879,0.359438604781,0.628529472563,0.789444706787
36,268.412043048,329.551485514,372.615325116,0.320636052342,0.621453225159,0.833335145526
37,229.39393614,305.489945393,353.549542853,0.128659872389,0.503066073085,0.739528030406
38,228.13725277,339.895383423,346.826884768,0.122476761728,0.672347083516,0.706451330366
39,248.299645507,324.064816782,367.593084938,0.221679399762,0.594457817456,0.808624810748
40,252.69885836,313.857069215,386.8435947,0.24332432683,0.544233843535,0.903340818753
41,225.395794004,315.953516425,390.720038832,0.10898828617,0.554548744969,0.922413628667
42,219.804433603,276.995439595,384.071610498,0.0814777764224,0.362867923917,0.889702152499
43,235.372672313,274.567597037,388.097512309,0.158076341368,0.350922497118,0.909510321366
44,229.713207752,286.693325316,293.174581983,0.130230746767,0.410583284854,0.44247224603
45,228.61405391,281.768742404,296.724838845,0.124822710026,0.38635344158,0.459940155268
46,235.715584385,282.635646338,304.684441137,0.159763531108,0.390618766551,0.499102845699
47,215.074910391,289.929758492,336.000737474,0.0582076623325,0.426507124506,0.653184717353
48,203.298556686,276.848106392,322.874553685,0.000265861023439,0.36214301777,0.588601506616
49,212.420120266,269.888830121,335.793102553,0.0451456122483,0.327902113236,0.652163115795
50,214.180946097,293.77706121,343.545722769,0.0538091954728,0.445436553361,0.690307416777
51,200.430756826,283.876179459,294.460939597,-0.0138442356896,0.396722415048,0.448801359362
52,206.25490662,277.888984887,284.728473268,0.0148116401963,0.36726432921,0.400915855544
53,203.283434964,281.178967872,287.160440491,0.000191459403324,0.383451643655,0.412881576447
54,198.627970273,285.667237404,286.161740357,-0.0227142732976,0.405534745773,0.407967790208
55,186.782629245,267.203832197,276.529403178,-0.0809955047804,0.314691435288,0.360574940015
56,187.145785553,244.266375952,271.765653089,-0.0792087097218,0.201834980255,0.337136423469
