Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr
0,1.0,0.0,0.98,0.0,0.71,0.0,1.0,0.0,0.521,0.0,1.0,0.0,1.0,0.0,0.50868,0.0
1,0.557,8.863,0.609,3.024,0.183,41.619,0.00328,0.0256,0.404,1.404,0.81,6.177,0.305,32.042,0.0025,0.01334
2,0.419,7.692,0.445,6.176,0.072,47.277,0.00307,0.02259,0.329,2.895,0.751,11.981,0.257,26.814,0.00229,0.01545
3,0.315,5.542,0.354,10.739,0.107,69.819,0.00261,0.04387,0.289,2.453,0.679,7.945,0.14,38.827,0.00209,0.02204
4,0.26,4.986,0.229,11.514,0.202,38.858,0.00229,0.04528,0.238,1.538,0.608,7.493,0.159,48.145,0.00187,0.03038
5,0.188,5.032,0.194,5.496,0.252,24.406,0.00168,0.03262,0.221,2.789,0.523,14.657,0.159,35.485,0.00164,0.03325
6,0.145,5.527,0.14,3.745,0.148,23.646,0.00149,0.06724,0.212,5.805,0.45,23.563,0.293,19.336,0.00151,0.04476
7,0.11,2.193,0.122,3.782,0.121,30.882,0.00111,0.05597,0.18,6.813,0.375,11.324,0.015,26.775,0.00127,0.03929
8,0.099,1.01,0.105,10.46,0.035,29.211,0.00098,0.02825,0.153,6.531,0.266,13.872,0.227,39.372,0.00115,0.03333
9,0.085,2.93,0.095,11.046,0.071,33.392,0.0007,0.03419,0.142,3.992,0.217,10.971,0.196,36.617,0.0011,0.01379
10,0.08,2.236,0.062,4.663,0.209,49.66,0.0005,0.04464,0.139,3.272,0.152,6.561,0.0,56.722,0.001,0.02072
11,0.073,1.639,0.073,3.723,0.248,67.848,0.00044,0.02896,0.113,1.926,0.144,8.834,0.28,68.227,0.00079,0.0102
12,0.064,1.117,0.066,1.645,0.209,56.045,0.00032,0.01786,0.098,1.433,0.119,5.678,0.34,45.179,0.00068,0.02398
13,0.057,0.3,0.045,2.066,0.187,47.677,0.00029,0.02297,0.092,2.029,0.097,6.111,0.381,47.449,0.00056,0.02422
