Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr
0,1.0,0.0,1.0,0.0,0.671,0.0,1.0,0.0,0.586,0.0,0.964,0.0,1.0,0.0,0.58741,0.0
1,0.658,10.257,0.597,16.341,0.467,9.07,0.00216,0.00755,0.448,1.347,0.554,7.884,0.573,11.441,0.00227,0.0097
2,0.476,4.468,0.405,11.016,0.379,11.208,0.00182,0.01415,0.389,1.367,0.464,5.248,0.34,9.018,0.00227,0.00657
3,0.379,10.378,0.28,22.847,0.41,13.792,0.00142,0.02827,0.352,1.316,0.485,13.27,0.349,23.647,0.00216,0.00441
4,0.306,3.016,0.244,2.634,0.327,8.65,0.00117,0.01803,0.317,3.113,0.417,14.491,0.277,36.98,0.00202,0.01859
5,0.244,4.272,0.207,4.256,0.317,20.838,0.00093,0.02263,0.285,3.562,0.375,10.48,0.189,37.177,0.0018,0.03446
6,0.197,2.611,0.18,7.603,0.254,25.874,0.0007,0.01135,0.257,4.178,0.343,7.225,0.0,15.938,0.00156,0.03184
7,0.177,2.792,0.167,10.462,0.253,34.884,0.00059,0.01896,0.236,3.539,0.309,9.902,0.0,4.167,0.00124,0.02409
8,0.159,1.458,0.162,10.139,0.227,25.306,0.00054,0.01296,0.203,3.933,0.28,11.565,0.0,0.0,0.00104,0.03662
9,0.146,3.308,0.106,5.226,0.252,36.677,0.00047,0.01872,0.178,3.889,0.257,13.566,0.0,0.0,0.00087,0.03681
10,0.127,2.778,0.107,6.42,0.175,35.724,0.00039,0.01823,0.172,3.334,0.199,9.824,0.0,0.0,0.00078,0.03185
11,0.119,2.742,0.086,5.301,0.189,27.848,0.00031,0.01021,0.154,2.579,0.229,13.024,0.0,0.0,0.0007,0.03345
12,0.111,1.952,0.058,7.931,0.235,29.135,0.00028,0.00719,0.152,2.819,0.178,12.844,0.0,9.375,0.00069,0.02315
13,0.106,1.212,0.073,5.956,0.234,29.318,0.00023,0.00728,0.139,2.232,0.161,8.798,0.0,4.327,0.00059,0.01578
14,0.102,2.178,0.055,5.141,0.152,29.481,0.00022,0.00552,0.133,1.606,0.117,5.576,0.0,16.69,0.0005,0.01845
15,0.098,2.475,0.054,3.922,0.111,33.259,0.00019,0.00467,0.126,2.049,0.107,2.105,0.0,0.0,0.00044,0.02247
16,0.092,2.211,0.052,4.611,0.255,29.883,0.00016,0.00725,0.114,2.551,0.11,4.161,0.0,0.0,0.00042,0.01877
17,0.084,2.303,0.056,4.306,0.116,32.5,0.00014,0.00657,0.114,3.383,0.095,9.517,0.0,0.0,0.00041,0.02225
18,0.079,2.062,0.059,5.138,0.187,28.703,0.00014,0.00579,0.108,2.996,0.096,9.762,0.0,12.243,0.00036,0.01969
19,0.078,2.111,0.055,4.135,0.105,30.284,0.00015,0.00577,0.104,2.743,0.079,7.997,0.0,12.243,0.00034,0.01979
20,0.075,2.657,0.033,2.958,0.091,17.42,0.00014,0.00573,0.097,2.859,0.097,8.345,0.054,26.24,0.00033,0.01576
21,0.073,2.721,0.02,5.533,0.19,28.636,0.00013,0.00654,0.094,2.102,0.083,3.594,0.0,15.852,0.00031,0.01151
