Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr
0,1.0,0.0,0.423,0.0,0.857,0.0,1.0,0.0,0.739,0.0,0.311,0.0,1.0,0.0,0.69515,0.0
1,0.139,1.667,0.83,88.173,0.685,56.438,0.0002,0.02038,0.274,11.82,0.078,105.636,0.66,23.264,0.00092,0.06055
2,0.13,4.264,0.888,83.223,0.677,35.663,0.00017,0.01412,0.126,3.288,0.508,81.345,0.74,60.749,0.00034,0.03113
3,0.113,3.252,0.611,95.546,0.617,47.659,0.00013,0.01421,0.083,1.752,0.228,50.351,0.875,31.468,0.00015,0.01056
4,0.1,2.305,0.754,78.294,0.65,38.999,0.00013,0.01329,0.073,1.686,0.13,146.042,0.636,66.517,0.00012,0.00936
5,0.085,3.455,0.842,76.635,0.464,61.872,0.00012,0.01089,0.064,1.895,0.13,81.765,0.786,50.424,0.0001,0.01169
6,0.078,4.199,0.842,98.264,0.231,48.046,8e-05,0.01137,0.057,1.794,0.218,101.763,0.861,46.601,9e-05,0.0113
7,0.073,5.03,0.776,70.995,0.202,45.549,8e-05,0.01216,0.052,1.553,0.318,94.148,0.605,60.691,8e-05,0.00814
8,0.059,3.416,0.477,69.117,0.263,68.249,8e-05,0.01234,0.05,1.403,0.332,108.881,0.82,55.846,6e-05,0.00821
9,0.056,3.103,0.538,64.591,0.364,72.395,7e-05,0.01235,0.048,1.151,0.15,113.734,0.661,63.342,6e-05,0.00766
10,0.052,2.477,0.644,56.22,0.444,103.225,7e-05,0.01214,0.048,0.516,0.098,123.758,0.766,54.019,5e-05,0.00968
11,0.052,2.602,0.712,56.997,0.242,97.82,7e-05,0.01228,0.046,0.452,0.0,78.026,0.738,49.425,4e-05,0.01109
12,0.052,3.195,0.727,52.741,0.074,103.904,6e-05,0.01244,0.043,0.746,0.111,107.228,0.807,71.42,4e-05,0.01098
13,0.048,3.331,0.74,57.59,0.35,103.912,5e-05,0.0126,0.043,0.892,0.043,100.814,0.807,67.56,3e-05,0.00997
14,0.043,3.817,0.724,56.997,0.297,86.959,5e-05,0.0127,0.04,1.402,0.054,123.48,0.68,60.644,3e-05,0.01023
15,0.043,3.817,0.717,56.997,0.172,97.462,5e-05,0.01015,0.037,1.404,0.073,114.125,0.622,55.709,3e-05,0.01168
16,0.043,3.9,0.808,57.294,0.172,93.996,5e-05,0.01006,0.037,1.404,0.032,109.556,0.445,48.836,3e-05,0.01176
17,0.043,4.467,1.0,65.18,0.228,81.182,5e-05,0.00943,0.037,1.389,0.032,109.556,0.445,48.836,3e-05,0.01176
18,0.039,4.686,0.985,64.739,0.378,75.553,4e-05,0.00937,0.037,2.064,0.043,107.398,0.445,51.617,3e-05,0.01176
19,0.039,4.686,0.914,68.25,0.441,75.553,4e-05,0.00935,0.03,2.173,0.1,108.549,0.336,54.318,3e-05,0.01234
20,0.039,4.575,0.914,97.337,0.15,56.497,3e-05,0.00949,0.025,2.534,0.1,108.549,0.336,57.327,3e-05,0.01242
21,0.039,4.575,0.914,97.812,0.182,56.42,3e-05,0.00943,0.025,2.441,0.1,105.949,0.336,61.987,3e-05,0.01243
22,0.039,4.575,0.828,97.355,0.182,56.42,3e-05,0.00955,0.025,2.564,0.112,68.674,0.761,80.229,3e-05,0.01169
23,0.039,4.58,0.828,97.584,0.182,71.26,2e-05,0.00954,0.025,2.466,0.112,60.98,0.817,88.511,3e-05,0.01167
24,0.039,4.975,0.8,101.023,0.125,73.363,2e-05,0.00974,0.022,2.048,0.11,65.397,0.817,88.511,3e-05,0.01155
25,0.038,4.817,0.633,94.33,0.125,66.257,2e-05,0.00953,0.021,2.048,0.263,81.27,0.817,88.511,3e-05,0.01156
26,0.035,4.827,0.722,86.946,0.046,36.955,2e-05,0.00956,0.02,2.134,0.197,81.27,0.817,92.582,3e-05,0.01145
27,0.035,4.658,0.722,86.946,0.046,36.955,2e-05,0.00961,0.02,1.696,0.377,94.086,0.817,91.868,3e-05,0.01145
28,0.035,4.689,0.722,102.279,0.051,36.955,2e-05,0.00967,0.02,1.399,0.377,94.086,0.81,87.214,3e-05,0.01093
29,0.033,4.617,0.782,80.434,0.051,36.955,2e-05,0.0096,0.02,1.399,0.351,93.984,0.755,92.688,3e-05,0.01048
30,0.033,4.379,0.75,93.004,0.051,22.09,2e-05,0.00941,0.019,0.904,0.351,115.372,0.626,79.832,3e-05,0.0105
31,0.033,4.379,0.781,93.004,0.051,22.09,2e-05,0.00942,0.018,0.904,0.377,115.372,0.626,76.096,3e-05,0.01043
32,0.033,3.778,0.781,71.608,0.042,22.09,2e-05,0.00941,0.017,0.904,0.376,89.955,0.626,77.059,3e-05,0.01044
33,0.032,3.778,0.655,89.047,0.135,37.649,2e-05,0.0094,0.017,1.213,0.35,69.221,0.529,77.675,3e-05,0.01061
34,0.032,3.778,0.655,85.682,0.146,37.181,1e-05,0.00925,0.017,1.353,0.187,70.603,0.76,77.34,2e-05,0.0107
35,0.032,3.778,0.625,85.682,0.146,37.181,1e-05,0.00893,0.017,1.353,0.187,71.542,0.76,78.0,3e-05,0.0107
36,0.032,3.778,0.799,134.758,0.135,30.597,1e-05,0.00891,0.017,1.353,0.187,71.542,0.76,78.0,3e-05,0.0107
37,0.032,3.778,0.799,132.372,0.135,31.071,1e-05,0.00902,0.014,1.357,0.212,71.542,0.651,83.235,3e-05,0.01066
38,0.032,3.778,0.749,124.935,0.146,31.071,1e-05,0.00923,0.014,1.357,0.212,71.542,0.651,83.235,2e-05,0.01067
39,0.032,4.203,0.749,128.957,0.146,29.562,1e-05,0.00923,0.014,1.318,0.212,71.542,0.582,83.235,2e-05,0.01065
40,0.031,4.203,0.764,120.549,0.125,24.647,1e-05,0.00872,0.014,1.318,0.212,58.462,0.519,83.235,2e-05,0.01065
41,0.031,4.217,0.764,123.006,0.125,25.03,1e-05,0.00872,0.01,1.076,0.175,52.917,0.767,99.454,2e-05,0.01066
42,0.03,4.217,0.804,117.006,0.111,38.005,1e-05,0.00861,0.01,1.053,0.175,52.917,0.767,84.251,2e-05,0.01064
43,0.03,4.217,0.804,114.55,0.111,38.22,1e-05,0.00857,0.01,1.326,0.175,40.479,0.694,87.196,2e-05,0.01089
44,0.03,3.938,0.804,114.55,0.111,35.902,1e-05,0.00817,0.01,1.326,0.268,42.313,0.694,73.416,2e-05,0.01089
45,0.03,3.883,0.804,116.858,0.111,38.785,1e-05,0.00844,0.01,1.326,0.304,40.693,0.738,68.028,2e-05,0.01085
46,0.03,3.883,0.804,120.292,0.088,38.69,1e-05,0.00834,0.009,1.635,0.435,41.716,0.738,62.142,2e-05,0.01082
47,0.03,3.883,0.804,120.292,0.101,38.69,0.0,0.00826,0.009,1.635,0.445,42.347,0.738,62.142,2e-05,0.01083
48,0.03,3.883,0.804,124.774,0.101,38.69,0.0,0.00826,0.009,1.601,0.375,72.605,0.738,61.417,2e-05,0.01086
49,0.03,3.579,0.804,124.774,0.068,38.69,0.0,0.00826,0.009,1.601,0.375,75.614,0.738,61.417,2e-05,0.01086
50,0.03,3.617,0.804,124.774,0.068,38.69,0.0,0.00833,0.009,1.601,0.375,75.614,0.738,69.23,2e-05,0.01087
51,0.028,3.571,0.753,124.472,0.068,36.425,0.0,0.00834,0.009,1.601,0.375,71.804,0.738,68.165,2e-05,0.01094
52,0.028,3.571,0.891,122.785,0.068,36.425,0.0,0.00834,0.009,1.601,0.364,68.164,0.738,68.772,2e-05,0.01082
53,0.015,3.319,0.891,122.785,0.059,36.425,0.0,0.00842,0.009,1.601,0.364,68.164,0.738,65.467,2e-05,0.01081
