Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr
0,1.0,0.0,1.0,0.0,0.558,0.0,1.0,0.0,0.681,0.0,0.981,0.0,0.678,0.0,0.68074,0.0
1,0.824,7.453,0.827,5.935,0.0,26.731,0.00268,0.00823,0.61,2.434,0.843,6.548,0.244,17.086,0.00187,0.00918
2,0.762,13.584,0.626,4.798,0.673,46.656,0.00254,0.03835,0.574,3.253,0.682,4.61,0.519,24.064,0.00176,0.01062
3,0.643,8.632,0.555,15.252,0.66,81.647,0.0022,0.02997,0.519,4.342,0.591,5.943,0.624,22.585,0.00164,0.01435
4,0.472,13.791,0.508,17.086,0.721,66.761,0.0019,0.0286,0.472,8.134,0.538,3.895,0.667,26.422,0.00151,0.00903
5,0.389,14.324,0.472,9.418,0.626,34.399,0.0017,0.01979,0.42,3.603,0.57,11.659,0.506,60.96,0.00131,0.01235
6,0.342,9.938,0.405,5.588,0.812,32.361,0.00162,0.0331,0.395,7.089,0.514,13.428,0.654,38.862,0.00126,0.01855
7,0.263,14.363,0.383,13.519,0.853,40.453,0.00143,0.04788,0.351,2.665,0.523,14.237,0.566,33.762,0.00115,0.01377
8,0.221,8.382,0.401,5.707,0.855,50.268,0.00121,0.02953,0.31,6.579,0.505,11.64,0.569,29.342,0.00107,0.02163
9,0.192,4.582,0.366,11.348,0.861,58.427,0.00097,0.05221,0.278,8.283,0.429,4.908,0.667,21.25,0.00102,0.00998
10,0.174,2.352,0.314,6.375,0.812,28.926,0.00087,0.03342,0.241,6.411,0.419,7.786,0.6,15.536,0.00084,0.02282
11,0.152,6.703,0.32,6.093,0.731,32.359,0.00071,0.03082,0.193,3.277,0.425,10.543,0.56,41.555,0.00072,0.02095
12,0.138,2.714,0.28,3.392,0.864,24.273,0.00069,0.02941,0.178,4.16,0.371,14.69,0.532,62.1,0.0007,0.01985
13,0.123,3.474,0.302,9.199,0.714,35.422,0.00068,0.03346,0.157,4.129,0.361,3.467,0.641,36.463,0.00061,0.01947
14,0.115,3.892,0.27,3.637,0.789,36.499,0.00063,0.04345,0.151,3.737,0.335,13.049,0.507,60.82,0.00055,0.01966
