Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr
0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.949,0.0,0.859,0.0,0.524,0.0,0.70708,0.0
1,0.577,6.479,0.64,6.513,0.412,2.504,0.0,5e-05,0.64,7.655,0.657,3.701,0.399,6.513,0.0,2e-05
2,0.389,11.396,0.532,6.708,0.26,4.488,0.0,5e-05,0.408,6.435,0.53,3.429,0.261,3.393,0.0,6e-05
3,0.321,6.425,0.472,6.851,0.197,3.912,0.0,7e-05,0.322,3.967,0.453,1.862,0.195,2.626,0.0,6e-05
4,0.271,6.072,0.426,6.934,0.157,2.51,0.0,5e-05,0.267,5.225,0.421,2.624,0.153,2.136,0.0,7e-05
5,0.237,4.975,0.383,6.09,0.125,1.245,0.0,7e-05,0.218,3.807,0.379,2.589,0.132,2.009,0.0,8e-05
6,0.215,3.788,0.363,3.131,0.112,1.255,0.0,9e-05,0.188,3.216,0.361,3.427,0.105,1.759,0.0,6e-05
7,0.187,3.208,0.333,3.05,0.101,1.466,0.0,0.0001,0.163,2.883,0.321,3.688,0.089,1.302,0.0,6e-05
8,0.161,3.07,0.312,3.245,0.085,1.892,0.0,0.00013,0.148,2.767,0.294,5.761,0.078,1.101,0.0,6e-05
9,0.144,2.001,0.29,3.193,0.071,2.395,0.0,0.00011,0.131,3.067,0.275,4.476,0.069,1.047,0.0,6e-05
10,0.131,2.095,0.271,1.659,0.062,1.799,0.0,0.00011,0.12,1.58,0.26,3.416,0.064,1.567,0.0,5e-05
11,0.12,1.253,0.267,1.214,0.056,1.639,0.0,7e-05,0.114,1.73,0.256,2.051,0.058,1.355,0.0,6e-05
12,0.112,1.31,0.252,2.377,0.052,1.438,0.0,0.0001,0.103,2.523,0.244,3.157,0.053,1.365,0.0,9e-05
13,0.097,1.599,0.23,2.335,0.047,0.795,0.0,0.00011,0.099,2.338,0.234,2.005,0.048,1.624,0.0,9e-05
14,0.086,1.177,0.219,3.411,0.043,0.571,0.0,0.00012,0.092,2.244,0.221,2.468,0.046,1.661,0.0,8e-05
15,0.083,1.376,0.205,2.553,0.04,0.679,0.0,0.00016,0.087,1.515,0.216,1.701,0.045,1.412,0.0,8e-05
16,0.079,1.063,0.193,2.288,0.039,0.474,0.0,0.00015,0.086,2.077,0.206,2.958,0.043,1.331,0.0,7e-05
17,0.074,1.393,0.182,2.329,0.038,0.643,0.0,0.00014,0.077,1.586,0.192,2.836,0.04,1.031,0.0,9e-05
18,0.067,1.193,0.184,1.407,0.034,0.743,0.0,0.00013,0.07,0.975,0.182,1.892,0.037,0.809,0.0,8e-05
19,0.062,0.766,0.177,1.287,0.032,0.787,0.0,0.00016,0.067,1.074,0.181,2.551,0.036,0.783,0.0,9e-05
20,0.06,0.715,0.172,1.445,0.031,0.859,0.0,0.00012,0.062,1.111,0.163,3.322,0.032,0.74,0.0,8e-05
21,0.058,0.915,0.173,1.891,0.03,0.857,0.0,0.00013,0.059,0.976,0.158,4.395,0.027,0.705,0.0,8e-05
22,0.055,0.897,0.168,2.759,0.028,1.007,0.0,0.00013,0.053,1.224,0.153,3.412,0.027,0.783,0.0,8e-05
