Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr
0,1.0,0.0,0.927,0.0,1.0,0.0,1.0,0.0,0.483,0.0,1.0,0.0,0.968,0.0,0.42559,0.0
1,0.584,3.288,0.64,2.021,0.71,16.759,7e-05,0.00044,0.394,0.946,0.813,5.112,0.681,19.047,3e-05,0.00052
2,0.376,1.765,0.446,5.377,0.647,14.137,7e-05,0.00121,0.357,1.832,0.743,6.073,0.634,16.107,3e-05,0.00043
3,0.299,3.385,0.268,14.592,0.705,9.837,6e-05,0.00093,0.318,2.45,0.62,4.244,0.601,7.319,3e-05,0.00059
4,0.266,2.079,0.159,8.79,0.693,16.905,5e-05,0.00138,0.298,2.301,0.542,7.538,0.586,22.42,3e-05,0.00091
5,0.258,2.915,0.105,4.04,0.711,23.429,4e-05,0.00165,0.283,1.881,0.482,6.957,0.578,24.061,3e-05,0.00066
6,0.23,2.861,0.072,4.867,0.69,12.979,3e-05,0.0014,0.265,1.948,0.402,17.176,0.644,17.351,3e-05,0.00114
7,0.213,2.106,0.052,2.2,0.662,25.885,3e-05,0.00095,0.254,0.65,0.311,10.12,0.557,16.229,3e-05,0.00061
8,0.201,1.32,0.043,3.485,0.656,10.417,3e-05,0.00071,0.245,1.607,0.281,12.381,0.489,8.444,3e-05,0.00099
9,0.193,1.184,0.038,3.35,0.709,20.257,2e-05,0.00079,0.236,2.788,0.25,9.525,0.506,9.081,2e-05,0.00163
10,0.186,1.432,0.029,2.972,0.678,23.63,2e-05,0.00142,0.221,2.862,0.228,8.129,0.538,18.839,3e-05,0.00178
11,0.182,1.222,0.025,1.998,0.611,31.181,2e-05,0.00091,0.208,1.106,0.168,5.46,0.6,2.996,3e-05,0.00096
12,0.175,0.845,0.023,2.139,0.593,18.859,2e-05,0.00156,0.198,0.185,0.145,8.852,0.697,25.959,3e-05,0.00109
13,0.172,1.104,0.018,2.364,0.525,24.247,2e-05,0.00173,0.193,0.4,0.133,4.091,0.616,9.84,3e-05,0.00094
14,0.165,1.352,0.022,4.724,0.606,25.959,2e-05,0.00088,0.19,1.501,0.111,4.006,0.64,25.589,2e-05,0.00146
15,0.161,1.846,0.018,4.79,0.634,25.959,1e-05,0.00108,0.189,1.714,0.089,6.699,0.545,16.502,2e-05,0.0016
16,0.156,1.615,0.015,3.762,0.606,25.233,2e-05,0.00104,0.183,1.389,0.067,5.757,0.556,20.831,3e-05,0.00146
17,0.152,1.148,0.013,1.231,0.634,29.46,2e-05,0.00121,0.171,1.336,0.053,3.265,0.549,13.807,2e-05,0.00184
18,0.151,0.83,0.014,1.766,0.62,32.22,1e-05,0.00129,0.169,1.346,0.032,2.549,0.586,12.866,2e-05,0.00143
19,0.15,1.351,0.01,1.517,0.573,28.481,1e-05,0.00123,0.167,0.91,0.025,1.678,0.578,12.49,2e-05,0.00154
20,0.147,1.391,0.01,1.214,0.678,24.463,1e-05,0.00068,0.163,0.899,0.021,1.82,0.591,20.242,2e-05,0.00166
21,0.147,1.348,0.009,1.178,0.662,27.36,1e-05,0.00102,0.157,0.734,0.022,1.326,0.603,17.351,2e-05,0.00166
22,0.144,1.001,0.009,1.654,0.59,28.083,1e-05,0.001,0.153,1.318,0.019,2.036,0.678,23.3,2e-05,0.00133
23,0.14,1.142,0.007,1.553,0.612,22.673,1e-05,0.00123,0.149,1.057,0.017,2.152,0.65,23.3,2e-05,0.00124
24,0.137,1.132,0.007,1.687,0.658,28.656,1e-05,0.00107,0.145,1.221,0.022,2.45,0.662,23.942,2e-05,0.00137
25,0.137,1.44,0.006,1.576,0.658,27.539,1e-05,0.00138,0.141,1.395,0.017,2.452,0.632,12.623,2e-05,0.00132
26,0.138,0.996,0.004,1.384,0.601,35.139,1e-05,0.00156,0.14,1.465,0.01,2.154,0.787,25.786,2e-05,0.00135
27,0.134,0.961,0.003,1.169,0.6,27.987,1e-05,0.00165,0.138,1.046,0.006,2.647,0.699,44.105,2e-05,0.00154
28,0.132,1.51,0.003,1.137,0.66,26.901,1e-05,0.00152,0.135,1.202,0.005,1.782,0.684,45.058,2e-05,0.00135
29,0.131,2.316,0.004,1.634,0.584,25.959,1e-05,0.00172,0.136,0.932,0.005,1.65,0.606,41.137,2e-05,0.0017
30,0.13,1.805,0.001,1.933,0.57,30.431,1e-05,0.00242,0.135,1.022,0.002,2.145,0.688,52.658,2e-05,0.00167
31,0.129,1.938,0.001,1.655,0.626,35.139,1e-05,0.00267,0.134,0.879,0.001,2.086,0.781,40.855,2e-05,0.00178
32,0.126,2.183,0.002,1.711,0.624,41.39,1e-05,0.00294,0.131,0.835,0.001,1.488,0.812,45.932,2e-05,0.00194
33,0.128,2.035,0.001,1.725,0.639,42.567,1e-05,0.00306,0.129,1.019,0.005,1.792,0.781,40.358,2e-05,0.00162
34,0.13,1.964,0.003,1.916,0.753,34.399,1e-05,0.0033,0.129,0.94,0.003,2.119,0.801,31.694,2e-05,0.00143
35,0.128,2.135,0.003,2.39,0.742,44.643,1e-05,0.00262,0.124,0.857,0.004,1.527,0.843,12.778,2e-05,0.00133
36,0.128,2.268,0.002,2.364,0.695,40.553,1e-05,0.00218,0.123,1.104,0.004,1.457,0.769,34.508,2e-05,0.0013
37,0.128,2.043,0.002,2.037,0.667,41.39,1e-05,0.00256,0.121,0.835,0.002,1.277,0.777,27.023,2e-05,0.00122
38,0.128,1.99,0.002,2.153,0.697,30.751,1e-05,0.00252,0.12,0.851,0.002,1.07,0.777,32.688,2e-05,0.00089
39,0.124,1.927,0.003,2.681,0.8,38.388,1e-05,0.00243,0.12,0.806,0.004,1.379,0.796,38.593,2e-05,0.0014
40,0.122,2.087,0.003,2.755,0.734,48.018,1e-05,0.00252,0.118,0.736,0.003,1.134,0.696,42.71,2e-05,0.00133
41,0.121,2.25,0.003,2.255,0.716,48.173,1e-05,0.00222,0.118,1.025,0.0,1.121,0.648,24.552,1e-05,0.00145
