Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr
0,0.903,0.0,1.0,0.0,0.966,0.0,0.97291,0.0,1.0,0.0,0.865,0.0,1.0,0.0,1.0,0.0
1,0.085,5.615,0.381,25.68,0.039,6.074,0.0,0.00031,0.055,6.774,0.251,12.557,0.04,2.605,0.0,0.00042
2,0.04,1.776,0.211,13.317,0.023,1.228,0.0,0.00039,0.028,4.588,0.177,10.679,0.025,1.728,0.0,0.00044
3,0.034,2.029,0.205,8.688,0.018,0.69,0.0,0.00039,0.024,2.318,0.189,17.844,0.015,1.498,0.0,0.00044
4,0.023,1.041,0.161,8.736,0.013,0.669,0.0,0.00043,0.021,2.369,0.218,16.577,0.01,1.766,0.0,0.00037
5,0.021,0.989,0.14,6.585,0.011,0.581,0.0,0.00045,0.018,0.988,0.157,9.234,0.006,0.803,0.0,0.00038
6,0.02,1.287,0.14,4.743,0.01,0.569,0.0,0.00047,0.017,1.088,0.126,10.417,0.004,0.573,0.0,0.00036
7,0.017,0.564,0.13,2.732,0.009,0.376,0.0,0.00048,0.017,1.088,0.122,12.256,0.004,0.518,0.0,0.00045
8,0.017,0.519,0.14,3.942,0.009,0.376,0.0,0.00046,0.011,1.245,0.09,9.861,0.003,0.238,0.0,0.00045
9,0.017,0.908,0.131,6.409,0.008,0.227,0.0,0.00043,0.007,0.819,0.074,9.62,0.003,0.28,0.0,0.00044
10,0.018,1.265,0.13,7.095,0.008,0.3,0.0,0.00042,0.007,0.819,0.088,11.409,0.003,0.28,0.0,0.00046
11,0.018,1.265,0.119,6.455,0.007,0.279,0.0,0.00042,0.007,0.659,0.088,10.286,0.003,0.245,0.0,0.00046
12,0.013,0.749,0.119,3.844,0.006,0.289,0.0,0.00043,0.007,0.659,0.092,9.606,0.003,0.245,0.0,0.00046
13,0.014,0.707,0.123,6.723,0.005,0.292,0.0,0.00034,0.007,0.659,0.092,11.213,0.003,0.245,0.0,0.00045
14,0.01,0.59,0.11,6.765,0.005,0.3,0.0,0.00031,0.007,0.483,0.086,9.561,0.003,0.106,0.0,0.00045
15,0.008,0.951,0.067,8.465,0.004,0.196,0.0,0.00033,0.007,0.483,0.086,9.701,0.002,0.14,0.0,0.00045
16,0.007,1.036,0.097,8.178,0.004,0.181,0.0,0.00032,0.007,0.423,0.116,9.756,0.002,0.167,0.0,0.00045
17,0.007,0.843,0.094,8.266,0.004,0.215,0.0,0.00032,0.007,0.489,0.116,10.181,0.002,0.167,0.0,0.00044
18,0.007,0.759,0.082,7.393,0.004,0.215,0.0,0.00029,0.007,0.474,0.116,10.152,0.002,0.182,0.0,0.00044
19,0.007,0.799,0.082,7.393,0.004,0.249,0.0,0.00029,0.006,0.49,0.112,10.152,0.002,0.182,0.0,0.00044
20,0.006,0.847,0.07,6.575,0.003,0.219,0.0,0.00029,0.006,0.454,0.098,9.575,0.002,0.182,0.0,0.00043
21,0.005,0.629,0.07,8.702,0.003,0.209,0.0,0.00028,0.006,0.454,0.098,9.662,0.002,0.182,0.0,0.00043
22,0.005,0.629,0.07,8.702,0.003,0.209,0.0,0.00028,0.006,0.454,0.098,9.662,0.002,0.182,0.0,0.00043
23,0.004,0.526,0.047,9.913,0.003,0.221,0.0,0.00034,0.006,0.495,0.077,7.476,0.002,0.144,0.0,0.00042
24,0.004,0.82,0.047,9.491,0.003,0.248,0.0,0.00034,0.006,0.495,0.077,8.535,0.002,0.144,0.0,0.00041
25,0.004,0.561,0.047,9.491,0.003,0.248,0.0,0.00035,0.006,0.495,0.073,8.066,0.002,0.144,0.0,0.00041
26,0.004,0.561,0.045,9.491,0.003,0.248,0.0,0.00035,0.006,0.495,0.073,8.066,0.002,0.144,0.0,0.00042
27,0.004,0.573,0.038,6.319,0.003,0.248,0.0,0.00034,0.006,0.495,0.073,9.358,0.002,0.144,0.0,0.00041
28,0.004,0.573,0.038,6.319,0.003,0.259,0.0,0.00035,0.006,0.52,0.051,9.722,0.002,0.144,0.0,0.00033
29,0.004,0.57,0.038,6.319,0.003,0.259,0.0,0.00035,0.006,0.504,0.042,7.507,0.002,0.154,0.0,0.00033
30,0.004,0.57,0.038,6.319,0.003,0.259,0.0,0.00035,0.006,0.504,0.042,7.507,0.002,0.154,0.0,0.00039
31,0.004,0.526,0.038,6.319,0.003,0.16,0.0,0.00035,0.006,0.455,0.042,8.503,0.002,0.154,0.0,0.00038
32,0.004,0.582,0.047,7.475,0.003,0.164,0.0,0.00038,0.005,0.433,0.045,7.61,0.002,0.154,0.0,0.00039
33,0.004,0.548,0.072,6.182,0.002,0.148,0.0,0.00038,0.005,0.375,0.045,7.61,0.002,0.154,0.0,0.0004
34,0.003,0.548,0.066,8.516,0.002,0.111,0.0,0.00038,0.005,0.369,0.045,7.641,0.002,0.154,0.0,0.00039
35,0.003,0.45,0.066,8.516,0.002,0.111,0.0,0.00043,0.005,0.375,0.045,8.542,0.002,0.1,0.0,0.00039
