Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr
0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.567,0.0,0.996,0.0,0.785,0.0,0.4956,0.0
1,0.657,8.735,0.612,4.686,0.308,29.424,0.00401,0.02883,0.442,1.172,0.893,5.89,0.277,30.727,0.00333,0.01299
2,0.484,14.118,0.461,8.769,0.203,26.426,0.00338,0.04041,0.364,1.418,0.787,5.615,0.096,41.042,0.00309,0.01448
3,0.347,9.25,0.384,9.627,0.189,26.944,0.00282,0.04078,0.306,1.868,0.712,3.554,0.035,25.182,0.00295,0.00899
4,0.263,6.609,0.24,5.518,0.051,37.041,0.00251,0.05881,0.278,2.871,0.683,6.123,0.12,33.211,0.00279,0.01288
5,0.187,6.186,0.183,5.46,0.359,46.607,0.00176,0.0491,0.258,2.765,0.667,9.107,0.08,39.292,0.00269,0.01792
6,0.14,3.454,0.166,7.712,0.175,50.01,0.00128,0.04551,0.241,1.083,0.614,9.65,0.04,20.543,0.00264,0.02472
7,0.115,2.111,0.124,12.049,0.306,34.64,0.00102,0.04199,0.225,1.063,0.571,7.939,0.053,23.253,0.00255,0.02785
8,0.099,1.797,0.085,6.691,0.209,53.633,0.00076,0.04763,0.215,0.989,0.505,10.576,0.175,20.073,0.00242,0.03328
9,0.081,1.234,0.067,5.736,0.082,35.744,0.00054,0.02017,0.204,0.619,0.457,5.555,0.096,26.427,0.00226,0.02422
10,0.072,1.397,0.052,4.083,0.096,17.879,0.00042,0.00725,0.188,0.845,0.43,6.243,0.175,20.702,0.00208,0.03462
11,0.06,1.366,0.038,1.452,0.096,29.719,0.00035,0.01006,0.177,2.676,0.374,3.56,0.16,43.24,0.00196,0.03749
12,0.056,1.386,0.033,1.54,0.2,63.468,0.00029,0.00498,0.162,2.458,0.332,5.426,0.093,15.904,0.00183,0.03523
13,0.053,1.066,0.03,1.471,0.016,52.097,0.00027,0.00814,0.145,2.927,0.322,15.28,0.136,41.749,0.00156,0.03583
14,0.049,0.779,0.024,1.447,0.136,43.737,0.00019,0.01102,0.139,2.87,0.275,12.74,0.18,49.6,0.0014,0.04883
15,0.047,1.012,0.023,0.809,0.009,27.547,0.00019,0.01346,0.125,2.967,0.262,12.03,0.016,54.188,0.00133,0.06176
16,0.041,1.157,0.023,1.282,0.098,24.459,0.0002,0.01415,0.114,3.525,0.252,12.974,0.016,58.037,0.0011,0.05588
17,0.044,0.951,0.019,0.926,0.016,16.411,0.00018,0.01324,0.104,4.259,0.204,10.768,0.157,49.687,0.001,0.05656
18,0.042,1.078,0.022,1.164,0.042,20.102,0.00017,0.01256,0.104,3.363,0.185,10.215,0.249,36.775,0.0009,0.05192
