Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,s_hv_median,s_hv_iqr,s_spread_median,s_spread_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr,sw_hv_median,sw_hv_iqr,sw_spread_median,sw_spread_iqr
0,1850.98,0.0,33.892,0.0,13526.58,0.0,20741.09650881,0.0,28291080535815.844,0.0,0.76688217,0.0,2061.394,0.0,33.526,0.0,13299.793,0.0,20715.93184728,0.0,27982175002598.082,0.0,0.7812574,0.0
1,879.017,161.059,25.501,2.018,4336.416,638.048,6087.22527367,2169.61650192,28281444597456.543,71073630033.9375,0.87156118,0.1983674,884.43,699.282,26.081,9.693,4181.108,3461.52,6372.33960781,5032.55781271,28302595084935.547,199349427942.98438,0.8646417,0.15938167
2,570.898,590.441,23.108,10.333,2408.712,3040.809,3778.32417527,3934.35133408,28308196555094.844,117896311618.58984,0.82445026,0.49978683,596.733,384.426,23.299,6.474,2929.872,2210.1,4192.17552633,3046.7586135,28372386714920.49,166895271755.53516,0.85448004,0.30430509
3,44.165,262.928,12.564,8.226,125.548,1285.35,95.61917143,2504.73705464,28310405926046.266,121859119538.83203,0.61843729,0.46934786,445.061,401.315,21.243,7.313,2010.353,1634.793,2828.7843052,2797.55366666,28381241602628.703,125723772470.91016,0.81639142,0.20698095
4,36.96,23.939,11.649,3.433,121.201,137.555,74.57741644,98.88359761,28313389612229.32,121859119538.83203,0.46688142,0.36964162,342.106,369.452,19.39,9.214,1444.324,1452.144,2024.5625419,2326.69212286,28400254595664.285,102905013352.89062,0.811619,0.24816835
5,41.498,29.455,11.44,2.152,109.276,148.574,125.99937689,137.34405499,28335058180103.05,103657226627.72266,0.62606111,0.30331573,309.372,308.705,18.752,8.443,1298.217,1161.751,1678.77384482,2031.81976891,28406414437289.22,98679901757.32812,0.79065,0.3109428
6,33.315,30.141,10.229,2.145,123.476,99.528,103.71183137,131.84736206,28351864824421.58,122245349989.50781,0.60884981,0.20526713,260.452,248.363,18.257,7.839,1095.81,1011.385,1506.66573017,1666.88305349,28406414437289.215,98679901757.33203,0.7978557,0.28933917
7,27.647,177.573,9.975,6.479,127.824,614.436,82.06024753,943.21033165,28416960480267.832,118675233347.4414,0.53150194,0.42185337,45.038,214.571,11.495,8.76,214.312,884.445,259.751819,1339.05648705,28406414437289.22,82043205182.14062,0.69147969,0.38585456
8,34.447,221.851,9.975,7.92,143.106,864.859,120.07349471,1232.55052802,28441247303187.797,123616296332.10938,0.52910496,0.49111295,29.493,153.874,10.309,7.019,135.27,638.493,81.83128819,981.45835001,28406415949236.51,82043132023.7461,0.62891128,0.30668027
9,32.989,129.192,9.467,5.622,123.156,462.455,87.04882508,724.66042235,28459295851879.4,125606030057.79297,0.52910496,0.44476964,29.493,24.107,9.953,3.035,99.313,212.038,65.94611134,347.12018028,28407440818116.39,82043132023.7539,0.54523925,0.29855433
10,30.448,145.137,9.327,5.868,115.291,591.571,84.38176284,835.65352427,28462803531995.875,66897360881.37109,0.59462001,0.43954568,29.493,133.722,9.963,6.975,99.313,500.469,65.94611134,759.39438015,28420746598693.844,102383728482.96484,0.58315228,0.40413307
11,29.717,143.423,9.327,5.352,112.529,538.332,78.62210256,780.61852312,28462803531995.875,66897360881.36719,0.64311031,0.4479664,29.493,126.28,9.963,6.665,86.398,460.325,60.22780034,673.25266426,28420746598693.844,102015907921.16797,0.62891128,0.35426787
12,29.717,135.471,9.327,5.195,112.529,513.317,78.62210256,743.07600363,28462803531995.875,66897832026.296875,0.64311031,0.27483608,23.241,13.752,9.935,4.03,77.632,92.702,50.50113202,37.09885927,28420750268675.773,100217351272.14844,0.69147969,0.29938062
13,28.282,24.588,9.052,1.611,85.982,129.877,59.8131865,104.84745427,28462806932224.21,66897832026.30078,0.56973426,0.46957327,24.275,12.464,9.778,3.873,73.13,42.105,47.93693939,27.25079704,28437202224709.797,94475036595.32812,0.71548212,0.2527188
14,28.282,24.588,9.067,1.611,85.982,131.076,59.8131865,107.97030108,28462806932224.21,67409932768.24609,0.62767902,0.45969585,27.612,24.65,8.901,2.093,75.947,51.772,47.38273454,28.18722009,28437202224709.797,94473962829.52344,0.7450646,0.16843194
15,24.535,16.884,9.067,0.667,65.059,78.807,39.91135223,77.40389728,28462806984857.723,67938877957.72656,0.57740743,0.31173419,27.612,24.65,8.901,2.093,75.947,51.772,47.38273454,28.18722009,28437202224709.797,102380856977.04688,0.7450646,0.16473239
16,24.535,25.365,9.191,1.205,65.059,78.807,39.91135223,77.40389728,28462806984857.723,39402575695.51172,0.63100782,0.32442604,24.623,16.327,8.901,2.19,75.947,43.614,47.38273454,19.53674079,28437202224709.797,102187052101.09375,0.7450646,0.1824354
17,24.535,27.133,9.191,0.648,65.059,80.188,39.91135223,75.86459479,28462806984857.723,39402575695.50781,0.67968523,0.40860524,24.623,17.31,8.901,2.19,75.947,43.614,45.91243641,19.53674079,28437202224709.797,101901567696.25781,0.72358583,0.23433735
18,24.535,25.258,9.191,0.648,65.059,73.368,37.61937983,75.02249403,28462812306527.188,39402575695.50781,0.67968523,0.21243678,24.623,16.825,8.901,2.21,73.141,43.614,45.91243641,21.44246578,28437202425139.785,101901567696.25781,0.72358583,0.22184743
19,24.535,25.258,9.191,0.648,65.059,73.368,37.61937983,75.02249403,28462812306527.188,39402575695.51172,0.67968523,0.21100827,24.623,16.825,8.901,2.21,73.141,43.614,45.91243641,21.44246578,28437202425139.785,102234814441.2539,0.72358583,0.23433735
20,20.382,14.564,9.067,1.624,52.931,46.788,24.88390475,42.80095589,28474402685366.61,39238216223.15234,0.67968523,0.174061,24.623,15.48,9.098,2.21,73.141,42.105,45.91243641,20.28143842,28437202425139.785,102234814441.25,0.72358583,0.21188208
21,20.382,9.241,9.188,1.786,50.896,22.926,24.88390475,26.73434189,28474402685366.61,39491193558.296875,0.68435708,0.26798106,24.623,13.616,8.867,2.21,69.754,42.105,44.30167646,20.28143842,28437202425139.785,102234814441.2539,0.73229874,0.23996377
22,20.382,9.241,9.188,1.786,50.896,22.926,24.88390475,26.73434189,28474402685366.61,39491193558.296875,0.68435708,0.26798106,24.476,14.996,8.849,2.077,60.945,33.888,43.93425686,12.86908977,28438762840357.258,102229160910.59375,0.69056295,0.18510105
23,20.382,9.241,9.188,1.786,50.896,22.926,24.88390475,26.73434189,28474402685366.61,39491193558.296875,0.68435708,0.26798106,23.148,14.397,8.307,1.406,63.169,43.176,43.93425686,13.33927717,28439343086625.914,102229160910.59375,0.69056295,0.19931681
24,20.382,9.223,9.188,1.929,53.392,23.523,34.30411679,27.4127196,28474403008339.188,39491193558.296875,0.68435708,0.23138583,23.148,14.397,8.307,1.406,63.169,43.176,43.93425686,13.33927717,28439343086625.914,102229160910.59375,0.69056295,0.19931681
25,20.382,9.223,9.188,1.782,51.2,26.402,35.6608722,36.76787435,28474403008339.188,39506720109.82422,0.69553547,0.29717625,23.148,14.324,8.108,1.406,63.169,40.574,42.5639667,13.33927717,28439343086625.914,101760118763.57422,0.69056295,0.27573271
