Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,s_hv_median,s_hv_iqr,s_spread_median,s_spread_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr,sw_hv_median,sw_hv_iqr,sw_spread_median,sw_spread_iqr
0,1.0,0.0,0.296,0.0,0.302,0.0,1.0,0.0,0.5094448,0.0,0.14882737,0.0,0.632,0.0,1.0,0.0,0.06,0.0,0.3621182,0.0,0.0,0.0,0.0,0.0
1,0.503,36.013,0.256,21.465,0.301,58.288,0.67138086,48.10203257,0.67345552,3.89646257,0.24305243,72.56989257,0.498,9.726,0.81,43.451,0.0,18.75,0.28066152,4.40345826,0.37074079,51.12090653,0.35614791,66.63268601
2,0.496,33.06,0.376,21.907,0.416,44.137,0.47780365,45.18618273,0.71337722,8.55589737,0.11151247,85.2633048,0.451,12.74,0.947,50.419,0.0,105.502,0.27631177,6.94050187,0.42881849,33.94173971,0.06550145,37.56548018
3,0.353,19.84,0.275,24.442,0.46,70.528,0.4400035,41.95204029,0.76608346,8.38108295,0.68382083,62.88306771,0.456,12.619,0.592,30.438,0.0,0.0,0.28216188,10.13135992,0.49664982,20.76743648,0.41184931,92.5365986
4,0.274,17.407,0.274,21.051,0.34,39.793,0.16239402,26.00728592,0.82495834,5.28824243,0.17696972,73.1293692,0.345,8.208,0.621,32.076,0.465,69.803,0.21125344,12.32433981,0.67078608,14.36271957,0.39799858,100.14666539
5,0.21,6.085,0.21,30.609,0.304,98.958,0.08894728,14.83886774,0.84081426,5.93500495,0.62061934,140.86706662,0.36,8.611,0.507,25.286,0.052,62.433,0.20739252,4.18953777,0.75032809,6.25611331,0.58509628,56.52952692
6,0.214,11.093,0.107,13.164,0.188,33.333,0.1292523,11.8419452,0.86518716,3.04912667,0.87043559,84.91011078,0.287,14.315,0.428,28.175,0.0,17.187,0.18739172,9.26056988,0.792679,6.39251098,0.85532287,62.34172478
7,0.193,13.862,0.157,23.673,0.045,41.151,0.12101337,12.78785244,0.89570342,2.23361516,0.6115521,105.2146693,0.252,23.5,0.243,35.935,0.0,15.625,0.16500011,13.45908653,0.80016761,10.94557509,0.37843608,68.52399426
8,0.159,5.223,0.059,11.888,0.0,0.0,0.05764344,4.61375765,0.90259405,2.0724443,0.50969347,94.81259344,0.289,20.133,0.131,11.213,0.0,15.625,0.1540919,12.8196831,0.84030162,7.56206016,0.28160346,93.5889206
9,0.153,4.716,0.053,6.157,0.0,44.048,0.05046027,2.63493253,0.91540691,3.13782488,0.54777723,68.2096612,0.243,13.79,0.175,12.337,0.069,34.054,0.10994771,11.84322484,0.84257778,6.24659075,0.59051377,80.26392888
10,0.156,5.711,0.039,6.861,0.339,48.37,0.05523109,3.9252648,0.92153341,3.09191125,0.75409996,70.28721182,0.224,8.579,0.139,15.603,0.0,54.167,0.10805039,8.0453104,0.86628314,4.48036088,0.39975931,56.10370364
11,0.146,5.654,0.031,7.935,0.401,44.792,0.04080165,3.65836845,0.92202076,3.40650927,0.6630634,100.14398345,0.201,6.976,0.147,12.084,0.114,47.075,0.06711221,8.75627208,0.88028715,3.82898061,0.91806204,83.41984181
12,0.117,5.179,0.032,5.117,0.312,53.125,0.02911121,3.80591182,0.92209828,3.07155075,0.72860411,76.61545536,0.169,7.172,0.117,15.637,0.208,51.763,0.04781456,7.03620439,0.89608443,2.97934899,0.64987757,71.48962646
13,0.116,5.327,0.026,4.828,0.533,23.432,0.03726294,4.70277492,0.92443604,3.06436802,0.5695053,76.07612605,0.155,4.075,0.118,18.317,0.503,56.473,0.04324196,4.08982096,0.90035043,2.92607157,0.70638623,46.93945333
14,0.096,6.065,0.029,2.417,0.505,62.523,0.02550927,4.24324453,0.92827278,2.2695915,0.48430556,46.95921562,0.135,5.599,0.097,18.493,0.427,51.089,0.05178531,4.95253336,0.90157513,2.77009877,0.88793863,98.35729224
15,0.098,6.046,0.022,1.685,0.42,39.286,0.02311363,4.79789042,0.92975699,1.77495701,0.69385494,35.27748222,0.122,3.871,0.072,22.893,0.139,57.664,0.02898196,6.84635987,0.90320537,2.34716395,0.37058511,98.86316305
16,0.098,3.99,0.019,2.673,0.491,25.698,0.02087793,4.27964795,0.93028468,1.79595198,0.54717572,47.56561803,0.112,2.578,0.064,11.087,0.25,48.864,0.02610444,5.74209432,0.90742379,1.39599062,0.43924881,85.49878818
17,0.098,3.826,0.019,2.189,0.505,37.483,0.01798268,3.63618395,0.93029241,1.79387137,0.69286788,38.55062387,0.096,4.057,0.042,10.118,0.375,66.071,0.02173112,4.03821433,0.91755902,2.58856896,1.0,52.29854757
18,0.089,2.784,0.018,3.878,0.647,65.179,0.01003638,3.8286371,0.93563583,2.26458146,0.63116824,29.21092121,0.105,4.728,0.025,4.534,0.5,56.331,0.0310848,4.60810144,0.92983352,2.90861496,0.72813253,95.57229395
19,0.089,2.964,0.021,4.16,0.692,58.929,0.00509712,3.71393121,0.94128816,1.94102495,0.64332751,30.25755582,0.116,7.225,0.027,5.111,0.458,39.782,0.04667662,3.71041219,0.92998703,2.89429437,0.524182,68.27728736
20,0.091,2.427,0.01,2.972,0.607,63.616,0.01514653,4.55249995,0.94238655,2.04658166,0.45589024,90.7896299,0.121,6.697,0.018,4.185,0.403,80.357,0.0431956,3.15745095,0.93829132,1.07310339,0.36814594,51.52147799
21,0.095,2.805,0.013,3.477,0.68,21.429,0.01816283,3.49859846,0.94882862,3.02350002,0.95142717,59.66049654,0.111,7.082,0.025,3.121,0.545,43.775,0.0405028,2.98310439,0.93858517,1.07148471,0.56048182,105.83002756
22,0.087,2.988,0.017,3.56,0.68,21.429,0.00823086,3.41083696,0.94882862,2.99668567,0.89898253,68.96472866,0.115,10.017,0.016,7.903,0.538,62.5,0.04661439,5.94767525,0.93878166,1.1184166,0.49508728,46.68225262
23,0.094,3.502,0.012,2.468,0.714,61.813,0.00713437,1.63449911,0.94888756,2.61054118,0.77723907,83.99800241,0.121,12.217,0.02,3.823,0.456,40.625,0.02114373,5.06751337,0.93904724,1.19299772,0.5229861,58.9951562
24,0.076,4.034,0.011,2.534,0.59,77.038,0.00647995,1.41680497,0.94914293,2.58591886,0.60384883,82.99272208,0.124,10.887,0.02,5.698,0.278,60.937,0.02141825,4.04395902,0.93970973,0.82126203,0.42255583,100.27880987
25,0.077,3.936,0.011,2.29,0.67,37.057,0.00401303,1.16390802,0.94977066,2.5768327,0.56686801,52.93903516,0.107,9.542,0.021,5.15,0.505,36.384,0.01834062,3.55762016,0.9398053,0.81491262,0.68107447,81.48624399
26,0.085,3.357,0.019,1.939,0.692,46.97,0.00425713,1.20793552,0.94977468,2.58502518,0.72591897,57.66656322,0.093,8.566,0.02,5.966,0.528,36.526,0.01716741,3.86863843,0.9398053,0.82696148,0.29582819,59.12773727
27,0.085,3.332,0.02,2.195,0.692,86.67,0.00454209,1.04790932,0.9529345,3.14134313,0.6833423,52.78902397,0.097,7.684,0.02,5.951,0.491,41.858,0.01986199,3.6317832,0.94135579,1.21176196,0.64505534,42.34923435
28,0.082,3.586,0.016,1.744,0.714,70.742,0.00475732,1.06558555,0.95299697,3.14035195,0.6833423,81.12108494,0.095,9.018,0.026,5.922,0.594,36.458,0.01594259,3.650926,0.94414874,1.13627942,0.5588231,84.38782754
29,0.064,3.045,0.006,1.86,0.51,87.527,0.00714019,2.16778673,0.95299979,3.22426374,0.72440748,63.91208347,0.095,9.027,0.026,4.13,0.594,24.317,0.01594259,3.67693214,0.94414874,1.13750969,0.48280845,92.58611122
30,0.064,3.546,0.005,1.693,0.331,87.527,0.00795157,2.21190931,0.95312243,3.22426374,0.75268931,55.45735463,0.088,9.301,0.026,4.902,0.542,24.838,0.01615285,3.8215729,0.94585379,1.14015824,0.54697029,75.65681382
31,0.07,3.717,0.005,1.71,0.331,66.071,0.00554164,2.04668281,0.95312661,3.22579577,0.6833423,35.79742239,0.088,9.03,0.022,4.595,0.429,55.682,0.01615285,3.40170112,0.94596735,0.98031668,0.4705028,79.18977396
32,0.068,2.518,0.005,1.735,0.0,36.659,0.00471457,2.26897703,0.95315138,3.22548859,0.63776705,40.12990059,0.091,7.469,0.022,4.496,0.437,55.556,0.0140887,3.18181362,0.94596749,0.97720775,0.75800829,53.59520813
33,0.064,3.898,0.003,1.401,0.0,0.0,0.00971159,1.62200731,0.95319303,3.24582897,0.72810485,57.43017539,0.076,6.908,0.016,2.913,0.52,52.951,0.01418982,3.20922206,0.94597454,0.96701202,0.75541538,62.63777428
34,0.06,4.273,0.005,1.391,0.0,33.73,0.0128139,1.54796006,0.95319378,3.24544983,0.66872773,52.22114622,0.072,7.382,0.016,3.009,0.384,54.514,0.01494258,3.18317864,0.94597484,1.39293894,0.77687542,40.49607669
35,0.064,4.413,0.002,2.453,0.0,41.209,0.01291556,2.13136999,0.95585236,3.22626544,0.49950937,50.9273149,0.071,8.359,0.024,3.379,0.528,22.788,0.01786665,2.77542685,0.94597574,1.48011673,0.58804923,48.61365394
36,0.054,4.413,0.002,2.453,0.0,41.209,0.01226629,2.13136999,0.95585236,3.22625151,0.49950937,55.41372313,0.071,7.853,0.027,3.275,0.551,53.571,0.01786665,2.74928346,0.94599463,1.48011441,0.62828462,34.19347543
37,0.049,4.385,0.002,1.897,0.0,50.137,0.01226629,2.29873053,0.95643419,3.21170421,0.50670884,53.87455193,0.068,7.957,0.02,4.37,0.625,5.952,0.01716297,2.72476639,0.94599465,1.48011209,0.59143923,37.01238373
38,0.056,4.657,0.002,2.384,0.0,36.659,0.01152813,2.34293416,0.96827344,4.11892537,0.52305948,77.31561918,0.068,7.872,0.016,3.618,0.625,6.944,0.017745,2.54069289,0.94624183,1.15510402,0.61631074,30.41449496
39,0.044,4.412,0.01,2.415,0.192,63.244,0.01126805,2.52447876,0.96827769,4.10301549,0.6622306,75.24430341,0.067,7.239,0.02,3.248,0.625,6.944,0.01739885,2.20881036,0.94689162,1.15452757,0.66248637,83.55327357
40,0.049,5.081,0.002,2.187,0.156,56.49,0.01087058,2.16595332,0.96837101,4.21033636,0.48302818,86.38338841,0.067,6.315,0.016,3.329,0.59,51.959,0.01969111,2.10344234,0.94700721,1.15453995,0.52592918,82.33771053
41,0.048,5.149,0.002,1.54,0.0,56.49,0.01019812,1.97816386,0.96837726,4.23702614,0.34393445,81.57069965,0.069,6.247,0.016,3.281,0.59,18.984,0.01800845,2.13206079,0.94701713,1.1545887,0.64074035,75.57107993
42,0.048,5.149,0.002,1.56,0.0,60.611,0.01019812,2.06201278,0.96837726,4.23702459,0.41841154,78.08095482,0.069,6.3,0.016,3.276,0.556,32.163,0.01778033,2.06652596,0.94701713,1.15567659,0.58851003,83.09324991
43,0.064,4.209,0.0,1.262,0.0,64.139,0.00705337,1.68814014,0.96838836,4.23696424,0.56080894,95.75184704,0.069,6.441,0.024,6.888,0.59,6.944,0.01661127,1.91947403,0.94702586,1.15571915,0.66490995,123.64460855
44,0.064,4.975,0.003,3.56,0.0,64.139,0.00656429,1.68814014,0.96838836,4.23696424,0.52620812,97.11596414,0.069,6.014,0.019,6.904,0.625,10.293,0.01632051,1.97052942,0.94776152,1.1838543,0.64878581,120.68564054
45,0.064,4.262,0.003,2.768,0.0,28.846,0.0057934,1.58932523,0.96839382,4.71825848,0.53962768,87.02458291,0.068,6.048,0.019,7.117,0.625,6.944,0.01632051,1.99465704,0.94776158,1.18547453,0.64714319,89.64521681
46,0.064,3.901,0.003,2.767,0.0,28.846,0.00385692,1.72306389,0.96842414,4.71822598,0.5017887,89.71017158,0.067,6.35,0.018,8.353,0.625,9.673,0.0148254,2.24358312,0.9477748,1.19544819,0.61004311,78.43301368
47,0.064,3.901,0.003,2.51,0.0,14.423,0.00385692,1.53218389,0.96848282,4.71819503,0.69348579,94.79915448,0.067,6.132,0.012,7.762,0.625,18.056,0.01419918,2.47497467,0.94777489,1.19480984,0.51071031,78.37791748
