Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,s_hv_median,s_hv_iqr,s_spread_median,s_spread_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr,sw_hv_median,sw_hv_iqr,sw_spread_median,sw_spread_iqr
0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.25119585,0.0,1.0,0.0,0.725,0.0,0.884,0.0,0.901,0.0,0.79414339,0.0,0.41867583,0.0,0.77959122,0.0
1,0.067,37.865,0.351,40.905,0.053,37.84,0.02538076,24.25561889,0.0,77.90828222,0.41057633,63.53364027,0.409,30.76,0.624,30.534,0.362,32.074,0.20665643,17.99267031,0.230226,43.14412418,0.84796709,25.18316202
2,0.229,25.926,0.482,29.471,0.215,23.476,0.12706041,16.51126916,0.33146557,71.35614184,0.83339944,81.95843451,0.286,27.811,0.532,41.281,0.226,24.724,0.14112628,16.59159902,0.42343642,43.28720933,0.84833283,26.34493931
3,0.095,19.532,0.397,32.431,0.083,14.559,0.05247544,10.4707117,0.5956029,60.33381163,0.80522256,44.45034633,0.104,21.52,0.334,41.633,0.093,19.634,0.05083963,10.80382101,0.47230372,46.09235954,0.80290076,35.47331847
4,0.085,13.594,0.334,29.848,0.066,12.241,0.04133443,8.09839703,0.5956029,60.30846249,0.83038735,32.37995177,0.013,16.461,0.099,39.628,0.012,15.685,0.00488775,8.03025158,0.5896144,39.51530901,0.55593269,103.38197627
5,0.076,13.948,0.285,28.233,0.057,10.518,0.03333319,6.67869244,0.61597862,75.67880097,0.78711593,47.4929448,0.01,9.679,0.051,30.269,0.007,9.183,0.00338554,4.53609767,0.60641364,34.71816345,0.24211065,64.88666117
6,0.116,11.077,0.361,23.77,0.092,10.472,0.05419412,6.0931236,0.61597862,40.23548903,0.75166299,51.91631787,0.01,8.888,0.051,27.57,0.007,7.682,0.00340305,4.04404542,0.6064171,34.71816345,0.2749339,65.73070817
7,0.066,10.378,0.253,26.501,0.045,8.128,0.02439562,4.50448727,0.62999603,41.12775659,0.63568444,54.39716018,0.01,7.766,0.06,25.571,0.007,6.855,0.00340305,3.49125608,0.6064171,36.46279146,0.39405732,47.31532256
8,0.095,8.335,0.314,19.938,0.075,6.755,0.04193061,4.21232643,0.64784138,46.45017362,0.60345011,58.54638827,0.009,7.568,0.065,23.489,0.006,6.191,0.00274593,3.55376821,0.71951468,40.36683549,0.47177353,47.22066011
9,0.094,6.029,0.313,16.662,0.074,5.064,0.04232822,2.75092898,0.64784138,46.45017362,0.73595169,36.37061987,0.009,6.307,0.065,21.167,0.006,5.209,0.00250942,2.98500848,0.7799996,39.52687354,0.36715944,44.67137287
10,0.088,5.526,0.291,16.835,0.067,4.697,0.03964191,2.53427282,0.64784138,46.45017362,0.69560379,38.50908016,0.013,7.427,0.109,24.507,0.007,6.206,0.00511413,3.73043105,0.7799996,40.27430592,0.47177353,62.79931294
11,0.073,6.697,0.28,16.05,0.059,5.725,0.03307372,3.30749635,0.64784138,42.28358294,0.60906809,39.60678273,0.013,6.338,0.109,22.483,0.007,5.421,0.00511413,3.48157948,0.7799996,40.27430592,0.47177353,50.16777512
12,0.068,7.253,0.268,20.588,0.057,5.074,0.03188582,2.97961991,0.6826732,27.36714841,0.71954995,51.40189281,0.012,6.243,0.109,21.868,0.007,4.84,0.00511413,3.25036511,0.78021083,40.27430592,0.51893442,38.94323329
13,0.065,6.583,0.267,21.159,0.052,4.982,0.02929014,2.85791555,0.68548923,27.36714841,0.70697593,21.72045675,0.014,5.784,0.082,20.781,0.006,4.637,0.004935,2.8446516,0.78021083,40.20003666,0.47177353,60.4733869
14,0.065,6.704,0.257,25.839,0.053,5.148,0.02756133,3.15516599,0.79725071,25.9374296,0.65432703,17.1814134,0.014,5.167,0.082,20.325,0.006,4.043,0.004935,2.71075342,0.78021083,40.20003666,0.51893442,42.18348254
15,0.058,6.482,0.254,25.051,0.047,4.596,0.02584656,2.78747456,0.79725071,26.29943741,0.69916641,23.955373,0.01,4.122,0.065,18.053,0.003,3.267,0.00199852,1.73323279,0.78021083,40.08809269,0.52701091,27.91583654
16,0.056,5.919,0.248,24.535,0.047,4.408,0.02470706,2.66828349,0.79725071,26.29943741,0.73958941,24.92740428,0.01,3.899,0.065,17.391,0.003,3.15,0.00199852,1.62115275,0.78021083,40.08809269,0.48139108,30.41034172
17,0.051,5.634,0.24,22.952,0.042,4.243,0.02328659,2.48082679,0.797833,26.18726055,0.78240825,52.94070596,0.01,3.825,0.065,15.734,0.002,3.1,0.00199852,1.62532584,0.78021083,37.70729763,0.48320146,45.75886509
18,0.025,4.73,0.143,22.508,0.021,3.566,0.01178498,2.34674689,0.8003679,26.21369425,0.66560136,57.36057967,0.008,3.85,0.082,15.88,0.002,2.965,0.00128505,1.53230631,0.82508186,19.64049862,0.4919581,56.79744344
19,0.004,4.619,0.03,20.771,0.005,3.517,0.00201404,2.08973885,0.80037432,26.21369425,0.49541097,57.34965884,0.007,3.588,0.082,15.521,0.002,2.866,0.00128505,1.50333431,0.82545016,19.64049862,0.4919581,54.33527985
20,0.004,3.316,0.03,15.634,0.004,2.332,0.00145502,1.36797672,0.80037439,27.02239369,0.30706551,52.533708,0.006,3.275,0.063,15.094,0.002,2.773,0.00127317,1.49202275,0.82545016,19.64049862,0.55251088,57.29681596
21,0.004,3.175,0.03,16.354,0.004,2.277,0.00145502,1.28096578,0.81370558,26.10915133,0.30706551,52.24562123,0.006,3.127,0.077,15.452,0.002,2.634,0.0012051,1.44383729,0.82545016,19.64049862,0.55251088,51.30442867
22,0.004,3.152,0.03,15.33,0.004,2.12,0.00145502,1.24996824,0.81370558,26.16238479,0.30706551,54.38070879,0.006,2.949,0.077,15.198,0.002,2.657,0.0012051,1.45782757,0.82545016,19.64049862,0.54443439,50.9136557
23,0.004,0.482,0.025,3.928,0.003,0.278,0.00103987,0.16926133,0.81437481,26.16238479,0.30132692,40.51923575,0.006,2.909,0.083,14.509,0.001,2.558,0.00091641,1.34738492,0.82545108,19.64049862,0.4740036,71.58788879
24,0.004,0.482,0.025,3.928,0.003,0.278,0.00103987,0.16926133,0.81437481,26.16238479,0.30132692,40.51923575,0.006,2.891,0.083,14.276,0.001,2.433,0.00091641,1.32374751,0.82545108,19.64049862,0.54443439,54.08777323
25,0.004,0.495,0.019,3.87,0.003,0.248,0.00094099,0.13881563,0.81437481,26.12105242,0.22073296,31.21798473,0.005,2.62,0.076,14.256,0.002,2.383,0.00094936,1.27088218,0.82545108,19.64049862,0.33009154,48.2249413
26,0.004,0.457,0.019,3.87,0.003,0.245,0.00095595,0.13555669,0.81437481,26.1210532,0.22073296,31.21798473,0.003,0.979,0.054,7.116,0.001,0.213,0.00057592,0.16198516,0.82545108,19.64049862,0.19922713,46.0049506
