Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,s_hv_median,s_hv_iqr,s_spread_median,s_spread_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr,sw_hv_median,sw_hv_iqr,sw_spread_median,sw_spread_iqr
0,0.44,0.0,1.0,0.0,0.168,0.0,0.57272118,0.0,0.92640158,0.0,0.11143073,0.0,1.0,0.0,0.574,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.09041975,0.0
1,0.383,10.044,0.799,24.592,0.213,6.349,0.57262923,3.58937715,0.94190058,1.93378737,0.08456765,13.32705057,0.394,51.931,0.112,7.472,0.32,18.734,0.64933649,14.76080055,0.33834013,8.69521927,0.18194245,37.87943096
2,0.4,16.884,0.756,31.62,0.173,14.082,0.5001036,4.26155978,0.9634444,1.15098446,0.0,7.95043093,0.282,39.98,0.173,11.861,0.344,35.154,0.67382389,13.89538475,0.59247142,19.98004653,0.26415641,29.03978133
3,0.26,13.54,0.581,62.594,0.169,9.666,0.47581933,10.18349772,0.97553341,0.92913238,0.11751252,29.43889526,0.228,18.89,0.112,4.263,0.337,14.895,0.55185081,14.9840065,0.73787276,14.36300492,0.19789164,59.542563
4,0.198,21.302,0.452,35.349,0.103,3.845,0.39645936,11.0724081,0.98666472,0.41876438,0.13820535,40.61161169,0.224,9.415,0.173,19.809,0.271,15.822,0.44827612,13.90018872,0.88444452,8.69821236,0.32223189,46.12224012
5,0.167,9.129,0.173,30.607,0.088,6.614,0.40373208,13.74213157,0.99164469,0.87850522,0.26473502,24.86811937,0.267,21.016,0.198,16.153,0.252,3.353,0.41868155,10.84421259,0.9175394,5.24709898,0.27405907,21.77106213
6,0.146,14.821,0.244,29.983,0.085,8.164,0.35554109,8.34224952,0.99547331,0.66769524,0.3427298,29.21576558,0.153,14.14,0.122,18.308,0.228,14.985,0.42337943,18.32369691,0.9455015,3.46413378,0.20685323,34.71340745
7,0.122,11.173,0.185,31.984,0.064,13.214,0.32018093,4.20889409,0.99662528,0.50152256,0.30232532,14.94053345,0.189,16.677,0.159,15.324,0.148,9.542,0.3044179,16.79445819,0.96627571,2.42467598,0.32297605,31.14682644
8,0.2,16.22,0.185,25.778,0.027,6.562,0.28947333,7.51219247,0.99759964,0.3814926,0.42544448,23.13180987,0.203,15.032,0.144,8.844,0.157,5.666,0.30615935,15.6891023,0.97863199,1.02726384,0.37408643,30.3031089
9,0.16,14.621,0.055,8.78,0.028,2.442,0.29136643,7.17096013,0.99874471,0.20958163,0.45696094,26.70482001,0.118,23.872,0.141,6.431,0.15,7.645,0.31516367,11.38553272,0.9870459,0.31265818,0.30789148,19.71338276
10,0.149,7.216,0.073,12.104,0.02,2.938,0.25747796,7.6032527,0.99921312,0.11244702,0.61657966,31.86096098,0.104,16.054,0.042,10.85,0.137,7.799,0.32870828,11.73092235,0.99289149,0.72871542,0.36929625,29.91830463
11,0.123,7.386,0.057,7.489,0.02,3.052,0.20396097,5.61284064,0.99939151,0.06218635,0.48135019,29.42801662,0.077,11.507,0.032,3.49,0.13,4.763,0.26761957,6.66569505,0.99649932,0.28933246,0.5122479,34.64573551
12,0.078,11.325,0.09,15.093,0.032,2.632,0.16902516,6.58356535,0.99970465,0.02157984,0.56325095,33.72240936,0.074,14.343,0.022,3.538,0.101,3.779,0.23287679,5.29067106,0.99794221,0.14557218,0.52062321,31.07947893
13,0.075,12.77,0.068,13.562,0.025,2.215,0.16847632,3.23802157,0.99982083,0.00906209,0.63223136,27.2471938,0.116,10.451,0.054,6.518,0.078,4.783,0.20330081,6.84875557,0.99855543,0.13300818,0.44795637,25.13609063
14,0.083,15.992,0.099,17.637,0.024,1.712,0.14970244,2.66662903,0.99983826,0.00484456,0.44591544,50.02880654,0.037,8.521,0.031,3.686,0.07,2.879,0.17014606,7.40486954,0.99896225,0.0799344,0.65151723,20.10208113
15,0.048,8.028,0.095,13.816,0.023,2.722,0.14511853,4.6734473,0.99988884,0.00708325,0.55822996,32.95699668,0.04,12.913,0.037,6.124,0.053,2.066,0.14944861,7.53082273,0.99938227,0.04277457,0.54519237,22.66082969
16,0.018,16.453,0.013,3.321,0.019,3.641,0.14529817,4.9699105,0.99991323,0.00482363,0.56911577,34.37550163,0.04,2.915,0.025,2.874,0.05,1.525,0.16057016,7.09037594,0.99959306,0.02338837,0.71866323,51.03776497
17,0.025,7.747,0.012,15.414,0.026,2.58,0.13705404,5.58377609,0.9999348,0.00193111,0.58099629,58.55549586,0.044,7.124,0.015,6.086,0.06,3.496,0.13710814,6.58292068,0.99974904,0.02470963,0.81481877,41.00828142
