Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,s_hv_median,s_hv_iqr,s_spread_median,s_spread_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr,sw_hv_median,sw_hv_iqr,sw_spread_median,sw_spread_iqr
0,50.16,0.0,15.252,0.0,140.629,0.0,57.39272001,0.0,148156501.8917,0.0,0.82139758,0.0,154.19,0.0,20.338,0.0,223.06,0.0,202.18819286,0.0,124891238.1907,0.0,0.79347518,0.0
1,496.008,923.17,20.137,14.849,2183.892,4803.606,3232.98371242,6658.68734848,150848104.43275,21415142.94165,0.86756282,0.23379757,848.247,666.237,25.338,8.805,4146.245,3156.471,5869.14602323,5058.54192922,156522949.26185,15082247.552625,0.88521443,0.17199838
2,84.785,576.601,13.14,13.259,277.837,3270.831,340.65760144,4269.50900011,158460734.03114998,10474097.89924997,0.89752546,0.21292455,616.784,90.945,22.736,2.178,2673.212,584.263,3975.05603469,660.521301,159739325.7672,13150023.38055003,0.93410995,0.21100714
3,256.22,466.233,17.574,11.598,1141.835,2081.278,1729.28465918,3461.55386658,160021595.24865,7689656.59517497,0.9021409,0.04734288,453.012,84.351,21.29,1.563,1909.621,326.462,2607.39691372,434.03042987,161582462.48650002,3567248.12637502,0.8468289,0.12454519
4,49.532,268.607,11.861,8.448,178.949,1217.367,167.86041759,1913.65730159,160021595.24865,7635539.01307499,0.91846224,0.24568497,398.704,43.332,20.34,0.809,1685.383,316.325,2446.81082018,354.46885699,161582462.48650002,3567248.12637502,0.89231751,0.1234516
5,48.785,232.103,11.861,7.766,167.131,982.763,167.86041759,1666.8074148,160216455.4465,6784991.53094998,0.80066894,0.24327157,310.954,257.065,19.41,8.265,1305.399,1049.132,1890.96756144,1591.33541735,163089634.71845,4276849.99670002,0.84304638,0.06483024
6,50.117,206.136,10.639,8.916,175.388,778.45,167.86041759,1209.64282364,160494629.02225,3928389.66132498,0.76849737,0.28808137,264.193,225.662,18.576,7.371,1159.252,1004.654,1609.26301122,1437.20239456,164323158.12325,4503118.16402501,0.82745261,0.11567332
7,43.257,189.72,9.841,7.12,143.603,723.972,126.56726596,986.72131827,163492431.3248,5510189.87582502,0.68652953,0.23264342,137.074,253.889,13.405,9.973,464.986,1086.619,683.77743605,1397.69983125,166141975.6745,2408526.19842499,0.8078087,0.1907226
8,43.257,165.793,10.024,6.883,143.603,667.966,125.63420377,890.91658036,164511241.2162,4843382.10235,0.63925772,0.29908669,25.182,202.741,9.26,9.17,88.969,737.432,45.25413862,1169.36673181,166141975.6745,4378102.38430002,0.78963535,0.28427298
9,42.812,131.491,10.024,6.482,143.603,506.843,133.00921442,769.13011613,164511241.2162,4780153.46132499,0.67211676,0.28655697,22.281,132.722,8.684,6.412,73.128,508.107,35.23187029,780.16600343,166141975.6745,4378102.38430002,0.83990966,0.22118702
