Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,s_hv_median,s_hv_iqr,s_spread_median,s_spread_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr,sw_hv_median,sw_hv_iqr,sw_spread_median,sw_spread_iqr
0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.32497622,0.0,1.0,0.0,0.726,0.0,0.884,0.0,0.901,0.0,0.79409903,0.0,0.49141297,0.0,0.77298687,0.0
1,0.356,35.665,0.563,37.224,0.35,36.725,0.21539345,21.69414394,0.0,66.37987431,0.83878005,18.79255825,0.422,6.144,0.643,4.0,0.453,5.497,0.26866374,3.92227761,0.10660508,67.86254167,0.87262385,17.71740821
2,0.128,25.289,0.349,36.479,0.116,21.767,0.07370121,14.49667389,0.11119994,63.25827868,0.6230534,52.35296396,0.302,4.11,0.534,3.382,0.292,3.279,0.1639232,2.75483278,0.34482051,36.60054575,0.82773735,17.72179015
3,0.114,20.472,0.333,29.968,0.102,18.728,0.05228743,10.38028557,0.23444567,63.26062684,0.52061121,42.82202474,0.203,17.099,0.465,16.579,0.194,16.294,0.10351846,8.2132885,0.48360187,30.41504829,0.84734627,22.38914158
4,0.017,1.878,0.15,9.864,0.01,1.276,0.00527431,0.60990373,0.27309803,63.86173583,0.48372842,47.46803406,0.155,12.717,0.415,13.521,0.131,13.518,0.08055372,7.01353062,0.50637075,48.75975939,0.82649071,33.38369767
5,0.011,1.321,0.141,5.457,0.008,1.12,0.00430449,0.78957235,0.43208112,41.33572807,0.45782929,34.76033074,0.128,13.13,0.371,29.04,0.099,10.513,0.05750962,6.79258296,0.51321316,45.65663962,0.65101981,48.43762513
6,0.013,8.719,0.152,22.96,0.011,6.907,0.00734318,3.84311289,0.43296893,44.57679363,0.48598502,48.9089429,0.117,11.989,0.353,25.409,0.083,10.032,0.05172566,5.89512013,0.51321316,43.81330638,0.75001523,47.7293922
7,0.012,8.441,0.19,24.973,0.014,6.508,0.00639315,3.53414557,0.43296893,45.19791716,0.50561047,72.1611647,0.06,9.819,0.275,27.211,0.041,7.558,0.0277063,4.62504814,0.51321316,43.81357455,0.65570276,65.39336977
8,0.012,10.748,0.19,28.703,0.014,7.62,0.00769954,4.71658401,0.52743163,26.65760383,0.70666704,59.81347246,0.05,9.107,0.261,24.945,0.039,6.752,0.02476941,4.1883337,0.51515715,43.81357455,0.65786706,49.27017009
9,0.055,9.318,0.219,26.531,0.039,6.744,0.02143592,4.62730105,0.52743163,26.44446013,0.70952225,69.48596322,0.049,8.544,0.257,23.929,0.036,6.129,0.02241662,4.06803896,0.51515715,43.92012863,0.78588775,62.75520594
10,0.011,8.344,0.109,24.082,0.009,6.501,0.00615154,4.45591209,0.52743163,26.44446013,0.765106,65.22367154,0.016,7.349,0.16,24.074,0.007,5.981,0.00502809,3.54997596,0.54205344,43.0559234,0.74833152,70.47104147
11,0.011,7.991,0.109,23.449,0.006,6.148,0.00538929,4.00858893,0.52743163,26.90722408,0.77460427,56.89470172,0.043,7.984,0.241,23.28,0.032,6.729,0.01882503,3.8069886,0.54205344,49.54892844,0.76792729,55.90293429
12,0.011,7.425,0.109,23.009,0.006,5.922,0.00538929,3.43863317,0.5280103,26.90722408,0.78415043,58.54447789,0.011,6.894,0.14,23.559,0.005,5.299,0.00502809,3.15284914,0.6568497,49.54892844,0.6868359,51.77827777
13,0.005,5.435,0.057,18.44,0.005,4.417,0.00359442,2.3373379,0.53097681,25.91706401,0.55605969,50.36617242,0.008,4.643,0.084,20.547,0.003,3.844,0.00318261,2.12501547,0.6568497,49.54811824,0.60784402,44.22249
14,0.005,5.309,0.066,17.813,0.005,3.649,0.00328457,2.13183618,0.5320095,25.91706401,0.54473032,46.25248872,0.008,4.592,0.084,19.97,0.003,3.681,0.00318261,1.99426869,0.6568497,49.54811824,0.71142525,25.40666544
15,0.005,0.575,0.061,4.663,0.003,0.679,0.00173428,0.47458425,0.56298593,17.50286533,0.54085861,41.03466843,0.011,5.7,0.156,21.02,0.003,4.569,0.00318261,2.45441504,0.6568497,49.28865,0.71975164,30.22719113
16,0.005,0.575,0.061,5.118,0.003,0.679,0.00173428,0.47458425,0.56298593,17.50286533,0.52269243,44.11913056,0.035,5.962,0.226,22.041,0.024,4.48,0.01448833,2.72644677,0.6568497,50.08292389,0.75318248,23.71966568
17,0.004,0.602,0.054,4.023,0.002,0.245,0.00133511,0.22976557,0.56320902,19.92375113,0.52269243,52.99111075,0.035,5.61,0.21,21.431,0.026,4.161,0.01355738,2.39407411,0.83566139,49.53496178,0.76288811,29.49402916
18,0.005,0.646,0.061,3.339,0.002,0.561,0.00209542,0.37531849,0.56797313,36.73017358,0.6568738,37.48837725,0.028,5.177,0.184,20.772,0.021,3.986,0.01175181,2.3536758,0.93419328,29.48034892,0.56155908,60.7822671
19,0.007,3.71,0.056,13.901,0.003,2.685,0.00238174,1.55746919,0.60463012,26.5357968,0.74335915,42.78095696,0.045,4.597,0.215,18.418,0.036,3.721,0.02078008,2.2330978,0.93419328,29.65932941,0.66858017,53.83112814
20,0.008,4.567,0.065,17.655,0.006,3.358,0.0026202,1.8921026,0.70819691,24.34809783,0.68877014,46.05162774,0.026,4.695,0.142,19.834,0.02,3.733,0.0097093,2.30155455,0.93423688,28.2669673,0.4310165,52.46373651
21,0.008,4.341,0.065,16.688,0.006,3.238,0.0026202,1.94976197,0.70819691,24.34809783,0.74335915,44.25322856,0.025,4.313,0.142,18.189,0.018,3.296,0.00857357,2.17798801,0.93423688,28.26427624,0.50774716,53.43479083
22,0.008,4.104,0.065,15.708,0.006,3.193,0.00230349,1.84833829,0.70820095,24.34809783,0.7629179,42.63843674,0.007,4.178,0.079,17.55,0.006,2.851,0.00149016,1.84509904,0.93423688,28.26427624,0.4290336,54.42658898
23,0.005,3.106,0.056,12.757,0.003,2.405,0.00154648,1.28617273,0.70821739,24.34809783,0.54993126,48.81644464,0.003,3.242,0.072,17.429,0.002,2.114,0.0003512,1.12432747,0.93423688,23.90011346,0.43020633,56.48233983
24,0.005,3.108,0.064,12.935,0.004,2.271,0.00154648,1.24991589,0.70821739,24.34809686,0.49386801,48.81644464,0.003,3.206,0.072,17.171,0.002,2.114,0.0003512,1.12462227,0.93423688,23.90011346,0.43020633,63.18604975
25,0.005,3.041,0.059,12.778,0.004,2.202,0.00183888,1.19935686,0.70821739,24.34809686,0.58112582,60.49799246,0.003,3.206,0.072,17.007,0.002,2.114,0.0003512,1.11744802,0.93423688,23.90011346,0.43020633,61.81822934
26,0.005,3.171,0.051,13.117,0.002,2.232,0.00086461,1.03827362,0.74479517,25.17796935,0.53416356,53.22456154,0.003,3.206,0.072,17.171,0.003,2.084,0.00047515,1.07731571,0.93423688,23.90011346,0.43020633,57.35349313
27,0.003,0.809,0.036,6.635,0.001,0.556,0.00086461,0.16222043,0.83207928,22.97736736,0.42250449,56.76169377,0.003,3.158,0.072,16.757,0.002,2.138,0.0003512,1.10516385,0.93423688,23.90011346,0.43020633,62.36860106
28,0.002,0.836,0.041,7.571,0.001,0.533,0.00086461,0.17183784,0.83207935,22.98080764,0.43422267,55.34815866,0.003,2.791,0.072,16.399,0.002,2.065,0.0003512,1.08036792,0.93423688,23.90011346,0.43020633,60.99758182
29,0.002,0.836,0.041,7.571,0.001,0.533,0.00086461,0.17183784,0.83207935,22.98080764,0.43389469,55.34815866,0.002,2.712,0.061,16.371,0.001,2.021,0.00019679,1.01225816,0.93423688,23.48599112,0.43020633,62.54740818
30,0.002,0.622,0.027,6.841,0.001,0.167,0.00085653,0.14182116,0.83207935,22.89344634,0.3802609,65.09276928,0.002,2.465,0.045,16.258,0.001,1.977,8.405e-05,0.978602,0.93423688,23.48261703,0.43020633,61.0809623
