Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,s_hv_median,s_hv_iqr,s_spread_median,s_spread_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr,sw_hv_median,sw_hv_iqr,sw_spread_median,sw_spread_iqr
0,0.901,0.0,0.0,0.0,0.0,0.0,0.80565926,0.0,0.96580486,0.0,1.0,0.0,0.0,0.0,0.158,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.42075188,0.0
1,0.99,87.51,0.638,22.826,0.462,69.095,0.87402611,74.9874984,0.31050888,56.46473288,0.17861287,78.1237374,0.363,15.389,0.543,46.761,0.557,39.541,0.21001377,14.83272048,0.2954935,72.98058493,0.55490108,44.95742511
2,0.752,92.847,0.632,38.268,0.196,37.359,0.73203665,80.27504886,0.40441908,54.32353749,0.33598255,57.19015796,0.473,74.166,0.575,59.079,0.643,85.443,0.32734867,83.40453367,0.41499015,52.59172471,0.45805381,51.29603695
3,0.604,71.905,0.446,48.863,0.295,49.666,0.56035827,75.83851029,0.24773292,45.35558775,0.4584792,39.94652119,0.127,71.625,0.17,56.951,0.594,64.393,0.24654731,67.28528816,0.49546684,54.87167248,0.45148711,63.01207748
4,0.56,53.51,0.465,55.762,0.559,71.385,0.49595442,48.60734746,0.44115227,56.05061028,0.24588732,45.64894708,0.453,54.999,0.534,60.528,0.389,55.454,0.39288137,52.4649528,0.30071118,96.62737196,0.21798432,58.71822232
5,0.442,55.622,0.728,63.703,0.588,51.307,0.36391119,54.02956752,0.23954357,60.24029749,0.3481575,99.81631415,0.378,38.411,0.572,77.025,0.688,44.721,0.38486226,31.2649399,0.45902677,33.47208185,0.5664011,70.00167387
6,0.505,81.572,0.543,66.806,0.765,75.971,0.47659414,65.76971448,0.30553307,80.03903841,0.42182284,44.63031133,0.711,91.358,0.61,74.058,0.669,89.65,0.87255733,74.55191951,0.25653507,52.06979468,0.28420163,83.19505293
7,0.481,50.615,0.634,69.614,0.559,131.427,0.45542923,56.4292598,0.07559289,100.86795986,0.28699102,39.76080041,0.191,29.286,0.431,32.96,0.467,46.131,0.14825751,37.43833117,0.72067491,42.27706596,0.29371513,82.99651747
8,0.2,35.485,0.522,53.219,0.25,73.012,0.35456512,51.67913632,0.59456939,60.05314177,0.67167003,72.53417451,0.383,13.35,0.605,42.549,0.698,18.807,0.33769424,21.91956816,0.45555323,47.83863655,0.19415002,60.5497829
9,0.569,60.322,0.569,29.697,0.367,87.966,0.52678903,78.1028478,0.38092979,46.84043928,0.26808801,46.44803634,0.403,60.567,0.509,44.802,0.462,68.764,0.31186293,50.46107308,0.38673619,52.36650637,0.45397058,57.99849924
10,0.393,38.178,0.652,77.691,0.674,70.029,0.28035001,40.33674012,0.34299771,43.392099,0.63884486,31.71157901,0.58,48.59,0.377,71.189,0.693,29.052,0.44938623,39.197628,0.57334526,33.07021834,0.30741149,70.44871966
11,0.159,36.639,0.72,45.283,0.46,59.28,0.19229525,41.15999516,0.50051846,34.94080665,0.49911346,63.73579104,0.451,46.855,0.744,77.38,0.35,20.437,0.26516868,42.76929678,0.30510485,58.8117544,0.23385909,75.60075124
12,0.896,52.479,0.53,62.974,0.381,43.859,0.8233741,55.37124406,0.48778568,34.65715692,0.21281872,70.09668973,0.855,66.956,0.799,40.979,0.4,91.368,0.71969524,50.74582606,0.07845703,51.97672826,0.34139478,16.45260315
13,0.457,57.874,0.348,64.587,0.362,45.032,0.3711527,40.01396361,0.43261561,47.49365276,0.44230344,74.90365571,0.792,76.701,0.546,66.439,0.621,82.028,0.66070236,66.50597554,0.30645474,24.15566282,0.53484699,47.71703671
14,0.535,51.117,0.536,81.707,0.414,64.018,0.52909227,29.55724182,0.34164118,42.9107058,0.2854895,40.43934753,0.427,64.658,0.446,22.53,0.168,63.17,0.39095007,59.46954566,0.51240754,32.27284475,0.11207772,82.25812533
15,0.44,106.505,0.693,40.639,0.261,39.765,0.44098413,94.79809202,0.39871852,34.38255482,0.57476544,33.3389121,0.408,84.016,0.509,53.404,0.586,32.747,0.53383728,77.89901988,0.30380575,53.88328326,0.35314119,38.19035233
16,0.193,40.875,0.899,82.412,0.669,57.081,0.24665974,44.45908336,0.31305396,68.93963571,0.65684181,71.04984926,0.624,54.854,0.555,44.67,0.557,38.616,0.53851287,59.73031398,0.53576242,33.52153509,0.23954685,28.93589309
17,0.206,47.434,0.576,42.492,0.296,39.018,0.13693951,46.14358308,0.5757215,41.84167523,0.49566678,45.57637414,0.6,65.837,0.497,33.917,0.505,15.674,0.4893174,85.90904367,0.36116533,43.12095539,0.53021903,90.81706082
18,0.646,73.861,0.529,91.737,0.879,120.469,0.55259748,67.01796468,0.37512657,50.18071738,0.09709744,26.80432838,0.752,56.886,0.427,80.208,0.363,50.06,0.61080985,46.13180277,0.51010232,56.8347984,0.0252763,25.49722647
19,0.676,55.823,0.349,33.085,0.078,42.237,0.72129899,57.64486801,0.3798616,58.24571712,0.61595694,48.21968753,0.3,25.565,0.604,39.324,0.79,73.163,0.25880426,16.97912838,0.57274775,49.76234887,0.30182048,58.43377126
20,0.702,49.184,0.789,47.866,0.421,77.0,0.61706723,47.41356973,0.17513324,67.27093641,0.37320545,41.50649549,0.274,79.971,0.632,67.166,0.228,39.971,0.28905837,73.64774436,0.43807669,65.74371459,0.03584145,29.19752001
21,0.832,85.978,0.382,50.204,0.287,20.057,1.0,102.7148406,0.30782014,77.36139584,0.26990525,54.18404995,0.514,41.986,0.345,28.297,0.526,66.885,0.38722033,33.31823458,0.33739806,33.89724766,0.51050934,43.28946068
22,0.67,60.373,0.856,54.115,0.407,64.995,0.63259818,59.6145463,0.58514657,41.74265296,0.35627295,38.16055861,0.454,37.743,0.46,49.97,0.348,31.267,0.36263445,27.84399076,0.35233338,43.45758632,0.43531414,48.91646774
