Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,s_hv_median,s_hv_iqr,s_spread_median,s_spread_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr,sw_hv_median,sw_hv_iqr,sw_spread_median,sw_spread_iqr,evals_standard_random,evals_sway2
0,50.16,0.0,15.252,0.0,140.629,0.0,57.39272001,0.0,148156501.892,0.0,0.82139758,0.0,154.19,0.0,20.338,0.0,223.06,0.0,202.18819286,0.0,124891238.191,0.0,0.79347518,0.0,0.0,0.0
1,1320.136,1838.666,31.273,10.913,10913.324,7661.812,16519.5151903,13417.9938328,0.0,55039747.9055,0.67105781,0.43305425,1684.575,1472.144,33.044,15.268,8442.572,11238.177,11148.8769024,9806.30186982,0.0,30856336.2056,0.67469782,0.20725477,3.0,3.4
2,1336.787,916.448,29.408,10.915,7771.864,5884.412,8484.82398095,10409.3780678,15687453.5764,45053636.24,0.63293833,0.22446661,1645.335,1299.32,30.308,6.645,12294.51,11041.937,13613.3082904,7411.6593638,0.0,0.0,0.72420037,0.31196651,6.3,6.6
3,1234.092,626.297,28.717,9.524,8340.759,2382.339,8290.42114564,2632.26559412,0.0,0.0,0.58733176,0.26880479,1096.14,794.343,29.06,8.081,6880.851,4588.26,8496.88117203,3673.9239708,0.0,0.0,0.63283429,0.26117184,9.5,9.9
4,1115.319,1459.978,27.428,11.508,5868.711,7507.543,9256.98036099,7892.6122974,0.0,16231681.6828,0.4523321,0.54933039,1675.705,1212.7,30.541,11.964,8897.304,11140.557,11065.8603934,11507.7157474,0.0,0.0,0.53140659,0.28744295,12.3,12.9
5,1635.393,1740.39,34.992,8.027,7878.646,12426.1,10257.3124641,9199.68967116,0.0,0.0,0.58592768,0.24770095,1023.345,553.554,30.689,3.959,7660.585,5056.427,12248.9091775,7585.81924718,0.0,0.0,0.58970314,0.38514841,15.6,16.2
6,1486.562,940.554,27.404,5.215,13374.096,11576.63,15996.4993706,4459.2299267,0.0,46392200.8619,0.54824072,0.31977434,1299.416,461.668,30.775,7.1,8980.34,7849.261,9113.31045391,7522.01906164,0.0,0.0,0.45730891,0.34157061,18.9,19.6
7,1145.182,937.891,25.474,6.6,4649.022,4423.7,4591.25736063,5345.86265368,55686275.6221,100925938.325,0.37571009,0.24782662,1303.158,1146.302,28.259,8.687,11622.121,11955.122,21384.4493428,20546.6402682,0.0,50832555.2998,0.69464158,0.25076292,22.2,22.9
8,1497.004,1106.512,28.799,12.408,7728.245,2925.054,9702.84633366,7411.7038159,0.0,0.0,0.56976994,0.31112407,1310.574,460.578,32.31,8.409,8588.836,7869.232,10472.8658997,8293.82041897,0.0,24089351.2562,0.47652095,0.13803363,25.4,26.3
9,1836.695,829.226,39.701,12.204,9475.083,11728.398,11189.6073504,10584.1325895,0.0,4316307.85065,0.82558518,0.25435291,1133.976,1284.708,29.938,3.851,4857.921,6115.77,8453.87030357,4647.62395835,0.0,15225909.4101,0.79811998,0.36357937,28.4,29.4
