Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,s_hv_median,s_hv_iqr,s_spread_median,s_spread_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr,sw_hv_median,sw_hv_iqr,sw_spread_median,sw_spread_iqr,evals_standard_random,evals_sway2
0,1850.98,0.0,33.892,0.0,13526.58,0.0,20741.0965088,0.0,2.82910805358e+13,0.0,0.76688217,0.0,2061.394,0.0,33.526,0.0,13299.793,0.0,20715.9318473,0.0,2.79821750026e+13,0.0,0.7812574,0.0,0.0,0.0
1,1387.627,1439.054,29.247,7.939,6014.741,9425.49,9689.40806248,9663.74154987,2.69919808469e+13,1.13822421143e+12,0.83995657,0.12130287,1634.98,1029.871,31.462,9.351,9239.082,9946.337,15880.2704143,7019.53278818,2.68158562223e+13,1.16440556736e+12,0.34957309,0.49474035,3.2,3.0
2,970.511,909.232,26.976,8.145,4842.304,2335.756,13819.9318628,12626.3787255,2.70533645397e+13,7.11981473718e+11,0.85883373,0.39234589,1670.548,1413.571,31.643,9.479,7264.688,9045.695,8844.70336539,10339.5372997,2.68142831167e+13,5.78996839505e+11,0.46675905,0.45429035,6.5,6.0
3,1778.512,1410.671,28.934,3.037,7020.56,7299.014,11384.7426499,6459.24169311,2.65878237048e+13,6.62907543773e+11,0.45966336,0.42814398,2007.466,1100.154,32.677,14.56,12697.936,5575.834,14320.6172781,6068.96370519,2.69868275563e+13,1.82822775183e+12,0.52093394,0.30827657,9.2,9.3
4,1281.018,1223.043,27.328,7.923,9892.578,13046.531,11554.5407244,13162.2283318,2.7020317107e+13,6.52790150703e+11,0.53132803,0.2914478,1027.081,875.295,27.612,6.793,7282.144,6265.724,7809.65973767,6715.00788648,2.71788160973e+13,6.07972568705e+11,0.48338663,0.50947608,12.4,12.6
5,1545.049,1116.968,31.713,11.437,8412.116,13298.629,14421.5449674,9382.89635096,2.71588145699e+13,9.59452839953e+11,0.43282353,0.3141282,1523.082,1097.276,33.848,12.369,11184.423,9082.446,12632.0250517,13531.8067399,2.65178143096e+13,9.1035312948e+11,0.63743099,0.34618614,15.5,15.7
6,1165.381,501.959,29.048,8.463,5844.88,5076.739,7144.72896318,6574.77638793,2.68870524033e+13,7.5257116752e+11,0.64670485,0.3028517,1297.263,1422.026,26.635,12.305,6728.351,13280.982,11092.0889498,13996.4281662,2.74388512096e+13,1.24952745489e+12,0.63857923,0.24635549,18.6,19.0
7,1112.022,575.997,27.597,8.582,5583.222,5482.714,9215.98263478,5494.98228844,2.76378762889e+13,1.17742047884e+12,0.65784086,0.31503504,1790.741,952.267,29.261,8.768,13344.662,12148.521,17342.8013012,14351.1185814,2.65239580222e+13,9.77087392537e+11,0.49917948,0.35928848,21.8,22.2
8,1656.72,886.527,31.749,6.948,7345.372,16448.333,8664.11421829,16659.5300793,2.69129853992e+13,5.53617888206e+11,0.46224556,0.3816756,1899.756,1044.244,36.69,13.211,8508.575,9514.809,10484.282182,4928.02731047,2.75882087099e+13,1.38331382142e+12,0.56285801,0.31618074,24.9,25.6
9,1791.748,1269.346,31.367,9.566,12766.604,14715.424,12930.3625294,14794.0010494,2.67802944308e+13,1.45085883554e+12,0.56015408,0.34779504,1096.888,739.904,35.008,10.876,6046.354,9657.587,15077.0809401,10260.42163,2.64227753308e+13,9.24279123888e+11,0.77287677,0.30701176,28.1,28.4
