Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,s_hv_median,s_hv_iqr,s_spread_median,s_spread_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr,sw_hv_median,sw_hv_iqr,sw_spread_median,sw_spread_iqr,evals_standard_random,evals_sway2
0,2245.479,0.0,38.493,0.0,10855.215,0.0,26976.4692439,0.0,6.02594987056e+13,0.0,1.00025795,0.0,1632.264,0.0,34.838,0.0,9787.553,0.0,21426.0806822,0.0,6.03533978736e+13,0.0,0.87500356,0.0,0.0,0.0
1,1039.259,932.839,28.164,6.673,6144.102,9849.89,8351.33887973,16914.673212,5.82172667711e+13,7.99252375252e+11,0.53811651,0.2713578,1128.011,420.183,31.389,8.351,6968.723,7638.161,12962.1435283,10377.3548665,5.85249287304e+13,1.336990233e+12,0.46690612,0.4460724,3.1,3.3
2,1766.024,840.891,31.892,4.362,9121.631,3735.673,9549.93615816,6540.93189568,5.73851581146e+13,1.49205445297e+12,0.59727633,0.15640831,995.073,1273.531,27.27,6.636,6309.472,12073.267,12510.5058013,11557.6627857,5.78561743145e+13,1.57961448742e+12,0.68728432,0.55485055,6.5,6.2
3,1677.519,1530.716,28.164,11.482,11919.898,12499.323,12878.4452478,9268.63429804,5.83141353025e+13,2.06694096633e+12,0.48600939,0.15151242,1539.102,935.146,33.953,2.425,11676.477,8125.995,13703.188893,7578.92461628,5.74662382267e+13,9.87944285426e+11,0.45925504,0.34836477,9.6,9.8
4,1373.408,813.347,30.375,7.213,6656.729,3689.207,7666.22308599,4475.7094586,5.80018997414e+13,1.20055692087e+12,0.60653486,0.45609857,1056.69,672.461,28.752,8.656,5991.298,8534.112,16721.9320815,20565.307448,5.8532921569e+13,1.01110465474e+12,0.82279685,0.18355498,12.6,13.1
5,1309.325,1342.672,27.167,10.073,10147.494,8381.568,10352.270283,10750.0635783,5.82203731202e+13,1.54153469513e+12,0.62418266,0.35678513,1467.776,1261.295,26.923,5.41,9427.472,3309.894,10434.6357218,17380.9660515,5.82072557749e+13,9.54015718776e+11,0.66913591,0.51862068,15.7,16.3
6,1502.712,910.181,29.342,4.706,12246.646,10976.193,12023.3932804,12441.8358912,5.74119265696e+13,7.80841247724e+11,0.69175504,0.39349298,1295.386,1001.066,30.857,6.945,13351.228,5914.883,15156.8798733,8725.80864333,5.73770403987e+13,1.9126168564e+12,0.56459653,0.4945656,18.7,18.9
7,1541.078,2230.987,31.593,5.206,9674.76,12338.181,13768.2936473,9137.48091546,5.77371231775e+13,1.42321054387e+12,0.70126628,0.42868606,1340.835,649.558,27.624,11.343,6254.572,4280.848,8915.33715722,6803.1109954,5.80185064029e+13,1.39684078407e+12,0.71745465,0.42025254,21.7,22.2
8,1745.214,845.244,32.702,3.942,11938.755,5483.947,14281.8346737,10837.7894893,5.80450529497e+13,1.34986560422e+12,0.60688249,0.30114716,1606.419,1424.043,35.845,6.882,17150.42,12308.676,16693.3131041,18151.5347694,5.71160994596e+13,1.3019925225e+12,0.63631435,0.433773,24.7,25.3
9,1599.551,1083.593,33.088,3.701,12578.028,15953.851,19331.5948781,16325.8945134,5.77448545136e+13,1.62153414015e+12,0.62971628,0.39834964,1259.373,1286.527,27.341,6.8,6531.313,6687.539,11652.0637825,12651.4044102,5.81952028177e+13,1.14067509518e+12,0.61851956,0.35620287,27.7,28.7
10,981.223,933.991,30.892,11.639,6962.946,5183.276,7453.37175055,5304.76428591,5.75061532908e+13,1.35561122625e+12,0.55506665,0.39855376,1681.601,1614.13,28.976,4.08,8545.189,11715.355,16806.6441445,10319.1742569,5.75108951807e+13,1.10156068784e+12,0.66379601,0.14525763,30.6,32.1
11,1540.382,1110.296,31.067,10.232,11515.506,9460.7,14255.1421886,10675.1795962,5.84301460438e+13,2.29857428965e+12,0.55262831,0.64653489,1260.763,879.343,28.223,5.944,7760.836,3357.877,8160.35223496,2925.21255645,5.7868644958e+13,9.01870249298e+11,0.62871539,0.22255252,33.5,35.3
12,1195.31,1217.073,34.8,13.585,11396.056,10914.39,13800.7265566,13058.354294,5.75689026572e+13,1.90665053188e+12,0.43797178,0.22372748,1334.015,1448.748,26.849,8.7,6305.463,7014.088,8084.79856314,11455.0307848,5.85034743109e+13,8.01393485307e+11,0.83396254,0.5489325,36.6,38.8
13,1572.027,1212.182,31.734,8.099,10951.771,7427.974,14869.2629569,12690.1618858,5.76038472545e+13,1.39622385525e+12,0.76730084,0.2792816,1239.841,686.663,29.062,3.22,9754.368,13168.358,10842.0512407,13380.6325439,5.73578618451e+13,1.89186613582e+12,0.54340949,0.16681456,40.3,42.1
14,686.536,1026.815,28.581,5.657,7630.301,8514.958,7862.74147947,24529.7125884,5.84344688056e+13,1.11433447112e+12,0.55298046,0.43339826,1272.139,826.002,27.842,7.141,6581.596,13179.116,14252.3884811,13714.5614266,5.8915762644e+13,1.09039325917e+12,0.46863501,0.27803741,43.2,45.1
15,1334.666,457.101,29.634,5.015,6712.301,6333.648,9914.19824217,7506.16483809,5.80067937975e+13,1.41673761607e+12,0.43810467,0.45035874,1146.258,874.626,27.575,3.0,8782.81,12440.572,9629.64763658,11394.3340662,5.82932877864e+13,8.99760641812e+11,0.53646925,0.28492193,46.7,48.1
16,1340.241,1428.375,29.11,5.885,8286.508,10551.916,13028.8686603,5836.29363135,5.80311095413e+13,9.0724382772e+11,0.54431164,0.42263233,1104.916,664.037,28.272,6.492,7464.629,6972.869,9476.70827539,7511.23287936,5.82389136713e+13,8.52527841698e+11,0.48299953,0.33306578,49.8,51.4
17,1639.724,593.401,32.746,9.265,8446.591,4562.257,10187.3012902,8525.64872073,5.7508438877e+13,1.54259492667e+12,0.56039885,0.23413352,1158.406,1064.61,28.473,9.005,4430.693,8822.738,7860.68008081,6427.17915147,5.82459248276e+13,1.13560266188e+12,0.5495235,0.33164555,52.8,54.8
18,1262.06,1205.233,26.624,4.485,7736.869,3717.83,9500.49760363,6306.07528522,5.79124726095e+13,1.29381966899e+12,0.71231101,0.29439911,996.98,1496.77,30.446,7.852,8465.675,9748.078,9131.66263788,21444.3070756,5.8068859098e+13,1.2812620886e+12,0.72676743,0.15894346,55.9,58.3
19,1935.871,973.968,32.875,7.481,12684.116,6985.58,11955.7452682,9922.9905382,5.75027064753e+13,1.9054889432e+12,0.69797342,0.22573683,1470.32,792.536,26.517,9.357,9175.398,7465.254,11134.98192,6114.14407895,5.82759885642e+13,8.65459611859e+11,0.5321773,0.52131427,59.2,61.4
20,1677.694,727.2,37.806,12.808,14861.575,9592.634,17100.4550165,14597.4157238,5.75268741791e+13,1.27248909927e+12,0.47674283,0.48831353,1537.549,719.851,32.861,3.17,10234.45,7299.232,12962.4564368,5755.88418892,5.78845433998e+13,2.10112325796e+11,0.70905656,0.28120272,62.4,65.0
21,1265.959,1036.155,29.663,6.252,10554.465,10725.293,15933.1917052,7780.33587027,5.81599489533e+13,1.89211504512e+12,0.24671557,0.56277879,1147.96,828.901,30.454,13.551,6946.394,10673.631,11137.6206358,13351.4012167,5.75786105316e+13,1.65738071824e+12,0.55333696,0.26083608,65.7,68.2
22,1553.75,1563.786,32.556,9.902,12429.251,17138.653,16126.2470485,11624.6400984,5.80676080707e+13,5.39295797607e+11,0.66367354,0.4584307,1060.774,1028.107,25.796,8.303,5035.904,8152.032,4924.48949443,10130.0181475,5.80780951314e+13,7.39542076291e+11,0.45839911,0.34375891,68.7,71.3
23,2905.077,1376.498,35.523,9.569,12764.829,6519.144,18332.0246929,6430.08906409,5.68633591056e+13,1.13850854174e+12,0.693651,0.2942713,1385.568,903.257,28.367,5.65,8755.161,2782.111,11451.9569262,6665.28428048,5.81909817433e+13,9.81237048567e+11,0.61668244,0.18922028,71.7,74.3
24,1359.412,769.482,32.464,9.034,10044.594,7142.921,11331.7872497,10205.5363131,5.8544351132e+13,1.24249366127e+12,0.63787294,0.24226069,1439.099,706.043,30.145,11.881,7300.142,6906.21,16318.5153869,16350.7089964,5.80096230235e+13,1.15049569505e+12,0.78355286,0.34454743,75.5,77.5
25,1293.211,736.238,30.671,9.363,10006.786,4924.632,10789.0920617,5984.53942927,5.77265880402e+13,2.28389775247e+12,0.51334461,0.54778839,1628.229,1623.774,30.445,13.251,8890.475,8814.348,13018.0784803,10165.8920498,5.76431744695e+13,9.33290030255e+11,0.60497442,0.26630046,78.4,80.7
26,1266.174,1155.531,30.551,7.301,6518.474,3971.367,8340.9358312,6575.69623906,5.79320000985e+13,1.72260258179e+12,0.6787315,0.15091717,1323.366,999.764,26.815,6.234,8281.69,9452.803,13007.651986,21341.2132723,5.81517168113e+13,1.47166726775e+12,0.64327188,0.40685049,81.5,83.7
27,1360.926,742.304,33.145,10.238,9904.859,4094.519,10378.0216736,7211.98243666,5.73553615517e+13,1.44728448423e+12,0.59410678,0.47422384,1087.551,911.368,28.048,4.567,5310.483,9285.262,8615.42232255,16587.2358932,5.81430346931e+13,8.8159470969e+11,0.59933964,0.2180259,84.7,86.8
28,1267.8,598.694,30.537,4.82,8039.079,7231.111,9915.6546255,4525.38851097,5.78986046739e+13,9.75855251288e+11,0.41409971,0.16518148,1231.877,1138.479,28.252,5.206,8049.004,4588.652,10666.1220258,6482.60766876,5.74659266714e+13,1.31642150799e+12,0.64298629,0.25893002,88.0,89.8
29,1349.347,1243.7,25.611,9.241,9642.172,9188.756,14214.8110829,7571.87535433,5.81892771059e+13,7.68844976334e+11,0.52104008,0.49432306,1340.427,827.47,35.654,10.897,7274.089,7103.045,9989.03116759,11970.1965686,5.78178861948e+13,1.33355912989e+12,0.66981222,0.38154532,91.0,93.2
30,1702.592,1328.802,31.563,9.302,8258.287,2707.981,8008.99626971,3859.36604516,5.85289079214e+13,1.53507981716e+12,0.48158263,0.3114713,1220.865,677.969,30.101,12.451,9446.439,8384.597,9278.56416776,5749.89572869,5.77963213151e+13,2.19159698628e+12,0.52922771,0.23995918,94.6,95.8
31,1253.556,819.732,30.148,5.629,6835.316,5976.691,12821.7798347,6933.14701913,5.86337805676e+13,7.55548918796e+11,0.66276939,0.33251356,1003.277,1072.664,32.105,2.9,7424.828,8165.061,9309.83537051,5497.95580915,5.84827569883e+13,1.40297028785e+12,0.3689368,0.49863391,97.9,99.1
32,1798.454,1653.922,31.205,7.544,10443.558,3030.551,14132.8476666,8280.00615218,5.76576962017e+13,2.71346895799e+12,0.476816,0.28138227,1136.304,1020.89,29.051,7.598,8170.538,6093.996,9715.96036806,10216.1271869,5.77426809285e+13,1.61950732498e+12,0.79235866,0.20324472,101.1,102.2
33,799.062,775.495,31.146,7.179,5116.333,5258.883,7892.47400804,6660.61377114,5.8413253152e+13,8.58725418023e+11,0.83480636,0.35538201,1549.646,541.292,32.926,11.027,8575.81,7418.517,12166.2217996,7331.51837134,5.76703803961e+13,1.63430372206e+12,0.533876,0.46963998,104.6,105.7
34,1827.024,1611.783,31.975,7.8,9839.224,6210.685,12951.5260458,8146.08193839,5.82990553774e+13,1.53529811685e+12,0.61246532,0.25396168,1015.616,958.168,30.587,5.919,8140.031,4213.509,10760.5644105,10286.9229718,5.7553120804e+13,1.51416641463e+12,0.66244331,0.34637475,108.0,108.6
35,1363.96,1006.251,32.997,9.537,9141.138,6940.826,15418.4390505,10554.535856,5.68949646287e+13,2.64369491042e+12,0.64382452,0.48620664,1491.89,917.843,26.702,9.556,6522.618,4459.355,10117.4975285,5104.91964941,5.82608840052e+13,1.49111139218e+12,0.58158755,0.42843322,111.2,111.8
36,800.886,736.295,24.42,6.385,5652.127,11105.59,5650.09039855,10517.638923,5.83187239344e+13,4.70713131264e+11,0.65318719,0.26476635,1155.363,563.464,27.531,7.148,10756.877,5743.66,15432.1908364,11788.2682393,5.8549677739e+13,6.14035212306e+11,0.57520964,0.52473507,113.9,115.1
37,1794.166,1525.352,31.349,10.963,7998.228,4603.916,9895.71339588,4201.97136322,5.81141957663e+13,6.44251180303e+11,0.41388549,0.36662793,1757.582,458.971,33.683,7.745,8986.633,7999.719,11092.9716261,8802.73887794,5.71720243187e+13,1.07943828414e+12,0.70355962,0.23489662,116.8,118.4
38,1506.059,935.508,28.587,7.108,10175.36,5662.874,10794.5183544,8040.84692503,5.7709024427e+13,1.73049024402e+12,0.63397765,0.17819346,1246.655,1370.332,29.187,5.041,6924.253,11971.316,10448.2862775,13806.3302282,5.77765382372e+13,4.86027969912e+11,0.42221063,0.18887512,120.0,121.3
39,1323.393,683.959,28.88,11.055,7050.912,4105.219,11306.3664571,10611.778129,5.88325399145e+13,1.34867244223e+12,0.78339617,0.4121206,1449.034,840.752,27.994,6.67,7333.855,8671.456,7836.96345312,12215.4188121,5.80507013825e+13,1.55403678085e+12,0.29371063,0.51142617,123.0,124.6
40,1675.234,885.926,31.287,5.925,7492.801,9888.585,11657.3364073,15831.0063314,5.83050867355e+13,1.41622934855e+12,0.72831997,0.51263937,1357.813,1218.292,28.883,14.471,5491.721,4093.933,7320.41057563,8464.13323392,5.79475783698e+13,1.02132838482e+12,0.69216697,0.31946084,126.6,128.0
41,1117.269,747.224,30.056,12.398,7016.457,10154.786,8326.00912392,7271.68881688,5.87306741366e+13,2.25991456273e+12,0.65122038,0.13870464,1607.014,1540.21,29.701,9.119,6689.598,4324.12,7564.80980579,4195.203392,5.83183043553e+13,1.30172935914e+12,0.55487398,0.47423743,130.0,131.3
42,1162.654,406.58,30.272,5.815,5876.87,5633.273,14272.9341732,17451.7596092,5.80432514975e+13,1.26963871248e+12,0.42472618,0.51301549,1223.609,823.402,29.12,10.087,4935.969,8449.893,5948.93321568,12629.1067985,5.84995962439e+13,2.00337793963e+12,0.61079339,0.42133188,132.8,134.0
43,1308.114,1311.705,29.744,6.945,11739.265,7738.348,16263.2200591,6597.73672744,5.72210027694e+13,1.82186538282e+12,0.69870315,0.53345401,1701.333,1226.852,33.745,8.217,14557.248,10176.809,16006.5923987,17455.3157354,5.77504044929e+13,1.71383846404e+12,0.56779917,0.56753155,136.1,137.1
