Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,s_hv_median,s_hv_iqr,s_spread_median,s_spread_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr,sw_hv_median,sw_hv_iqr,sw_spread_median,sw_spread_iqr,evals_standard_random,evals_sway2
0,2245.479,0.0,38.493,0.0,10855.215,0.0,26976.4692439,0.0,6.02594987056e+13,0.0,1.00025795,0.0,1632.264,0.0,34.838,0.0,9787.553,0.0,21426.0806822,0.0,6.03533978736e+13,0.0,0.87500356,0.0,0.0,0.0
1,161.286,845.759,18.027,12.909,609.698,4095.131,698.39464435,6539.89718352,6.01186634714e+13,4.36799852219e+11,0.66529895,0.36105039,924.322,687.063,26.619,9.636,3948.243,3471.166,5586.02196787,4851.25588555,6.02477417677e+13,2.41891446323e+11,0.91386035,0.14311143,92.0,92.0
2,524.149,579.089,22.136,9.301,2362.902,2540.6,3439.92218569,4451.83456796,6.030450265e+13,4.00064682749e+11,0.90558181,0.46575522,650.182,621.186,23.728,13.028,2481.51,2675.701,3819.17176402,4473.49342732,6.03560669436e+13,2.42693666192e+11,0.91406819,0.14971361,184.0,184.0
3,223.74,436.276,19.467,10.235,926.104,1575.594,1428.93240369,2823.15525673,6.04525936415e+13,3.38266988469e+11,0.88956939,0.25260342,244.093,480.666,17.47,13.139,1044.035,2124.82,1384.82681282,2912.96952444,6.03834648391e+13,2.58420995314e+11,0.88824996,0.20158857,276.0,276.0
4,200.682,303.646,17.461,9.42,741.904,1324.798,1128.54393373,2183.52226644,6.04525936415e+13,3.38124866204e+11,0.90387009,0.18400951,41.118,367.682,10.069,12.506,166.947,1697.471,145.85383256,2165.14861734,6.04492361341e+13,2.21546164849e+11,0.74790239,0.5875014,368.0,368.0
5,181.336,311.538,15.919,8.91,654.488,1138.268,912.81116266,1800.73582483,6.04640174716e+13,4.24300063341e+11,0.87927971,0.26989397,33.919,216.196,8.556,9.553,106.362,993.782,105.35064804,1223.04083403,6.04586547799e+13,1.94650533084e+11,0.5695629,0.36873936,460.0,460.0
6,270.99,247.414,18.317,7.501,1026.207,1133.285,1475.27198895,1642.8524076,6.04640174716e+13,2.25583919489e+11,0.85913244,0.29503121,33.919,198.533,8.556,8.701,106.362,831.374,105.8229186,1090.37173629,6.045865672e+13,1.94650533084e+11,0.58821577,0.37353593,552.0,552.0
7,158.541,231.798,14.922,8.364,523.717,879.656,671.83294008,1214.51791291,6.04718764595e+13,2.30586498477e+11,0.79322389,0.30912939,33.919,173.453,8.834,8.07,106.362,741.817,105.8229186,941.32645642,6.045865672e+13,2.04431948248e+11,0.65591149,0.26888457,644.0,644.0
8,224.438,186.181,16.851,6.292,841.039,731.048,1144.61847849,1135.74433465,6.04818816175e+13,2.60427112415e+11,0.77490569,0.33270872,31.399,169.049,9.0,7.413,93.972,669.96,88.10541988,958.18122899,6.05220659038e+13,2.26320325314e+11,0.70007624,0.26834662,736.0,736.0
9,221.996,134.658,16.813,5.258,835.643,548.021,1155.33895959,741.7164978,6.04818816175e+13,2.60427112415e+11,0.85020398,0.20668777,31.399,140.864,9.0,6.68,93.972,563.774,81.7285519,804.82995038,6.05559773233e+13,2.21611002418e+11,0.6406259,0.25385947,828.0,828.0
