Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,s_hv_median,s_hv_iqr,s_spread_median,s_spread_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr,sw_hv_median,sw_hv_iqr,sw_spread_median,sw_spread_iqr
0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.67936947,0.0,0.773,0.0,0.949,0.0,0.815,0.0,0.77426227,0.0,0.70512733,0.0,0.51887277,0.0
1,0.058,30.632,0.366,38.868,0.036,26.234,0.02154204,24.53348787,0.30737927,55.09288539,0.71733327,71.48274739,0.212,43.586,0.48,52.722,0.173,35.67,0.15869836,32.61515817,0.24592159,29.27582068,0.8614404,49.54170037
2,0.041,15.126,0.326,27.864,0.026,16.461,0.01600353,13.08777475,0.30737927,51.37161861,0.80995626,56.36774521,0.139,29.008,0.432,43.0,0.107,23.36,0.10498299,21.94980693,0.45518674,36.19115467,0.90865511,37.66622131
3,0.04,16.677,0.327,30.073,0.039,13.843,0.02055634,13.29877954,0.51733868,52.79467695,0.83141542,36.78886266,0.112,22.113,0.401,37.594,0.096,17.052,0.08409656,15.70937707,0.45775542,36.27677118,0.94866989,35.35301091
4,0.158,15.402,0.501,35.006,0.112,11.479,0.12007124,12.10384256,0.56568858,30.01306217,0.94435238,104.7033763,0.095,16.886,0.354,32.667,0.066,13.141,0.07078264,13.37670472,0.57588609,12.81863082,1.0,46.04173233
5,0.142,13.693,0.469,34.04,0.096,9.071,0.08910552,10.30219426,0.56569236,28.77954245,0.76755119,70.56646684,0.087,15.027,0.341,32.698,0.057,12.235,0.05623607,11.45157367,0.5906911,15.00652367,0.93652993,30.5493817
6,0.121,11.669,0.441,30.992,0.086,7.419,0.07323272,8.01494308,0.56693056,28.77954245,0.82317474,66.28822867,0.075,12.944,0.311,34.285,0.052,10.175,0.04883337,9.92450919,0.60703113,16.94511448,0.92174899,46.59886012
7,0.02,10.605,0.217,33.83,0.021,7.32,0.0068265,6.78230554,0.60241484,29.08072865,0.21994026,82.33465306,0.016,11.377,0.176,34.377,0.009,8.629,0.00564226,7.41334101,0.6379534,23.19889798,0.87465471,43.1371515
8,0.018,9.783,0.138,31.762,0.016,6.689,0.00510289,6.21777495,0.60241484,29.08072865,0.1972515,90.34821522,0.011,7.159,0.11,25.742,0.009,4.724,0.00256604,4.43726303,0.6379534,22.0017962,0.72166226,56.01412568
9,0.013,0.894,0.075,6.331,0.004,0.801,0.00227621,0.4160108,0.60969717,29.25545837,0.06052741,51.4841611,0.011,9.333,0.129,30.161,0.009,5.476,0.00218418,5.91362687,0.68205364,27.2394576,0.72166226,83.13811719
10,0.011,0.894,0.075,6.331,0.004,0.801,0.0021754,0.4160108,0.66471218,26.41185353,0.06052741,52.77043204,0.012,8.717,0.114,29.409,0.008,5.153,0.00209275,5.16137556,0.68798969,27.2394576,0.71215221,102.52344099
