Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,s_hv_median,s_hv_iqr,s_spread_median,s_spread_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr,sw_hv_median,sw_hv_iqr,sw_spread_median,sw_spread_iqr
0,0.065,0.0,0.525,0.0,0.042,0.0,0.01260473,0.0,0.47370783,0.0,0.7146468,0.0,0.246,0.0,0.857,0.0,0.075,0.0,0.05463908,0.0,0.0,0.0,0.64832131,0.0
1,0.165,115.781,0.418,65.319,0.107,135.049,0.09690947,134.45441682,0.49078343,35.85183034,0.41865091,61.04552593,0.131,141.315,0.363,95.401,0.29,184.895,0.14124096,185.47720071,0.56855147,15.77844873,0.54140584,124.94062809
2,1.0,97.445,1.0,61.121,1.0,108.742,1.0,102.43044189,0.66842961,35.17469407,0.72823077,38.2663115,0.131,99.373,0.363,86.072,0.29,114.19,0.14124096,106.97282643,0.60564422,21.63246288,0.43679154,111.21784918
3,0.821,63.405,0.901,36.492,0.745,69.481,0.80609011,72.46203696,0.68607318,28.51066782,0.75630726,57.1526386,0.85,65.225,0.986,50.763,0.803,63.397,0.88175394,74.73564426,0.67269199,13.62217546,0.96258623,109.78650071
4,0.698,4.623,0.888,5.587,0.709,20.863,0.72918861,29.53742869,0.73679199,16.21003773,0.87376983,34.57617591,0.712,53.603,0.912,48.486,0.677,48.283,0.69957905,57.28350826,0.67269199,17.95508185,1.0,54.13461456
5,0.585,35.202,0.828,41.298,0.573,39.98,0.52456978,51.442053,0.73992322,14.71637681,0.88479997,31.80322186,0.312,60.829,0.595,67.118,0.263,51.137,0.25008993,57.73000697,0.79098364,18.00545883,0.53644715,109.41089497
6,0.514,35.388,0.784,24.747,0.473,41.958,0.47190371,39.01893391,0.74740429,12.74266655,0.80060446,41.50626269,0.029,37.8,0.236,50.536,0.046,27.91,0.02658811,27.17732329,0.79098364,17.99272119,0.09185555,97.36130296
7,0.287,41.714,0.603,42.541,0.243,43.598,0.21972931,40.79854943,0.76184522,15.55856334,0.61339241,48.60119941,0.034,31.325,0.236,47.024,0.06,24.44,0.02919666,23.56453174,0.79111679,19.16687714,0.53933045,83.94301422
8,0.394,37.2,0.688,45.512,0.357,38.346,0.33477179,34.56532692,0.81348849,15.12823814,0.86569704,43.8430413,0.029,30.82,0.236,47.451,0.06,24.819,0.02919666,24.57607131,0.81503489,15.36770701,0.5376907,86.13250623
9,0.223,35.544,0.451,48.336,0.16,32.655,0.14711261,31.5053762,0.81348849,15.12823814,0.80775907,83.09629974,0.029,2.153,0.119,13.555,0.054,6.818,0.02919666,3.83839621,0.81503489,6.39976176,0.09071816,81.82242915
10,0.067,33.467,0.336,58.148,0.018,27.172,0.01515435,28.80066685,0.8376792,13.79363628,0.81161212,52.86935066,0.036,1.695,0.143,13.527,0.047,7.005,0.02919666,3.32168444,0.81503489,6.29480461,0.12794457,72.28860839
11,0.031,31.314,0.336,62.574,0.01,26.335,0.00478172,27.12788021,0.85646724,12.91411344,0.80087582,38.49480435,0.033,1.575,0.143,13.176,0.047,6.519,0.02919666,3.37304523,0.81503489,5.35368061,0.12794457,80.95897908
12,0.031,30.81,0.336,62.317,0.01,25.866,0.00478172,24.73000268,0.85646724,12.91411344,0.79319959,34.46354448,0.033,1.206,0.157,11.949,0.054,6.519,0.02919666,2.90686347,0.83985002,5.46735859,0.3134886,80.31271297
13,0.031,29.539,0.336,57.214,0.01,24.885,0.00478172,24.05061146,0.85646724,12.91411344,0.74214252,35.21346463,0.032,1.555,0.118,7.819,0.057,6.315,0.02919666,2.88030125,0.83990167,5.70530477,0.4715482,69.67994379
14,0.019,16.132,0.117,50.866,0.007,16.176,0.00326433,14.84429194,0.85646724,12.30619427,0.56050093,53.63794868,0.032,1.555,0.118,7.819,0.047,6.315,0.02919666,2.39483974,0.83990167,5.70530477,0.57104225,69.67307811
15,0.021,15.797,0.081,50.832,0.01,15.106,0.00369502,12.68086556,0.86163829,12.29819916,0.61473038,53.42098461,0.033,17.179,0.127,32.438,0.053,19.014,0.02919666,16.05946327,0.86251109,5.31153072,0.67731984,45.02717821
16,0.019,15.653,0.044,48.847,0.009,14.711,0.00357924,12.24215021,0.88625175,12.29819916,0.61085116,41.24058299,0.033,21.284,0.127,43.236,0.064,20.241,0.02539489,18.46761421,0.86287903,5.31153072,0.66431949,60.6390545
17,0.019,15.201,0.044,48.847,0.009,14.288,0.00357924,11.03860279,0.88625175,12.29819916,0.70926005,42.0409243,0.033,20.82,0.152,43.133,0.064,19.469,0.02539489,17.27529265,0.86506231,9.45900928,0.66399221,61.53183226
18,0.007,3.754,0.044,40.894,0.009,1.422,0.00300718,0.49947194,0.88625175,16.13035859,0.53994621,59.62763028,0.029,15.194,0.116,35.196,0.043,13.726,0.01851792,12.16759337,0.86664898,9.46781409,0.4748817,116.54057696
19,0.013,3.488,0.06,40.894,0.009,1.02,0.00335882,0.49947194,0.88652246,16.13035859,0.53994621,75.78727709,0.026,13.635,0.126,32.791,0.014,12.86,0.01522107,9.76537808,0.86873633,6.19298661,0.62845481,38.04400154
20,0.017,3.383,0.044,41.851,0.011,1.254,0.00395673,0.52675881,0.88909001,16.70413828,0.50519358,72.73673603,0.021,2.953,0.085,9.862,0.014,4.532,0.01054467,1.91581952,0.86873633,6.83302512,0.5676899,75.07372643
21,0.017,13.239,0.044,42.646,0.013,12.354,0.00442181,9.86040534,0.88909001,13.62443132,0.3357729,82.97555436,0.021,2.893,0.085,11.42,0.014,4.645,0.00810972,1.98716613,0.88720415,7.16343802,0.37886512,73.78452176
22,0.017,12.182,0.044,41.807,0.013,11.545,0.00442181,9.57009849,0.88909001,13.62443132,0.3357729,80.82409769,0.021,2.893,0.085,11.42,0.014,4.645,0.00810972,1.98716613,0.88720415,7.16343802,0.37886512,73.20019702
