Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,s_hv_median,s_hv_iqr,s_spread_median,s_spread_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr,sw_hv_median,sw_hv_iqr,sw_spread_median,sw_spread_iqr
0,0.786,0.0,0.61,0.0,0.624,0.0,0.51190369,0.0,807.0064,0.0,0.39979391,0.0,0.603,0.0,0.673,0.0,0.78,0.0,0.28304508,0.0,734.7651,0.0,0.47531213,0.0
1,0.599,0.942,0.244,0.237,1.741,0.614,0.72734778,0.17433187,658.11595,71.9898,0.70570072,0.20707782,0.391,0.167,0.735,0.266,0.93,0.331,0.37069497,0.04462963,668.8096,13.683325,0.8523007,0.08578684
2,0.336,0.238,0.253,0.588,1.847,0.35,0.7130587,0.03824754,682.30185,66.481825,0.68328295,0.22589148,0.423,0.715,0.259,0.511,1.604,0.643,0.68721812,0.11241764,696.17445,60.857675,0.74317273,0.13583217
3,0.167,0.423,0.589,0.553,1.522,0.809,0.68740217,0.15572254,667.8012,53.19495,0.68032649,0.11719396,0.42,0.656,0.4,0.462,1.717,0.423,0.69613402,0.08793292,701.48165,82.206575,0.60980814,0.10954208
4,0.641,0.844,0.232,0.162,1.461,0.691,0.64818122,0.13148689,705.05855,90.289125,0.64941723,0.33669375,0.264,0.537,0.328,0.302,1.821,0.654,0.73260781,0.16706028,651.1253,63.3582,0.728473,0.18790254
5,0.178,0.216,0.22,0.21,1.84,0.396,0.71410689,0.12960312,651.5472,53.215275,0.72416694,0.20984884,0.062,0.311,0.158,0.4,1.723,0.312,0.68572151,0.1586661,659.63765,53.084875,0.70201472,0.20093696
6,0.475,0.558,0.282,0.652,1.392,0.457,0.6663817,0.25023848,695.4467,37.35895,0.63297493,0.16300903,0.295,0.295,0.189,0.309,1.618,0.237,0.72805546,0.10765618,689.1559,45.94305,0.71451205,0.27435774
7,0.306,0.316,0.197,0.208,1.601,0.478,0.62508583,0.21378771,677.96575,105.57275,0.68464824,0.40918178,0.574,0.548,0.352,0.571,1.586,0.441,0.70638372,0.16231227,668.4602,33.518875,0.64894357,0.16952436
8,0.325,0.385,0.536,0.639,1.699,0.398,0.73446187,0.15970284,656.4798,28.754125,0.72527252,0.10662112,0.227,0.885,0.303,0.478,1.616,0.709,0.68277474,0.16083935,685.5263,37.955425,0.69401742,0.1478992
9,0.49,0.368,0.369,0.47,1.61,0.482,0.6774483,0.12210592,666.66795,75.124525,0.74231971,0.18483613,0.298,0.244,0.321,0.204,1.761,0.277,0.67387005,0.08400919,655.61465,31.99865,0.73753103,0.10889614
