Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr
0,2.052,0.0,2.646,0.0,24.15,0.0,1.36,0.0,2.264,0.0,22.259,0.0
1,0.191,142.391,0.173,198.72,0.207,124.45,0.293,236.862,0.348,158.146,0.368,197.987
2,0.168,117.373,0.312,118.233,0.241,89.255,0.319,123.892,0.338,136.039,0.376,150.685
3,0.202,110.498,0.308,100.669,0.211,110.11,0.39,103.147,0.397,151.071,0.333,133.208
4,0.271,104.604,0.17,95.865,0.126,103.405,0.312,94.799,0.464,128.37,0.383,132.333
5,0.156,80.459,0.277,74.426,0.153,88.641,0.316,94.791,0.217,150.1,0.319,127.942
6,0.222,72.177,0.153,78.351,0.224,63.823,0.315,97.398,0.282,99.609,0.226,123.979
7,0.189,78.071,0.203,66.36,0.165,63.477,0.367,84.47,0.297,99.592,0.238,112.074
8,0.075,64.133,0.345,70.741,0.073,80.996,0.367,84.47,0.262,89.869,0.177,111.765
9,0.13,64.127,0.171,68.621,0.214,53.27,0.33,84.531,0.259,89.795,0.218,97.079
10,0.13,64.126,0.008,73.559,0.264,56.787,0.185,74.493,0.208,89.869,0.299,67.877
11,0.123,65.606,0.041,72.937,0.231,53.564,0.118,79.449,0.304,88.917,0.293,75.4
12,0.18,57.988,0.013,72.829,0.058,51.733,0.146,98.215,0.327,75.365,0.229,75.77
13,0.117,51.703,0.056,71.043,0.155,54.324,0.118,83.335,0.286,82.138,0.206,91.049
14,0.108,31.149,0.142,55.259,0.014,66.404,0.129,89.014,0.111,89.262,0.293,90.803
15,0.011,53.51,0.192,54.316,0.163,60.176,0.094,91.688,0.158,92.567,0.26,75.985
16,0.024,51.204,0.125,47.76,0.111,51.471,0.084,98.981,0.188,88.557,0.187,73.208
17,0.024,41.249,0.155,44.952,0.057,71.633,0.094,79.56,0.179,81.844,0.236,69.187
18,0.007,38.849,0.019,51.208,0.127,52.189,0.103,71.299,0.227,79.991,0.192,64.71
19,0.005,38.849,0.183,32.496,0.064,65.029,0.148,74.9,0.132,66.002,0.233,66.72
20,0.005,38.849,0.086,48.416,0.143,56.859,0.251,70.572,0.1,75.01,0.245,70.817
21,0.009,38.849,0.155,42.116,0.155,48.134,0.188,70.592,0.177,63.44,0.227,53.131
22,0.007,38.849,0.302,46.831,0.164,37.064,0.274,57.932,0.137,73.903,0.299,60.822
23,0.013,38.848,0.034,50.802,0.293,37.931,0.134,57.551,0.171,51.762,0.225,59.175
24,0.012,38.848,0.099,50.802,0.11,45.092,0.134,57.551,0.274,37.89,0.203,59.183
25,0.071,38.848,0.019,43.859,0.171,42.649,0.274,52.32,0.134,65.91,0.209,53.24
26,0.012,38.848,0.01,35.35,0.183,43.849,0.211,52.324,0.171,61.401,0.126,56.955
27,0.006,37.366,0.065,35.35,0.134,43.854,0.211,52.324,0.13,61.401,0.072,62.793
28,0.006,37.366,0.065,35.35,0.118,46.776,0.218,52.322,0.079,63.876,0.061,62.795
29,0.004,23.364,0.116,25.782,0.09,46.778,0.218,52.324,0.062,42.665,0.114,57.285
30,0.004,23.364,0.065,25.787,0.09,46.776,0.148,35.962,0.036,36.799,0.151,68.31
31,0.003,37.366,0.149,21.606,0.143,46.774,0.106,31.257,0.205,31.99,0.099,68.466
32,0.005,37.366,0.149,21.606,0.143,46.781,0.043,40.581,0.106,26.329,0.081,41.488
33,0.092,21.636,0.165,25.786,0.09,51.485,0.047,40.581,0.099,36.799,0.266,39.565
34,0.008,21.636,0.163,37.169,0.143,49.252,0.018,40.581,0.106,26.33,0.239,42.31
35,0.008,22.956,0.196,26.217,0.143,45.305,0.087,40.581,0.106,26.33,0.078,42.312
36,0.008,22.956,0.149,26.221,0.143,41.916,0.118,36.687,0.06,26.33,0.101,53.479
37,0.008,22.956,0.149,26.221,0.143,42.619,0.053,30.18,0.079,57.59,0.112,39.643
38,0.008,21.636,0.061,25.788,0.127,56.622,0.024,30.18,0.12,40.767,0.103,57.733
39,0.061,22.898,0.061,26.221,0.143,56.23,0.013,28.579,0.081,52.255,0.113,41.562
40,0.068,21.636,0.061,26.641,0.074,58.651,0.062,28.579,0.025,57.59,0.028,48.42
41,0.068,21.636,0.095,26.639,0.143,58.65,0.019,28.579,0.088,43.398,0.028,45.471
42,0.068,21.636,0.109,26.639,0.127,56.23,0.019,28.579,0.022,65.883,0.12,34.521
43,0.068,21.636,0.109,26.639,0.061,59.658,0.019,28.579,0.022,58.217,0.073,48.42
44,0.068,21.636,0.109,26.639,0.061,56.746,0.015,28.579,0.027,37.502,0.095,44.002
45,0.068,21.636,0.109,26.641,0.061,49.165,0.015,28.579,0.027,37.502,0.095,44.002
46,0.068,21.636,0.109,26.641,0.062,49.165,0.015,28.579,0.027,37.502,0.095,44.002
47,0.068,21.636,0.109,26.641,0.062,52.268,0.053,28.578,0.027,37.502,0.095,44.857
48,0.068,21.636,0.109,26.64,0.127,49.165,0.053,28.578,0.027,37.502,0.189,34.52
49,0.009,21.636,0.118,26.639,0.074,55.95,0.053,28.578,0.117,37.502,0.164,34.523
50,0.009,21.636,0.118,26.639,0.074,49.166,0.053,28.578,0.225,43.566,0.11,34.526
51,0.009,21.636,0.118,26.639,0.074,49.166,0.053,28.578,0.117,43.566,0.071,36.477
52,0.009,21.636,0.109,26.642,0.127,47.959,0.053,28.578,0.117,43.566,0.11,36.476
53,0.009,21.636,0.109,26.642,0.127,43.98,0.106,28.577,0.117,39.227,0.11,36.476
54,0.009,21.636,0.109,26.642,0.127,47.959,0.123,24.495,0.117,36.496,0.071,40.29
55,0.003,21.636,0.118,22.87,0.062,54.06,0.134,24.493,0.027,30.708,0.15,40.29
56,0.003,21.636,0.118,22.87,0.062,54.06,0.134,24.493,0.027,34.77,0.076,46.266
57,0.003,21.636,0.118,22.87,0.127,47.956,0.106,28.577,0.027,34.77,0.207,36.476
58,0.003,21.636,0.118,22.87,0.127,47.958,0.106,28.577,0.027,34.77,0.135,36.477
59,0.008,21.636,0.097,21.715,0.127,37.175,0.106,28.577,0.027,34.77,0.076,44.857
60,0.003,22.956,0.262,20.452,0.127,26.641,0.106,28.577,0.027,34.77,0.135,36.477
61,0.003,22.956,0.262,20.452,0.127,26.641,0.106,28.577,0.027,34.77,0.135,36.477
62,0.003,22.956,0.262,20.452,0.127,26.64,0.106,28.577,0.027,34.77,0.076,44.857
63,0.003,22.956,0.333,17.81,0.143,26.219,0.134,21.169,0.161,37.501,0.02,45.355
64,0.004,22.956,0.262,20.452,0.06,36.202,0.134,18.455,0.186,32.265,0.004,44.501
65,0.004,22.956,0.262,20.452,0.06,36.202,0.134,18.455,0.019,37.015,0.014,44.003
66,0.004,22.956,0.262,20.452,0.06,36.203,0.171,18.455,0.012,33.991,0.108,45.466
67,0.01,22.956,0.137,36.925,0.109,22.871,0.171,18.455,0.019,33.991,0.082,45.466
68,0.01,22.956,0.057,37.346,0.109,25.787,0.171,18.455,0.019,33.991,0.143,45.464
69,0.01,22.956,0.097,26.642,0.109,28.774,0.171,18.455,0.019,33.991,0.022,46.656
70,0.003,22.956,0.222,26.641,0.109,28.773,0.171,18.455,0.019,33.991,0.005,43.292
71,0.007,22.956,0.137,26.221,0.111,22.87,0.171,18.455,0.012,36.043,0.128,35.766
72,0.007,22.956,0.137,26.221,0.111,22.87,0.22,18.451,0.012,36.043,0.039,44.209
73,0.007,22.956,0.262,20.451,0.109,29.629,0.22,18.451,0.019,37.526,0.039,35.766
74,0.007,22.956,0.262,20.454,0.109,29.628,0.22,18.451,0.012,36.043,0.039,49.945
75,0.007,22.956,0.104,18.028,0.111,29.628,0.263,18.447,0.01,36.043,0.022,44.209
76,0.01,22.956,0.104,18.028,0.071,31.116,0.263,18.447,0.012,36.043,0.022,44.209
77,0.01,22.956,0.104,18.028,0.071,31.116,0.263,18.447,0.012,36.043,0.043,35.766
78,0.01,22.956,0.104,18.028,0.071,31.116,0.263,18.447,0.111,35.263,0.022,37.558
79,0.068,17.384,0.015,26.223,0.071,31.116,0.31,21.154,0.047,34.889,0.013,37.558
80,0.068,17.384,0.015,26.223,0.004,31.118,0.263,18.447,0.132,33.991,0.081,34.889
81,0.068,17.384,0.021,30.827,0.007,26.644,0.263,18.447,0.132,32.868,0.071,36.391
82,0.068,17.384,0.021,30.827,0.007,26.644,0.22,18.451,0.292,33.988,0.081,34.889
83,0.068,17.384,0.021,31.248,0.004,37.162,0.22,18.451,0.307,32.864,0.081,44.209
84,0.01,17.384,0.021,31.248,0.004,37.162,0.22,18.451,0.132,31.728,0.251,35.263
85,0.01,17.384,0.021,31.248,0.004,37.162,0.22,18.451,0.132,31.728,0.251,35.263
86,0.01,17.384,0.021,31.248,0.017,26.866,0.22,18.451,0.196,31.727,0.081,36.391
87,0.01,17.384,0.021,31.248,0.017,26.867,0.22,22.508,0.196,29.977,0.089,35.262
88,0.006,22.956,0.021,31.248,0.066,19.959,0.22,22.508,0.196,28.427,0.238,36.387
89,0.01,17.384,0.068,30.499,0.017,26.866,0.22,22.508,0.196,28.427,0.214,36.39
90,0.001,35.114,0.013,35.557,0.139,19.02,0.22,22.508,0.196,28.427,0.214,36.39
91,0.002,19.928,0.013,35.557,0.118,24.307,0.171,18.451,0.286,31.728,0.299,35.259
92,0.001,35.114,0.064,30.499,0.118,24.305,0.171,18.451,0.286,31.728,0.113,34.191
93,0.006,17.306,0.013,35.576,0.118,24.305,0.171,18.451,0.31,32.865,0.113,33.512
94,0.002,19.928,0.013,35.557,0.118,24.306,0.171,18.451,0.31,32.865,0.113,33.512
95,0.002,19.928,0.064,30.499,0.118,24.306,0.171,18.451,0.31,31.677,0.239,33.508
96,0.006,19.928,0.006,35.558,0.132,26.553,0.171,18.451,0.31,31.675,0.168,32.388
97,0.006,19.928,0.013,35.558,0.329,26.553,0.171,18.451,0.31,31.675,0.239,32.389
98,0.003,30.519,0.064,26.643,0.201,19.022,0.171,18.451,0.31,31.675,0.168,33.508
99,0.003,30.519,0.064,26.643,0.25,19.022,0.171,18.451,0.31,31.675,0.239,33.508
100,0.007,30.519,0.064,23.638,0.196,26.68,0.171,18.451,0.286,31.677,0.263,33.501
