Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr
0,1.11,0.0,2.785,0.0,14.76,0.0,13.002,0.0,0.773,0.0,2.326,0.0,16.563,0.0,13.786,0.0
1,100.645,24.768,0.061,0.036,0.212,0.099,0.435,0.495,127.294,15.259,0.083,0.047,0.181,0.218,0.866,0.329
2,82.713,17.211,0.067,0.019,0.103,0.25,0.223,0.484,86.449,32.399,0.076,0.037,0.272,0.268,0.556,0.621
3,74.204,33.468,0.071,0.026,0.158,0.189,0.16,0.486,81.042,15.263,0.07,0.042,0.036,0.343,0.409,0.592
4,65.681,26.603,0.084,0.04,0.211,0.206,0.088,0.501,76.723,19.377,0.066,0.036,0.0,0.222,0.373,0.6
5,65.078,26.366,0.079,0.025,0.177,0.203,0.079,0.47,75.539,14.118,0.06,0.039,0.036,0.261,0.355,0.602
6,56.202,26.366,0.076,0.027,0.139,0.189,0.079,0.417,71.386,10.553,0.072,0.056,0.0,0.282,0.335,0.59
7,51.648,11.62,0.082,0.05,0.0,0.154,0.076,0.361,69.251,9.897,0.073,0.063,0.044,0.279,0.342,0.597
8,49.603,13.077,0.075,0.017,0.0,0.115,0.076,0.344,69.251,12.477,0.073,0.072,0.044,0.279,0.342,0.595
9,44.809,14.419,0.076,0.019,0.0,0.15,0.078,0.386,65.93,17.768,0.074,0.04,0.056,0.333,0.292,0.598
10,43.756,13.713,0.082,0.063,0.0,0.164,0.078,0.383,62.671,14.889,0.069,0.031,0.0,0.16,0.275,0.645
11,39.974,12.866,0.084,0.064,0.0,0.164,0.077,0.384,61.708,16.773,0.069,0.031,0.0,0.0,0.265,0.606
12,39.974,7.414,0.074,0.082,0.0,0.094,0.077,0.302,58.202,16.56,0.058,0.028,0.0,0.0,0.265,0.647
13,39.659,13.51,0.076,0.082,0.0,0.105,0.077,0.295,55.8,16.56,0.054,0.024,0.0,0.027,0.236,0.648
14,39.659,11.481,0.076,0.072,0.0,0.15,0.072,0.281,55.732,16.757,0.054,0.024,0.0,0.083,0.245,0.64
15,39.642,12.103,0.076,0.072,0.0,0.133,0.072,0.285,55.303,17.505,0.051,0.031,0.0,0.0,0.242,0.63
16,39.642,15.268,0.087,0.049,0.0,0.267,0.074,0.268,55.303,17.505,0.051,0.025,0.0,0.0,0.242,0.619
17,39.642,15.268,0.09,0.052,0.0,0.221,0.073,0.264,55.303,17.756,0.051,0.023,0.0,0.0,0.242,0.595
18,39.426,19.395,0.09,0.04,0.0,0.221,0.078,0.264,55.303,23.091,0.051,0.033,0.0,0.0,0.241,0.592
19,34.064,27.104,0.107,0.058,0.0,0.186,0.078,0.265,55.303,24.227,0.057,0.034,0.0,0.0,0.24,0.634
20,34.022,26.302,0.121,0.039,0.0,0.267,0.079,0.265,50.435,17.814,0.067,0.034,0.0,0.167,0.24,0.665
21,34.022,38.174,0.121,0.679,0.0,0.267,0.079,0.252,45.92,23.991,0.064,0.032,0.0,0.083,0.24,0.653
22,34.022,38.174,0.124,0.68,0.0,0.267,0.079,0.252,45.92,22.042,0.067,0.03,0.0,0.225,0.24,0.636
23,32.648,38.037,0.124,0.676,0.0,0.267,0.079,0.251,45.92,22.042,0.075,0.044,0.0,0.188,0.241,0.636
24,32.648,37.576,0.123,0.685,0.0,0.283,0.079,0.251,45.92,22.042,0.069,0.047,0.0,0.0,0.238,0.635
25,32.648,37.576,0.123,0.685,0.0,0.283,0.08,0.263,45.797,22.503,0.069,0.043,0.0,0.225,0.238,0.639
26,32.648,37.576,0.123,0.685,0.0,0.236,0.079,0.239,45.797,19.072,0.069,0.04,0.0,0.177,0.238,0.639
27,27.932,37.364,0.117,0.703,0.0,0.236,0.079,0.238,45.797,18.077,0.071,0.046,0.0,0.15,0.236,0.638
28,25.085,37.364,0.117,0.709,0.0,0.236,0.079,0.235,44.843,18.077,0.069,0.046,0.0,0.094,0.236,0.641
29,19.079,41.06,0.146,0.939,0.0,0.236,0.079,0.235,44.843,18.077,0.069,0.04,0.0,0.094,0.236,0.639
