Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr
0,1.113,0.0,3.637,0.0,1.132,0.0,2.171,0.0,1.075,0.0,3.506,0.0,1.087,0.0,2.093,0.0
1,191.572,50.082,19.912,4.969,713.347,380.832,0.272,0.055,294.267,279.463,20.547,3.58,663.315,391.676,0.275,0.081
2,96.549,66.957,13.7,2.508,297.157,189.103,0.284,0.086,166.659,84.282,17.46,2.956,425.118,269.021,0.283,0.077
3,80.391,56.634,13.985,2.536,226.888,198.216,0.282,0.095,97.775,40.519,17.203,2.811,339.807,97.826,0.286,0.065
4,59.607,50.446,13.672,1.65,158.277,133.573,0.289,0.101,99.231,43.891,15.266,1.881,227.037,108.508,0.288,0.066
5,57.214,50.446,13.312,1.389,149.061,116.467,0.294,0.077,85.177,41.58,14.919,1.68,182.189,87.457,0.294,0.075
6,56.794,28.087,13.694,1.274,107.906,39.504,0.302,0.052,70.694,18.777,14.919,2.004,166.37,92.645,0.295,0.082
7,60.306,24.194,13.694,1.204,95.933,56.217,0.303,0.059,62.055,30.825,14.379,1.888,140.584,98.604,0.287,0.078
8,40.234,17.454,12.861,1.128,82.819,28.693,0.303,0.064,45.782,22.068,14.328,1.955,113.32,36.937,0.301,0.071
9,40.234,17.454,12.677,2.988,78.196,28.37,0.305,0.061,48.99,25.754,12.653,3.061,107.054,34.4,0.304,0.079
10,39.171,7.824,12.138,3.35,78.196,21.015,0.305,0.037,42.175,26.362,12.08,2.697,99.225,41.064,0.304,0.081
11,37.309,11.701,12.146,2.76,79.941,26.179,0.305,0.04,32.648,22.502,11.825,4.781,87.425,44.463,0.3,0.092
12,27.509,15.236,10.359,2.152,61.39,21.331,0.307,0.04,32.648,22.502,11.825,4.539,87.425,60.695,0.299,0.093
13,27.509,16.226,10.359,1.991,61.39,21.331,0.307,0.041,34.375,29.953,12.083,4.43,75.651,43.65,0.304,0.093
14,27.509,16.226,10.119,1.536,61.39,21.331,0.304,0.032,34.375,32.568,12.083,4.43,75.456,44.462,0.306,0.09
15,27.509,16.227,9.854,0.712,60.155,29.025,0.304,0.041,34.375,24.402,12.083,3.409,71.527,49.312,0.313,0.092
16,27.509,11.439,9.854,0.979,59.104,29.92,0.304,0.041,34.375,21.929,11.825,2.526,71.527,44.358,0.314,0.091
17,27.509,11.439,9.995,1.529,59.104,28.167,0.305,0.04,33.977,23.882,11.825,2.579,71.527,44.358,0.314,0.091
18,27.509,11.95,9.548,1.243,57.402,23.343,0.305,0.04,32.648,20.676,12.006,2.526,64.932,37.414,0.317,0.092
19,27.509,11.95,9.572,1.075,57.402,23.524,0.307,0.042,32.648,20.676,12.006,2.526,64.932,34.82,0.317,0.095
20,24.615,7.877,9.548,1.116,52.979,21.675,0.306,0.04,32.648,20.676,12.123,2.191,64.658,32.312,0.314,0.095
21,22.868,8.754,9.341,1.078,52.979,21.675,0.306,0.04,32.648,20.676,12.123,2.28,64.658,32.312,0.314,0.096
22,22.868,8.754,9.341,1.078,52.979,23.874,0.306,0.041,27.213,12.55,12.123,2.766,53.883,22.99,0.314,0.082
23,25.379,8.781,9.341,0.97,51.398,17.285,0.306,0.041,27.213,12.55,10.536,2.823,53.883,22.99,0.315,0.085
24,22.194,10.441,9.341,0.97,51.398,17.285,0.307,0.041,27.213,12.55,10.69,2.823,53.883,22.99,0.315,0.085
25,22.194,8.503,9.588,0.736,49.117,11.399,0.307,0.04,29.895,11.468,10.525,2.313,53.883,22.99,0.315,0.088
26,22.194,8.503,9.341,0.809,45.857,14.56,0.307,0.04,29.672,8.101,10.525,2.313,53.883,23.987,0.315,0.09
27,22.194,8.503,9.341,0.809,45.857,14.56,0.307,0.04,29.672,9.046,10.525,3.644,48.824,22.817,0.309,0.09
28,21.403,8.549,9.341,0.809,45.857,14.56,0.307,0.04,27.74,9.046,10.525,2.201,46.56,22.817,0.31,0.091
29,21.403,9.364,9.602,0.826,45.857,14.56,0.307,0.04,27.74,9.046,10.525,1.143,46.56,22.817,0.31,0.091
