Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr
0,1.089,0.0,3.097,0.0,1.104,0.0,1.107,0.0,3.168,0.0,1.123,0.0
1,48.393,91.1,39.721,100.698,81.513,293.726,51.105,171.823,85.688,312.172,90.302,167.521
2,22.231,71.887,32.213,58.255,47.247,173.882,49.264,94.187,53.234,124.36,88.304,162.972
3,31.351,68.654,27.274,58.409,48.296,90.879,33.423,76.767,51.105,96.196,78.147,129.719
4,23.846,62.387,40.683,60.822,32.516,68.4,26.363,69.012,46.842,94.367,40.038,117.387
5,23.846,45.28,31.785,49.987,31.265,64.455,19.071,37.057,51.105,90.955,42.789,93.813
6,23.846,46.51,23.894,43.6,35.758,81.869,22.046,40.887,32.387,101.744,40.038,57.497
7,19.294,38.413,23.894,50.073,30.655,63.424,22.046,41.58,19.926,95.148,35.747,54.924
8,12.941,25.367,25.313,59.825,25.316,49.633,21.876,40.475,19.464,34.907,32.387,64.21
9,12.941,25.367,25.313,59.825,25.316,49.633,15.857,33.675,19.464,21.609,32.387,72.734
10,12.941,25.367,25.313,59.375,22.079,50.108,15.857,32.787,25.232,37.672,31.679,70.267
11,12.34,30.027,25.313,59.85,21.299,40.544,15.857,32.787,25.232,35.884,22.788,67.686
12,10.359,30.081,26.002,59.111,20.409,23.922,15.857,28.137,22.258,33.03,34.718,55.6
13,10.359,24.394,24.856,55.457,20.409,44.038,17.008,37.88,20.271,30.78,32.15,46.319
14,10.359,30.577,24.856,56.94,19.339,25.795,17.008,37.853,18.663,22.219,31.042,41.825
15,10.359,30.577,24.856,48.38,18.69,28.449,14.808,32.659,20.724,22.776,22.788,42.223
16,10.359,24.394,23.631,38.159,19.339,39.159,15.304,33.917,20.271,22.776,26.18,41.986
17,10.359,34.677,22.539,38.159,21.28,30.038,15.304,33.917,20.271,21.946,22.788,48.558
18,10.83,34.418,23.631,46.16,21.28,27.545,14.973,32.906,18.269,23.152,22.788,48.558
19,9.894,20.613,22.539,49.344,22.85,28.865,15.901,34.762,17.681,22.027,22.788,57.291
20,10.359,20.269,15.565,38.547,22.694,28.764,15.901,34.762,17.681,22.027,26.955,52.305
21,10.359,20.269,15.565,38.547,22.694,28.764,15.901,35.75,17.681,24.477,22.788,49.786
22,10.359,20.269,14.879,34.181,24.323,28.764,14.973,32.094,17.681,26.046,22.788,39.458
23,11.132,11.47,14.879,23.44,24.856,37.649,14.973,32.094,17.681,26.046,22.788,39.458
24,10.064,11.47,14.879,23.44,25.489,37.649,17.276,35.75,14.548,19.579,19.73,33.399
25,10.064,11.47,14.764,23.057,24.856,36.481,17.276,35.75,14.548,21.308,15.716,32.977
26,10.064,11.47,14.764,23.057,24.856,36.481,17.276,35.75,14.548,21.308,15.716,32.977
27,10.064,11.47,14.764,23.057,24.856,36.481,16.946,33.485,14.548,21.308,15.716,32.537
28,10.064,11.47,14.764,23.057,24.107,36.339,16.946,33.485,17.552,24.446,14.016,30.869
29,11.838,13.126,12.701,32.694,21.089,36.585,16.946,33.485,17.552,24.446,14.016,30.869
30,11.838,13.126,12.701,32.694,21.089,36.585,15.437,33.853,17.552,23.551,14.016,30.869
31,12.34,36.002,10.359,19.725,16.752,30.661,15.437,33.853,17.552,23.551,14.016,30.869
32,16.077,23.353,9.542,16.638,17.42,30.661,16.946,29.606,13.5,23.981,14.016,30.527
33,13.988,17.442,9.542,19.418,17.42,27.041,16.946,29.606,13.5,21.829,15.716,31.853
34,12.34,17.523,9.77,19.418,15.565,23.424,16.946,29.606,13.5,21.829,16.482,30.433
35,12.34,17.523,9.77,19.418,14.782,19.322,15.437,22.225,13.176,24.446,19.084,27.468
36,11.838,11.183,10.359,20.237,14.569,19.73,15.437,22.225,13.176,24.446,19.084,27.468
37,11.838,11.183,10.359,20.237,14.569,19.73,15.437,22.225,12.324,20.958,15.665,24.96
38,11.137,11.063,10.359,20.237,12.449,20.629,15.437,26.357,12.324,19.586,16.206,30.878
39,11.137,11.063,10.359,20.237,12.449,20.629,15.437,26.357,12.324,19.586,14.582,17.279
40,11.137,11.063,10.359,20.237,12.449,20.629,15.437,29.101,12.0,17.549,15.665,19.194
41,11.137,11.063,11.567,19.996,10.181,24.73,14.84,36.073,12.0,17.549,15.665,19.194
42,11.137,11.063,11.567,19.996,11.147,23.832,14.84,36.073,12.0,17.549,15.179,18.8
43,11.137,11.063,11.567,19.996,11.147,21.636,14.84,36.073,12.0,17.549,15.179,18.8
44,10.719,11.404,10.871,16.722,11.147,19.847,14.84,36.073,12.0,17.549,15.179,18.8
45,10.719,11.404,10.871,16.722,11.147,19.847,14.84,36.073,12.0,17.549,15.179,18.8
46,10.719,11.404,10.871,15.523,12.449,20.036,14.84,36.073,12.0,17.549,16.053,18.942
47,10.719,11.404,10.871,15.523,12.449,20.036,14.84,29.263,12.0,19.602,16.053,18.368
48,10.352,11.402,10.271,15.562,10.181,18.505,14.84,36.073,12.0,17.549,15.208,23.565
49,10.352,11.402,10.271,15.562,11.925,18.844,14.84,36.67,12.224,22.363,13.797,18.665
50,10.352,11.19,10.871,16.905,10.181,16.38,12.958,26.282,13.176,21.124,13.797,18.665
51,10.352,11.19,10.871,16.905,10.181,16.38,12.958,35.856,13.83,18.705,12.582,16.906
52,10.719,11.438,10.072,16.905,10.055,9.832,12.958,35.856,13.176,17.065,13.909,18.314
53,10.084,12.145,9.795,15.841,11.925,18.184,12.958,27.737,13.176,17.065,13.909,18.314
54,10.084,12.145,9.795,15.841,11.925,18.184,12.605,22.325,12.324,19.468,14.338,18.607
55,10.084,12.145,9.795,15.841,11.925,18.184,12.605,22.325,12.324,19.468,14.338,18.607
56,10.084,12.145,9.795,15.841,10.181,15.611,10.695,16.543,12.0,15.979,14.338,18.57
57,10.084,12.145,9.795,15.841,10.181,15.611,10.695,16.543,12.0,15.979,14.338,18.57
58,10.084,12.145,9.795,15.841,10.181,15.611,10.695,16.66,12.324,11.215,14.338,20.116
59,10.084,12.145,9.795,15.841,10.181,15.611,10.695,16.66,12.324,11.215,14.338,20.116
60,10.003,11.702,10.871,14.188,10.181,9.199,11.691,16.66,11.799,9.892,14.338,18.049
61,9.77,11.842,10.871,13.947,10.055,9.823,11.691,16.543,11.626,10.139,11.616,23.317
62,10.003,11.76,10.871,15.328,10.055,10.477,11.691,16.543,11.626,10.139,11.616,23.317
63,10.003,12.445,10.4,13.952,10.055,9.882,11.691,16.543,11.626,10.139,11.616,23.317
64,10.003,12.445,10.4,13.952,10.055,9.882,11.691,16.543,11.517,10.139,13.571,23.17
65,10.003,11.76,10.4,14.48,10.181,11.177,11.691,16.543,11.517,10.139,14.0,23.528
66,10.003,11.76,10.16,10.529,10.055,10.89,11.691,16.543,11.517,10.139,14.0,23.528
67,10.139,11.402,9.874,14.735,10.055,10.477,11.691,16.543,11.517,10.139,14.0,23.528
68,10.719,11.088,9.132,16.993,10.099,10.547,11.691,16.543,11.107,16.065,13.571,18.647
69,10.719,11.088,9.132,16.993,10.099,10.547,11.691,16.543,11.107,16.065,13.571,18.647
70,10.719,11.088,9.132,16.993,10.099,10.547,11.691,16.543,11.507,16.065,11.047,17.495
71,10.719,11.088,9.132,16.993,10.181,12.05,11.172,16.126,11.154,16.563,10.431,12.705
72,10.719,11.295,9.132,16.945,10.181,12.05,11.691,16.543,10.411,16.011,12.075,12.119
73,10.719,11.088,9.132,16.993,10.181,12.05,11.691,16.543,10.411,16.011,12.075,12.119
74,10.719,11.295,9.132,16.945,10.181,12.05,11.691,16.543,10.411,16.011,12.075,12.119
75,10.719,11.295,9.132,14.994,10.181,15.059,11.691,16.543,10.411,16.011,12.075,12.119
76,10.719,11.088,9.132,16.993,10.181,12.05,11.691,16.543,11.531,9.972,10.431,12.705
77,10.719,11.295,9.132,14.994,10.181,15.059,11.691,16.543,11.132,18.355,10.431,8.67
78,10.407,11.042,8.849,15.344,10.181,14.61,11.691,16.543,11.132,18.355,10.431,8.67
79,10.407,11.042,8.849,15.344,10.181,14.61,11.691,16.543,11.132,18.355,10.431,8.67
80,10.407,11.042,8.156,17.083,10.181,11.591,11.691,16.543,11.132,18.355,10.431,8.67
81,10.407,11.042,8.156,17.083,10.181,11.591,11.691,16.543,10.635,16.586,10.431,8.67
82,10.407,11.042,8.156,17.083,10.181,11.591,11.691,16.543,10.635,16.586,10.431,8.67
83,10.407,11.042,8.156,17.083,10.181,11.591,11.691,16.543,10.635,16.586,10.431,8.67
84,10.407,11.042,8.156,17.083,10.181,11.591,11.691,16.543,10.635,16.586,10.431,8.67
85,10.407,11.042,8.156,17.083,10.181,11.591,11.691,16.543,10.635,16.586,10.431,8.67
86,10.003,10.078,9.547,15.274,10.055,14.757,11.691,16.543,11.132,10.222,10.374,6.518
87,10.003,10.078,9.547,15.274,10.055,14.757,13.925,16.655,11.132,9.781,9.817,6.585
88,10.003,10.078,9.547,15.274,10.055,14.757,11.743,16.642,11.132,15.227,9.817,5.866
89,10.003,10.078,9.547,15.274,10.055,14.757,11.743,16.642,11.132,15.227,9.817,5.866
90,10.003,10.078,9.547,15.274,10.055,14.757,10.886,16.13,11.531,17.505,9.817,5.866
91,10.119,9.113,9.853,12.764,10.181,16.8,10.695,16.096,10.411,15.427,9.817,5.866
