Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr
0,1.101,0.0,3.804,0.0,1.07,0.0,2.137,0.0,1.095,0.0,3.188,0.0,1.102,0.0,1.776,0.0
1,904.474,105.758,26.755,0.243,5123.607,836.989,0.306,0.01,947.021,69.879,26.707,0.59,4541.603,949.553,0.292,0.011
2,624.54,92.463,24.112,1.335,3484.934,421.274,0.305,0.01,651.013,113.508,24.21,0.911,2981.817,377.516,0.294,0.017
3,532.521,59.199,22.611,1.298,2475.248,473.981,0.308,0.027,533.283,96.482,22.012,0.538,2143.19,460.466,0.298,0.012
4,446.454,46.47,21.346,1.335,1950.378,195.314,0.302,0.017,417.108,32.43,21.154,0.548,1773.323,310.533,0.296,0.006
5,376.365,33.224,20.495,0.483,1606.17,179.391,0.3,0.027,359.096,30.127,20.07,0.781,1481.852,225.958,0.294,0.014
6,329.294,31.152,19.59,0.845,1367.459,103.761,0.298,0.018,292.529,30.105,19.063,0.93,1293.225,224.437,0.291,0.021
7,309.784,33.412,18.586,0.746,1167.36,255.854,0.294,0.019,259.765,19.781,18.206,0.976,1047.967,240.009,0.288,0.016
8,277.128,45.793,17.756,0.855,1093.699,199.2,0.299,0.022,234.34,20.725,17.961,1.044,920.27,118.007,0.292,0.02
9,243.65,47.401,17.294,0.493,953.126,162.539,0.303,0.032,216.278,26.197,16.977,0.975,821.203,83.665,0.289,0.02
10,223.315,40.434,17.012,0.709,814.894,113.515,0.3,0.043,200.161,19.364,16.773,0.793,771.995,98.246,0.288,0.019
11,203.604,35.986,16.592,1.126,753.522,102.31,0.296,0.049,193.767,23.074,16.5,0.231,701.376,87.253,0.289,0.019
12,191.014,24.435,16.087,0.827,686.647,130.024,0.296,0.045,182.817,15.261,16.106,0.648,665.681,71.871,0.288,0.024
13,178.926,17.713,15.783,0.892,657.417,81.843,0.292,0.051,170.543,10.865,15.843,0.797,619.684,89.978,0.285,0.021
14,172.348,19.801,15.488,0.748,633.833,66.207,0.294,0.052,158.861,16.806,15.607,0.667,568.109,57.393,0.285,0.02
15,163.682,24.089,15.423,0.395,563.386,89.991,0.295,0.05,156.14,16.237,15.44,0.463,536.843,30.868,0.288,0.025
16,154.502,16.119,14.904,0.666,535.815,69.02,0.292,0.054,143.667,16.591,15.158,0.408,492.986,46.807,0.289,0.029
17,149.766,16.522,14.755,0.66,514.888,86.099,0.293,0.057,139.635,18.445,15.03,0.699,478.755,60.949,0.29,0.027
18,146.373,19.444,14.537,0.586,487.801,97.981,0.293,0.063,134.913,11.455,14.729,0.471,466.422,38.229,0.288,0.026
19,140.327,24.559,14.421,0.301,465.095,80.773,0.295,0.063,129.138,10.503,14.624,0.543,456.366,31.513,0.289,0.026
20,134.15,21.785,14.244,0.464,445.491,88.803,0.294,0.068,123.645,15.8,14.52,0.571,440.538,40.152,0.289,0.026
21,127.301,22.111,14.235,0.337,427.893,35.163,0.296,0.069,116.573,12.933,14.218,0.743,425.583,49.872,0.288,0.027
22,122.272,21.553,14.182,0.293,410.523,61.883,0.296,0.065,112.932,10.15,14.125,0.625,419.8,40.06,0.286,0.032
23,118.682,21.294,14.145,0.378,386.625,93.963,0.299,0.062,106.969,13.015,13.983,0.342,398.23,61.647,0.29,0.033
24,114.995,20.242,13.964,0.53,375.517,88.768,0.307,0.064,104.496,13.379,13.858,0.508,373.697,43.626,0.289,0.028
25,112.888,16.194,13.844,0.626,367.172,92.496,0.306,0.062,103.01,13.98,13.723,0.568,350.82,49.531,0.29,0.027
26,107.57,17.024,13.774,0.597,359.525,79.742,0.306,0.063,102.071,14.606,13.694,0.49,344.692,44.224,0.293,0.021
27,104.606,21.111,13.711,0.486,348.628,82.332,0.308,0.067,96.143,11.61,13.537,0.41,335.621,42.775,0.294,0.02
28,100.397,21.4,13.417,0.572,325.062,80.925,0.309,0.068,91.146,5.719,13.321,0.415,320.064,20.062,0.291,0.022
29,97.193,19.67,13.284,0.736,317.661,60.261,0.309,0.069,88.98,8.069,13.218,0.214,312.843,16.142,0.292,0.022
30,94.689,18.409,13.246,0.747,312.169,60.162,0.307,0.067,87.448,7.289,13.21,0.119,308.814,24.331,0.292,0.022
31,91.524,17.3,13.101,0.593,302.145,69.996,0.304,0.064,85.412,9.75,13.14,0.305,288.033,28.808,0.292,0.022
32,85.969,15.025,13.071,0.541,295.176,59.453,0.306,0.067,81.486,8.917,13.12,0.382,283.992,39.882,0.294,0.029
33,85.618,13.752,12.961,0.551,287.962,62.485,0.301,0.065,78.426,10.879,12.939,0.424,277.247,35.157,0.293,0.026
34,82.515,13.796,12.925,0.651,284.772,56.19,0.301,0.065,77.843,12.056,12.823,0.53,269.539,32.458,0.294,0.026
35,80.875,13.095,12.798,0.728,277.917,51.937,0.301,0.067,77.384,9.106,12.793,0.487,263.718,33.74,0.292,0.025
36,79.427,9.14,12.63,0.648,261.756,58.572,0.301,0.064,76.064,7.307,12.696,0.538,262.481,27.153,0.292,0.026
37,78.958,6.093,12.537,0.575,251.62,59.794,0.299,0.065,75.474,9.077,12.637,0.529,263.576,29.639,0.294,0.026
38,77.238,9.194,12.557,0.59,244.174,61.678,0.296,0.068,74.051,7.472,12.666,0.585,248.09,33.88,0.293,0.026
39,76.209,9.978,12.545,0.606,242.107,62.809,0.297,0.066,72.727,7.315,12.666,0.352,243.327,38.055,0.295,0.027
40,74.025,10.053,12.449,0.653,236.524,65.142,0.297,0.066,70.564,6.696,12.545,0.605,237.569,40.875,0.297,0.025
41,73.408,11.042,12.423,0.731,227.579,63.983,0.297,0.071,68.754,9.517,12.628,0.704,230.251,38.614,0.298,0.027
42,71.124,11.928,12.407,0.603,221.94,58.168,0.298,0.071,68.565,9.241,12.577,0.544,223.105,37.21,0.3,0.028
43,70.431,9.729,12.273,0.531,221.94,56.202,0.296,0.071,68.081,10.204,12.541,0.504,220.393,48.177,0.301,0.029
44,70.37,8.766,12.098,0.683,221.94,53.886,0.297,0.066,65.612,8.089,12.521,0.464,205.969,42.424,0.3,0.026
45,70.051,7.189,12.098,0.588,215.419,48.316,0.297,0.063,64.732,8.028,12.442,0.504,198.24,45.269,0.299,0.024
46,67.346,5.049,12.089,0.503,212.916,39.054,0.297,0.061,63.661,6.741,12.442,0.567,198.24,46.89,0.297,0.026
47,66.978,3.395,12.055,0.519,209.904,36.728,0.298,0.062,63.415,7.703,12.384,0.46,198.24,46.89,0.296,0.025
48,65.446,3.687,12.055,0.498,209.729,35.424,0.299,0.068,62.625,7.422,12.299,0.468,194.921,41.47,0.296,0.027
49,64.248,3.88,11.986,0.483,203.167,35.814,0.299,0.073,62.625,7.612,12.18,0.536,194.387,37.054,0.295,0.026
50,64.107,4.638,11.798,0.424,200.729,33.993,0.302,0.075,61.89,7.612,12.092,0.661,193.772,43.977,0.291,0.024
51,63.606,5.026,11.798,0.413,198.091,33.993,0.302,0.078,60.105,9.611,12.111,0.649,192.024,36.167,0.291,0.021
52,63.999,5.851,11.763,0.385,196.947,38.914,0.297,0.078,59.506,10.198,12.025,0.632,188.992,35.879,0.29,0.021
53,62.624,5.538,11.662,0.314,192.035,40.813,0.3,0.078,59.222,9.907,11.994,0.636,192.702,34.583,0.291,0.021
54,60.668,5.949,11.662,0.289,185.7,38.016,0.301,0.082,58.294,11.612,11.866,0.563,193.147,32.365,0.292,0.022
55,59.4,5.889,11.594,0.263,182.034,35.106,0.301,0.086,57.948,10.835,11.826,0.612,191.399,28.743,0.292,0.023
56,58.082,5.911,11.582,0.41,180.638,40.45,0.299,0.086,57.451,9.624,11.829,0.504,191.399,28.728,0.29,0.021
57,57.445,5.887,11.488,0.389,180.638,42.465,0.301,0.081,57.451,9.282,11.667,0.61,186.042,17.399,0.289,0.019
58,57.3,6.312,11.473,0.356,174.139,37.181,0.301,0.077,56.8,8.174,11.546,0.507,183.315,16.234,0.289,0.018
59,56.388,7.328,11.388,0.263,172.354,34.296,0.301,0.078,56.588,8.703,11.532,0.575,177.94,15.695,0.291,0.021
60,54.247,7.714,11.368,0.358,170.534,33.106,0.307,0.076,54.251,10.012,11.405,0.509,174.247,21.725,0.29,0.02
61,53.914,6.406,11.289,0.396,169.639,38.236,0.307,0.078,53.495,10.537,11.313,0.462,173.546,18.059,0.292,0.015
62,53.372,6.437,11.259,0.443,167.95,24.82,0.307,0.076,53.367,11.51,11.363,0.363,171.762,15.427,0.292,0.014
63,52.916,6.125,11.217,0.427,167.95,24.82,0.304,0.079,53.142,9.682,11.245,0.349,171.762,15.041,0.291,0.015
64,52.614,5.903,11.217,0.399,165.583,24.562,0.306,0.079,52.768,9.585,11.219,0.214,170.417,14.385,0.292,0.017
65,52.614,6.19,11.06,0.324,165.018,26.746,0.307,0.074,51.53,9.964,11.073,0.235,169.78,13.393,0.292,0.017
66,52.419,6.733,11.173,0.349,162.276,26.746,0.304,0.072,50.483,9.549,11.011,0.39,169.78,13.393,0.292,0.017
67,52.429,6.548,11.19,0.454,158.703,27.532,0.299,0.074,50.236,8.797,11.011,0.327,168.814,12.246,0.293,0.016
68,50.851,7.22,11.108,0.462,156.779,29.022,0.299,0.074,49.726,9.606,11.037,0.232,169.061,16.238,0.293,0.015
69,50.851,5.982,11.07,0.382,156.779,28.258,0.299,0.074,49.726,9.443,11.037,0.242,168.308,20.17,0.292,0.015
70,50.437,5.408,11.02,0.412,154.938,29.998,0.296,0.073,49.726,9.443,11.009,0.232,166.687,22.579,0.292,0.013
71,50.102,6.205,10.997,0.425,153.121,24.636,0.296,0.075,49.726,8.076,11.016,0.361,167.252,21.14,0.292,0.018
72,49.147,5.908,10.883,0.379,153.121,22.719,0.296,0.076,49.726,8.076,11.016,0.328,167.349,27.865,0.292,0.017
73,48.795,6.467,10.883,0.373,153.287,19.522,0.293,0.072,49.726,10.247,10.925,0.281,162.221,24.406,0.292,0.014
74,48.795,7.288,10.883,0.435,149.63,12.512,0.291,0.074,49.044,10.247,10.921,0.266,159.785,26.59,0.291,0.013
75,47.91,6.76,10.877,0.373,146.308,12.864,0.295,0.07,48.875,10.433,10.871,0.357,157.839,23.641,0.291,0.014
76,47.386,5.218,10.877,0.357,144.616,12.46,0.294,0.07,48.34,8.906,10.797,0.389,152.639,20.661,0.292,0.016
77,46.861,4.805,10.868,0.308,143.807,15.484,0.295,0.074,48.34,8.753,10.774,0.29,151.274,16.388,0.29,0.017
78,46.425,4.036,10.865,0.345,141.617,19.092,0.293,0.073,48.34,8.999,10.677,0.374,150.664,17.601,0.292,0.02
79,46.303,4.045,10.865,0.352,140.588,17.138,0.294,0.074,47.685,9.296,10.677,0.331,146.976,17.004,0.289,0.019
80,45.083,3.954,10.855,0.352,136.919,16.196,0.291,0.075,47.53,8.918,10.699,0.301,147.797,14.709,0.289,0.021
81,45.083,3.924,10.796,0.374,136.919,16.896,0.291,0.075,46.447,9.355,10.686,0.317,146.027,11.92,0.288,0.021
82,44.66,4.368,10.72,0.333,136.789,20.408,0.293,0.073,46.568,8.808,10.67,0.254,143.533,12.439,0.285,0.021
83,43.92,4.905,10.638,0.373,134.56,23.159,0.291,0.075,45.877,8.167,10.648,0.279,140.196,11.725,0.286,0.019
84,43.368,4.906,10.639,0.398,134.56,24.356,0.292,0.075,45.662,8.035,10.648,0.303,139.901,10.276,0.286,0.02
85,42.91,4.926,10.606,0.431,130.315,23.708,0.29,0.074,45.115,8.286,10.61,0.296,136.839,10.449,0.285,0.019
86,42.91,5.354,10.541,0.426,130.315,23.708,0.29,0.076,45.066,7.952,10.61,0.303,135.276,9.659,0.285,0.02
87,42.696,5.354,10.494,0.402,130.315,23.282,0.29,0.077,45.066,7.952,10.541,0.278,133.688,8.979,0.285,0.022
88,42.246,5.358,10.489,0.428,130.315,22.387,0.288,0.077,44.423,8.451,10.52,0.319,133.688,12.138,0.285,0.023
89,42.033,5.208,10.489,0.452,129.798,25.744,0.286,0.076,44.423,8.38,10.545,0.284,133.511,11.281,0.287,0.024
90,41.895,5.359,10.456,0.428,129.438,26.288,0.284,0.076,44.423,6.631,10.548,0.183,133.511,11.281,0.288,0.024
91,40.986,5.448,10.276,0.469,128.397,19.349,0.285,0.077,44.013,6.607,10.546,0.184,131.192,8.236,0.286,0.023
92,40.588,5.65,10.256,0.522,126.641,18.282,0.283,0.076,44.013,6.888,10.546,0.219,129.211,10.721,0.287,0.024
93,40.588,5.65,10.256,0.532,122.9,19.487,0.283,0.074,42.5,5.813,10.502,0.256,127.669,11.031,0.284,0.023
94,40.588,6.324,10.256,0.497,122.9,17.884,0.283,0.073,42.27,5.345,10.502,0.256,123.245,11.819,0.284,0.022
95,40.588,6.324,10.28,0.407,122.9,15.641,0.281,0.073,42.27,5.726,10.502,0.35,121.534,12.225,0.285,0.022
96,40.567,6.733,10.255,0.449,122.048,15.097,0.28,0.075,40.5,5.424,10.502,0.334,119.782,11.288,0.286,0.023
97,40.39,6.342,10.22,0.436,121.016,13.531,0.281,0.075,39.821,5.91,10.502,0.334,119.151,11.421,0.288,0.024
98,40.39,5.156,10.22,0.418,121.016,16.301,0.28,0.076,39.38,6.105,10.441,0.335,118.874,14.357,0.288,0.023
99,40.245,5.459,10.193,0.399,119.67,17.266,0.281,0.077,39.38,5.87,10.441,0.335,118.874,13.769,0.288,0.022
100,39.566,5.459,10.186,0.399,119.241,17.406,0.279,0.079,39.38,6.272,10.386,0.371,118.874,13.825,0.287,0.024
