Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr
0,1.113,0.0,3.637,0.0,1.132,0.0,1.075,0.0,3.506,0.0,1.087,0.0
1,348.043,1208.061,58.451,828.111,152.81,587.18,244.538,602.313,398.636,1373.379,401.174,996.587
2,123.299,660.091,58.489,276.33,108.393,310.45,201.525,547.241,201.525,454.354,293.963,678.276
3,63.087,331.665,61.519,198.616,89.777,197.295,153.005,338.861,201.525,479.582,210.76,539.51
4,45.398,162.427,72.905,219.981,85.108,254.565,153.005,353.397,201.525,534.83,88.796,356.771
5,45.398,162.704,63.188,208.095,71.408,235.741,98.669,318.0,197.721,527.379,123.059,271.916
6,48.614,176.752,63.188,130.832,51.95,114.537,118.486,306.513,123.059,244.168,75.811,226.173
7,48.614,176.752,63.188,130.832,54.784,114.537,118.486,306.513,90.096,191.85,95.145,300.973
8,39.943,163.645,54.784,101.666,57.278,154.524,98.669,255.693,90.737,187.227,93.33,221.914
9,39.943,163.645,54.784,101.666,57.278,123.149,50.377,166.799,90.737,112.701,81.54,112.646
10,31.715,140.547,48.734,85.59,39.611,80.348,50.377,166.799,61.222,91.772,61.222,103.198
11,25.309,69.168,48.734,85.59,39.611,61.522,33.4,149.903,47.219,85.495,47.219,93.232
12,25.309,62.75,48.734,100.542,38.324,54.772,33.4,149.903,47.219,85.495,47.219,93.232
13,25.309,62.75,48.734,100.542,38.324,54.772,33.4,149.903,47.219,82.943,47.219,82.553
14,25.309,45.146,48.734,81.532,38.324,54.772,33.4,149.903,47.219,82.943,32.66,78.563
15,25.309,45.146,48.734,81.532,38.324,54.772,33.4,149.903,32.66,82.37,24.499,79.315
16,25.309,45.146,48.734,81.532,38.324,54.772,32.476,95.192,32.66,84.792,24.499,74.921
17,25.309,45.146,48.734,81.532,38.324,54.772,32.476,95.192,32.66,84.792,24.499,74.921
18,25.309,45.146,43.749,56.223,35.494,43.035,32.476,85.729,24.499,83.39,24.499,74.921
19,25.309,45.146,43.749,56.223,35.494,43.035,32.476,85.729,24.499,83.39,24.499,74.921
20,25.309,45.146,43.749,56.223,35.494,43.035,32.476,85.729,24.499,83.39,24.499,74.921
21,25.309,50.698,43.749,60.107,35.494,54.684,32.476,85.729,24.499,83.39,21.996,48.832
22,25.309,45.146,38.324,50.397,31.584,42.395,32.476,85.729,24.499,74.921,21.996,48.832
23,25.309,43.884,31.556,40.464,28.479,35.422,32.476,85.729,24.499,48.01,21.612,24.928
24,20.2,39.287,28.479,33.573,25.233,28.634,31.082,76.561,24.499,48.01,21.612,24.928
25,20.2,39.287,28.479,33.573,25.233,28.634,31.082,76.561,21.996,38.268,21.612,24.928
26,20.2,39.287,25.233,28.983,25.233,28.634,31.082,76.561,21.996,38.268,21.612,24.928
27,20.2,39.287,25.233,28.983,25.233,28.634,31.082,82.677,21.996,38.268,21.612,24.928
28,20.2,39.287,25.233,28.983,25.233,28.634,31.082,82.677,21.996,38.268,21.612,24.928
29,17.7,37.367,25.233,28.983,25.233,28.634,29.593,79.315,21.996,38.268,21.612,24.928
30,19.991,38.27,25.233,28.983,25.233,28.634,27.878,53.195,21.996,38.268,21.612,24.928
31,19.991,38.27,25.233,28.983,25.233,28.634,27.878,37.788,21.996,26.766,21.612,23.994
32,19.991,38.27,25.233,33.895,22.152,28.155,27.878,37.788,25.844,38.268,21.612,24.928
33,19.991,38.27,25.233,33.895,22.152,28.155,27.878,37.788,25.844,38.268,21.612,24.928
34,19.991,38.27,25.233,33.895,22.152,28.155,24.499,28.445,21.996,27.457,21.612,24.928
35,19.991,38.27,25.233,33.895,22.152,28.155,24.499,27.404,21.996,27.251,21.612,27.286
36,19.991,40.625,25.233,33.573,22.152,28.155,25.506,28.095,21.996,27.251,21.612,27.382
37,19.991,39.536,22.152,28.155,22.152,28.155,21.743,25.248,21.612,24.928,21.612,27.382
38,20.33,39.445,22.152,28.155,22.152,28.155,21.743,25.248,21.612,24.928,21.612,27.382
39,20.33,39.445,22.152,28.155,22.152,28.155,21.743,25.248,21.612,24.928,21.612,27.382
40,20.33,39.445,22.152,28.155,22.152,28.155,21.743,25.248,21.612,24.928,20.92,20.973
41,20.33,39.445,22.152,28.155,22.152,28.155,21.743,25.248,21.612,25.216,20.92,20.973
42,20.33,39.445,22.152,28.155,22.152,28.155,21.743,25.248,21.612,25.216,20.92,20.973
43,20.33,39.445,22.152,28.155,22.152,28.155,21.743,25.248,21.612,25.216,20.92,20.973
44,20.33,39.445,22.152,28.155,22.152,28.155,21.743,25.248,21.612,25.216,20.92,20.973
45,20.33,39.445,22.152,28.155,22.152,28.155,21.743,25.248,21.612,25.216,20.92,20.973
46,20.33,39.445,22.152,28.155,22.152,28.155,21.743,25.248,21.612,25.216,20.92,20.973
47,20.33,39.445,22.152,28.155,21.36,25.924,21.743,25.248,21.612,25.216,20.92,20.973
48,20.33,39.445,22.152,28.155,21.36,25.924,21.743,25.248,21.612,25.216,20.92,20.973
49,20.33,39.445,22.152,28.155,21.36,25.924,21.743,25.248,21.612,25.216,20.92,20.973
50,20.33,39.445,22.152,28.155,21.36,25.924,21.743,25.248,21.612,25.216,20.92,20.973
51,20.33,39.445,22.152,28.155,21.36,25.924,21.743,25.248,21.612,25.216,20.92,20.973
52,20.33,39.445,22.152,28.155,21.36,25.924,21.743,25.248,21.612,25.216,20.92,20.973
53,20.33,37.09,22.152,26.695,21.36,25.994,21.743,25.248,21.612,25.216,20.92,20.973
54,20.33,37.09,22.152,26.695,18.673,23.241,21.743,25.248,21.612,25.216,20.92,20.973
55,20.33,37.09,22.152,26.695,18.673,23.241,21.743,25.248,21.612,25.216,20.92,20.973
56,19.891,33.873,22.152,26.695,18.673,23.241,21.743,25.248,21.612,25.216,21.612,21.223
57,19.891,33.873,22.152,26.695,18.673,23.241,21.743,25.248,21.612,25.216,21.612,21.223
58,19.891,33.873,22.152,26.695,18.673,23.241,21.743,25.248,21.612,25.216,21.612,21.223
59,19.891,33.873,22.152,26.695,18.673,23.241,21.743,25.248,21.612,25.216,21.612,21.223
60,19.891,33.873,22.152,26.695,18.673,23.241,21.743,25.248,21.996,24.928,20.92,20.202
61,19.891,33.873,22.152,26.695,18.673,23.241,21.743,25.248,21.996,24.928,20.92,17.463
62,19.891,28.282,19.891,26.85,18.673,23.241,21.743,25.248,21.996,24.928,20.92,17.463
63,19.891,28.282,19.891,26.85,18.673,23.241,21.743,25.248,21.996,24.928,20.92,17.463
64,19.891,28.282,19.891,26.85,18.673,23.241,21.743,25.248,21.996,24.928,20.92,17.463
65,19.891,28.282,19.891,26.85,18.673,23.241,21.743,25.248,21.996,24.928,20.92,17.463
66,19.891,28.282,19.891,26.85,18.673,23.241,21.743,25.248,21.996,24.928,20.92,17.463
67,19.891,28.282,19.891,26.85,18.673,23.241,21.743,25.248,21.996,24.928,20.92,17.463
68,19.891,28.282,19.891,26.85,18.673,23.241,21.743,25.248,21.996,24.928,20.92,16.797
69,19.891,28.282,19.891,26.85,18.673,23.241,21.743,25.248,21.996,24.928,20.92,16.797
70,19.891,28.282,19.891,26.85,18.673,23.241,21.743,25.248,21.996,24.928,20.92,16.797
71,19.891,28.282,19.891,26.85,18.673,23.241,21.743,25.248,21.996,24.928,20.92,16.797
72,19.891,28.282,19.891,26.85,18.673,23.241,21.743,25.248,21.996,24.928,20.92,16.797
73,19.891,28.282,19.891,26.85,18.334,23.241,21.743,25.248,21.996,24.928,20.92,17.169
74,19.891,28.282,19.891,26.85,18.334,23.241,20.92,20.995,21.612,21.223,20.92,17.169
75,18.334,30.626,19.891,26.85,18.334,23.241,20.92,20.995,21.612,21.223,20.92,17.169
76,18.334,30.626,19.891,26.85,17.7,22.852,20.92,20.995,21.612,21.223,20.92,17.169
77,18.334,30.626,19.891,26.85,17.7,22.852,20.92,20.995,21.612,21.223,20.92,17.169
78,18.334,30.626,19.891,26.85,17.7,22.852,20.92,20.995,21.612,21.223,20.92,17.169
79,18.334,30.626,19.891,26.85,17.7,22.852,20.92,20.995,21.612,21.223,20.92,17.169
80,18.334,30.626,19.891,26.85,17.7,22.852,20.92,20.995,21.612,21.223,20.92,17.169
81,18.334,30.626,19.891,26.85,17.7,22.852,20.92,20.995,21.612,20.973,20.92,17.169
82,18.334,30.626,19.891,26.85,17.7,22.852,20.92,20.995,21.612,20.973,20.92,17.169
83,18.334,30.626,19.891,26.85,17.7,22.852,20.92,20.995,21.612,20.973,20.92,17.169
84,18.334,30.626,19.891,26.85,17.7,22.852,20.92,20.995,21.612,20.973,20.92,17.169
85,17.7,26.312,19.703,25.167,17.7,22.852,20.92,20.995,21.612,20.973,20.92,17.169
86,17.7,26.312,18.334,25.167,17.7,22.852,20.92,20.357,21.612,20.973,20.92,17.169
87,17.7,26.312,18.334,25.167,17.7,22.852,20.92,20.357,21.612,20.973,20.92,17.169
88,17.7,26.312,20.409,26.148,19.191,21.658,20.92,20.357,21.612,20.973,20.92,17.169
89,17.7,26.312,20.409,26.148,19.191,21.658,20.92,20.357,21.612,20.973,20.92,17.169
90,17.7,26.312,20.409,26.148,19.191,21.658,20.92,20.357,21.612,20.973,20.92,17.169
91,17.7,26.312,20.409,26.148,19.191,21.658,20.92,20.357,21.612,22.282,19.781,15.721
92,17.7,26.312,20.409,26.148,19.191,21.658,20.92,20.357,21.612,22.282,19.781,15.721
93,17.7,26.312,20.409,26.148,19.191,21.658,20.92,20.357,21.612,22.282,19.781,15.721
94,17.7,26.312,20.409,26.148,19.191,21.658,20.92,20.357,21.612,22.282,19.781,15.721
95,17.7,26.312,20.409,26.148,18.334,19.196,20.92,20.357,21.612,22.282,19.781,15.721
96,17.7,26.312,20.409,26.148,20.728,20.382,20.92,20.357,21.612,22.282,19.781,15.721
97,17.7,26.312,20.409,26.148,20.728,20.382,20.92,20.357,21.745,22.282,20.92,16.766
98,17.7,26.312,20.409,26.148,20.728,20.382,20.92,20.357,21.745,22.282,20.92,16.766
99,17.7,26.312,20.409,26.148,20.728,20.382,20.92,20.357,21.745,22.282,20.92,16.766
100,17.7,26.312,20.409,26.148,20.728,20.382,20.92,20.357,21.745,22.282,20.92,16.766
