Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr
0,1.056,0.0,2.481,0.0,11.079,0.0,0.73,0.0,2.392,0.0,12.383,0.0
1,0.508,1584.219,0.536,1713.932,0.507,1651.366,0.423,1660.066,0.458,1757.851,0.414,1955.452
2,0.568,1331.715,0.521,1156.15,0.537,1156.15,0.418,1543.892,0.491,1757.78,0.48,1895.722
3,0.529,1119.762,0.521,1076.28,0.562,1076.214,0.451,1326.013,0.47,1390.498,0.455,1388.414
4,0.574,1117.514,0.486,767.379,0.523,767.29,0.47,1325.992,0.476,1314.318,0.476,1258.52
5,0.573,847.329,0.486,767.379,0.523,767.29,0.464,1300.545,0.478,1258.56,0.478,1258.56
6,0.535,767.343,0.457,767.379,0.451,767.371,0.455,1300.594,0.478,1258.511,0.478,1258.504
7,0.486,767.379,0.457,767.379,0.474,767.364,0.459,1258.546,0.456,1161.626,0.441,1161.626
8,0.452,767.39,0.457,767.379,0.474,767.358,0.517,1041.776,0.498,998.525,0.528,998.505
9,0.452,767.39,0.457,767.379,0.452,767.369,0.517,1041.776,0.498,998.525,0.528,998.525
10,0.452,767.39,0.457,767.379,0.486,767.314,0.517,1041.776,0.498,998.525,0.528,998.525
11,0.452,767.39,0.458,693.271,0.486,693.204,0.517,1041.776,0.498,998.55,0.528,881.718
12,0.452,767.39,0.458,693.271,0.486,693.204,0.517,1016.108,0.498,881.74,0.528,881.767
13,0.432,767.415,0.458,693.251,0.486,693.204,0.517,1016.108,0.528,881.767,0.528,881.767
14,0.432,767.39,0.458,693.251,0.512,659.035,0.517,1016.108,0.528,881.767,0.528,881.767
15,0.452,693.271,0.458,693.251,0.512,659.035,0.517,1016.108,0.528,881.767,0.528,881.767
16,0.452,693.271,0.486,693.204,0.512,659.035,0.517,1016.108,0.528,881.767,0.528,881.767
17,0.452,693.271,0.486,693.204,0.512,659.035,0.517,1016.108,0.528,881.767,0.528,881.767
18,0.486,693.251,0.486,693.204,0.512,659.035,0.517,1016.121,0.528,881.767,0.528,881.767
19,0.506,693.204,0.506,693.178,0.53,658.97,0.517,1016.121,0.403,873.168,0.403,873.168
20,0.506,693.204,0.506,693.178,0.53,658.97,0.517,1159.288,0.403,873.12,0.441,873.092
21,0.506,693.204,0.523,679.154,0.534,658.97,0.458,998.557,0.403,873.12,0.441,873.092
22,0.506,693.204,0.523,679.154,0.534,658.97,0.458,998.557,0.403,873.12,0.441,873.092
23,0.506,693.204,0.486,679.154,0.512,658.992,0.458,998.557,0.403,873.12,0.441,873.092
24,0.506,693.204,0.452,723.973,0.534,659.015,0.483,998.55,0.441,873.092,0.441,873.092
25,0.486,699.687,0.465,699.687,0.534,659.009,0.404,995.784,0.441,873.092,0.441,873.092
26,0.486,699.687,0.465,699.687,0.534,659.009,0.403,873.092,0.441,873.092,0.441,873.092
27,0.486,699.687,0.465,699.687,0.534,659.009,0.403,873.092,0.527,859.697,0.483,859.837
28,0.486,699.687,0.465,699.687,0.534,659.009,0.441,859.847,0.527,859.697,0.483,859.837
29,0.486,699.687,0.465,699.687,0.534,659.009,0.441,859.847,0.527,859.697,0.483,859.837
30,0.486,699.687,0.465,699.687,0.534,659.009,0.441,859.847,0.527,859.697,0.483,859.837
31,0.506,699.639,0.465,656.451,0.568,573.787,0.441,859.847,0.527,859.697,0.483,859.837
32,0.506,699.639,0.465,656.451,0.568,573.787,0.441,859.847,0.527,859.697,0.483,859.837
33,0.506,699.639,0.465,656.451,0.568,573.789,0.441,859.847,0.527,859.697,0.483,859.837
34,0.506,699.639,0.465,656.451,0.568,573.789,0.441,859.847,0.527,859.697,0.483,859.837
35,0.506,699.639,0.465,656.451,0.568,573.789,0.441,859.847,0.527,859.697,0.483,859.837
36,0.506,699.639,0.508,656.422,0.523,573.87,0.441,859.847,0.527,859.697,0.483,859.837
37,0.506,699.639,0.508,656.422,0.523,573.87,0.441,859.847,0.527,859.697,0.483,859.837
38,0.506,699.639,0.465,602.623,0.523,573.87,0.441,859.847,0.527,859.697,0.483,859.837
39,0.506,699.639,0.465,602.623,0.523,573.87,0.441,859.847,0.483,859.837,0.483,859.837
40,0.506,699.639,0.463,576.397,0.523,546.116,0.441,859.847,0.57,859.837,0.546,859.837
41,0.506,699.639,0.463,576.397,0.523,546.116,0.441,859.847,0.57,859.837,0.546,859.837
42,0.506,699.639,0.463,576.397,0.523,546.116,0.441,859.847,0.57,859.837,0.546,859.837
43,0.506,699.639,0.463,576.397,0.523,546.116,0.441,859.847,0.57,859.837,0.546,859.837
44,0.492,602.602,0.463,576.397,0.523,546.116,0.441,859.847,0.57,859.837,0.546,859.837
45,0.508,576.383,0.486,576.397,0.523,546.116,0.441,859.847,0.57,859.837,0.546,859.837
46,0.508,576.383,0.486,576.467,0.486,546.136,0.441,859.847,0.546,835.583,0.546,835.583
47,0.508,576.423,0.463,576.457,0.486,546.136,0.483,859.837,0.546,835.583,0.546,835.583
48,0.508,576.423,0.463,576.457,0.523,546.136,0.483,859.837,0.546,835.583,0.546,835.583
49,0.463,576.423,0.463,576.457,0.568,536.205,0.483,859.837,0.546,835.583,0.546,835.583
50,0.463,576.423,0.463,576.457,0.568,536.205,0.519,859.837,0.505,835.804,0.538,835.582
51,0.463,576.423,0.463,576.457,0.568,536.205,0.464,859.843,0.538,835.582,0.505,835.831
52,0.463,576.423,0.463,576.457,0.568,536.205,0.464,859.843,0.505,835.701,0.471,835.743
53,0.463,576.423,0.463,576.457,0.568,536.205,0.464,859.843,0.505,835.701,0.471,835.743
54,0.463,576.423,0.463,576.457,0.568,536.205,0.464,859.843,0.505,835.701,0.471,835.743
55,0.463,576.423,0.463,576.457,0.568,536.205,0.464,859.843,0.505,835.701,0.471,835.743
