Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr
0,1.056,0.0,2.481,0.0,11.079,0.0,68.85,0.0,0.73,0.0,2.392,0.0,12.383,0.0,68.13,0.0
1,4878.165,702.003,0.28,0.019,0.208,0.043,0.578,0.063,3682.073,180.249,0.325,0.038,0.183,0.048,0.478,0.032
2,3493.855,222.958,0.189,0.064,0.18,0.041,0.52,0.078,3331.241,122.578,0.301,0.034,0.158,0.054,0.459,0.03
3,2807.037,310.337,0.145,0.022,0.217,0.022,0.445,0.126,3102.659,195.929,0.282,0.028,0.158,0.042,0.448,0.023
4,2517.069,75.642,0.085,0.029,0.2,0.054,0.356,0.084,3021.19,166.971,0.253,0.029,0.159,0.066,0.422,0.023
5,2256.356,214.941,0.067,0.022,0.174,0.044,0.32,0.097,2906.098,191.759,0.229,0.029,0.14,0.017,0.408,0.032
6,2164.896,301.63,0.042,0.017,0.19,0.035,0.301,0.114,2826.954,182.307,0.233,0.038,0.129,0.019,0.404,0.042
7,2015.842,196.074,0.036,0.015,0.181,0.021,0.282,0.098,2759.591,220.902,0.22,0.032,0.125,0.007,0.398,0.028
8,1908.671,140.833,0.03,0.008,0.179,0.022,0.257,0.097,2678.536,167.246,0.188,0.045,0.125,0.046,0.384,0.029
9,1880.811,124.644,0.022,0.013,0.161,0.029,0.247,0.071,2604.093,217.37,0.175,0.045,0.125,0.024,0.37,0.045
10,1817.767,52.554,0.024,0.014,0.155,0.034,0.238,0.108,2466.818,193.891,0.174,0.046,0.125,0.021,0.366,0.046
11,1760.445,58.829,0.021,0.019,0.19,0.026,0.239,0.089,2450.181,173.057,0.188,0.047,0.127,0.021,0.355,0.035
12,1681.154,85.615,0.02,0.012,0.186,0.039,0.233,0.066,2342.82,268.485,0.176,0.055,0.14,0.025,0.353,0.051
13,1627.583,57.022,0.02,0.012,0.164,0.057,0.215,0.077,2260.215,212.928,0.155,0.037,0.125,0.0,0.34,0.043
14,1612.935,78.698,0.016,0.011,0.156,0.051,0.223,0.082,2219.131,242.427,0.152,0.027,0.126,0.017,0.335,0.052
15,1584.688,85.73,0.015,0.009,0.177,0.061,0.212,0.072,2181.705,254.055,0.152,0.043,0.125,0.027,0.341,0.053
16,1528.15,81.841,0.016,0.006,0.18,0.032,0.21,0.092,2133.908,359.037,0.149,0.014,0.134,0.022,0.329,0.052
17,1493.17,84.691,0.016,0.005,0.182,0.038,0.206,0.096,2051.065,247.573,0.144,0.042,0.138,0.033,0.319,0.043
18,1464.293,85.263,0.015,0.005,0.165,0.043,0.201,0.082,2006.991,228.135,0.139,0.044,0.134,0.018,0.326,0.048
19,1450.523,70.317,0.014,0.002,0.163,0.054,0.185,0.07,1939.791,233.687,0.121,0.051,0.132,0.05,0.316,0.042
20,1446.582,85.029,0.014,0.003,0.17,0.055,0.18,0.061,1930.458,211.184,0.111,0.047,0.134,0.047,0.302,0.036
21,1429.006,109.574,0.013,0.005,0.176,0.058,0.17,0.061,1878.377,209.963,0.107,0.047,0.132,0.052,0.3,0.039
22,1393.877,136.049,0.013,0.008,0.184,0.05,0.169,0.067,1849.478,174.32,0.09,0.061,0.139,0.035,0.3,0.035
23,1375.482,126.941,0.013,0.007,0.161,0.026,0.167,0.062,1896.948,137.076,0.069,0.065,0.141,0.019,0.299,0.025
24,1357.27,83.569,0.013,0.007,0.183,0.033,0.156,0.061,1910.075,156.909,0.057,0.061,0.143,0.033,0.296,0.032
25,1368.496,88.316,0.012,0.013,0.183,0.05,0.163,0.063,1838.22,115.392,0.055,0.052,0.134,0.027,0.288,0.023
26,1344.881,112.058,0.012,0.014,0.167,0.077,0.161,0.059,1774.547,78.433,0.051,0.047,0.143,0.019,0.29,0.019
27,1322.53,56.975,0.012,0.013,0.17,0.033,0.163,0.034,1768.474,80.112,0.046,0.042,0.134,0.031,0.292,0.028
28,1311.38,51.207,0.012,0.014,0.161,0.031,0.169,0.034,1694.956,76.662,0.043,0.045,0.143,0.023,0.289,0.06
29,1302.045,54.15,0.011,0.016,0.167,0.045,0.168,0.043,1698.26,82.089,0.038,0.036,0.143,0.05,0.283,0.074
30,1276.662,36.122,0.011,0.014,0.155,0.035,0.168,0.055,1661.526,122.379,0.039,0.026,0.163,0.05,0.282,0.083
31,1274.546,36.969,0.011,0.019,0.173,0.061,0.173,0.055,1640.818,150.974,0.035,0.022,0.167,0.048,0.268,0.104
32,1271.711,51.695,0.009,0.02,0.146,0.047,0.175,0.059,1645.058,152.003,0.033,0.018,0.16,0.053,0.268,0.095
33,1248.554,63.052,0.011,0.017,0.143,0.06,0.17,0.061,1603.712,159.121,0.033,0.011,0.158,0.054,0.265,0.081
34,1243.146,70.674,0.009,0.016,0.143,0.031,0.166,0.053,1550.381,119.504,0.032,0.011,0.14,0.039,0.265,0.073
35,1259.06,80.84,0.01,0.012,0.134,0.038,0.164,0.049,1535.751,125.098,0.029,0.014,0.143,0.031,0.264,0.071
36,1241.764,95.185,0.011,0.013,0.134,0.046,0.169,0.048,1516.872,115.244,0.029,0.017,0.143,0.046,0.257,0.063
37,1221.759,80.035,0.012,0.009,0.143,0.062,0.164,0.042,1526.942,117.097,0.027,0.016,0.143,0.025,0.256,0.062
38,1218.073,85.767,0.012,0.007,0.143,0.039,0.146,0.041,1492.283,107.297,0.026,0.017,0.143,0.018,0.256,0.059
39,1212.358,68.896,0.011,0.005,0.143,0.046,0.139,0.048,1487.856,115.167,0.025,0.014,0.136,0.045,0.258,0.052
40,1190.85,79.093,0.01,0.006,0.149,0.063,0.139,0.049,1482.138,73.902,0.025,0.014,0.146,0.031,0.257,0.052
41,1185.496,72.794,0.01,0.005,0.155,0.079,0.142,0.045,1458.215,57.36,0.022,0.013,0.143,0.055,0.257,0.047
42,1173.885,74.016,0.01,0.006,0.149,0.074,0.139,0.043,1450.775,54.944,0.02,0.017,0.143,0.047,0.253,0.055
43,1170.829,99.222,0.01,0.005,0.155,0.071,0.14,0.046,1462.541,44.228,0.021,0.014,0.143,0.013,0.256,0.056
44,1165.497,90.068,0.009,0.006,0.155,0.081,0.141,0.043,1450.553,43.894,0.019,0.015,0.143,0.034,0.259,0.053
45,1149.785,84.948,0.01,0.006,0.143,0.06,0.134,0.049,1434.547,69.663,0.018,0.014,0.153,0.036,0.265,0.062
46,1131.634,86.939,0.01,0.006,0.152,0.066,0.132,0.046,1416.6,49.671,0.019,0.011,0.143,0.041,0.262,0.063
47,1129.052,92.358,0.011,0.007,0.146,0.068,0.135,0.052,1419.382,44.71,0.018,0.012,0.143,0.017,0.264,0.058
48,1121.578,89.757,0.011,0.007,0.149,0.067,0.131,0.052,1408.11,68.348,0.02,0.012,0.143,0.033,0.263,0.06
49,1112.961,95.543,0.011,0.008,0.143,0.064,0.129,0.049,1398.801,75.471,0.02,0.012,0.143,0.05,0.262,0.067
50,1107.806,112.794,0.011,0.009,0.146,0.062,0.132,0.043,1395.328,78.094,0.019,0.012,0.143,0.031,0.254,0.063
51,1104.89,134.226,0.011,0.01,0.138,0.072,0.132,0.048,1373.927,65.14,0.021,0.01,0.149,0.034,0.244,0.064
52,1097.258,135.004,0.011,0.01,0.149,0.06,0.13,0.047,1366.12,77.612,0.021,0.011,0.153,0.044,0.247,0.07
53,1089.876,111.125,0.011,0.01,0.152,0.086,0.133,0.041,1351.012,72.8,0.022,0.011,0.158,0.038,0.253,0.063
54,1087.465,115.473,0.011,0.009,0.155,0.096,0.139,0.04,1353.496,69.263,0.021,0.012,0.143,0.042,0.249,0.057
55,1079.783,117.017,0.012,0.009,0.157,0.08,0.137,0.045,1347.916,60.89,0.018,0.012,0.153,0.042,0.25,0.057
56,1061.912,154.949,0.012,0.01,0.143,0.087,0.134,0.042,1344.156,69.734,0.02,0.014,0.143,0.054,0.251,0.055
57,1058.109,194.144,0.012,0.011,0.141,0.089,0.138,0.042,1340.02,103.155,0.02,0.015,0.143,0.026,0.248,0.058
58,1047.592,195.587,0.013,0.012,0.134,0.081,0.142,0.041,1348.474,63.031,0.019,0.015,0.143,0.029,0.242,0.05
59,1049.387,181.008,0.012,0.012,0.143,0.069,0.132,0.035,1336.788,69.504,0.019,0.015,0.143,0.034,0.235,0.048
60,1027.965,178.182,0.012,0.012,0.146,0.069,0.138,0.041,1324.603,64.825,0.019,0.015,0.161,0.029,0.232,0.05
61,1018.537,167.981,0.012,0.012,0.143,0.072,0.135,0.04,1327.139,63.672,0.019,0.009,0.167,0.024,0.225,0.052
62,1008.444,199.294,0.013,0.014,0.143,0.058,0.132,0.044,1317.079,57.214,0.016,0.012,0.154,0.023,0.222,0.061
63,1007.423,211.373,0.013,0.019,0.143,0.042,0.132,0.037,1319.598,69.028,0.016,0.011,0.146,0.029,0.222,0.061
64,1002.706,235.167,0.014,0.021,0.143,0.105,0.131,0.04,1319.598,73.83,0.016,0.01,0.149,0.016,0.224,0.059
65,995.049,230.933,0.016,0.025,0.143,0.137,0.135,0.035,1304.198,55.481,0.015,0.009,0.149,0.017,0.221,0.063
66,992.007,253.951,0.017,0.036,0.143,0.134,0.139,0.033,1298.814,61.108,0.016,0.008,0.158,0.044,0.217,0.061
67,971.916,273.2,0.019,0.06,0.143,0.122,0.143,0.04,1281.637,111.046,0.015,0.007,0.146,0.035,0.218,0.069
68,969.624,282.74,0.021,0.074,0.146,0.124,0.145,0.044,1280.837,115.828,0.016,0.008,0.143,0.024,0.222,0.067
69,969.624,324.694,0.021,0.08,0.143,0.139,0.145,0.035,1273.919,127.307,0.016,0.009,0.143,0.04,0.221,0.071
70,962.494,365.53,0.021,0.079,0.143,0.129,0.14,0.031,1264.972,130.102,0.016,0.009,0.143,0.04,0.219,0.071
71,950.742,343.241,0.024,0.074,0.143,0.139,0.138,0.027,1254.466,110.012,0.015,0.007,0.155,0.038,0.227,0.065
72,940.388,346.138,0.027,0.082,0.138,0.154,0.139,0.034,1251.586,98.562,0.015,0.007,0.143,0.025,0.223,0.071
73,933.108,353.296,0.026,0.098,0.134,0.154,0.138,0.034,1249.014,120.837,0.014,0.008,0.143,0.025,0.23,0.072
74,926.822,358.304,0.026,0.11,0.134,0.143,0.134,0.026,1256.266,134.085,0.012,0.007,0.143,0.0,0.228,0.079
75,919.642,359.044,0.026,0.114,0.138,0.124,0.136,0.024,1258.251,117.694,0.013,0.007,0.143,0.0,0.227,0.081
76,913.393,368.241,0.027,0.114,0.134,0.124,0.136,0.032,1258.424,99.936,0.012,0.007,0.143,0.0,0.226,0.08
77,889.306,393.167,0.033,0.113,0.112,0.149,0.132,0.037,1262.066,112.587,0.012,0.008,0.143,0.007,0.229,0.084
78,880.521,393.167,0.035,0.113,0.121,0.12,0.131,0.033,1275.966,111.244,0.012,0.008,0.143,0.0,0.228,0.089
79,867.021,405.371,0.037,0.124,0.121,0.143,0.135,0.03,1281.988,110.457,0.012,0.008,0.143,0.004,0.228,0.089
80,862.991,415.75,0.044,0.125,0.125,0.143,0.14,0.029,1277.102,114.194,0.012,0.008,0.143,0.01,0.226,0.075
81,857.139,424.542,0.047,0.125,0.09,0.143,0.139,0.026,1285.703,106.187,0.011,0.008,0.143,0.018,0.228,0.078
82,854.245,425.503,0.05,0.163,0.085,0.143,0.135,0.027,1280.817,81.068,0.011,0.007,0.143,0.016,0.23,0.081
83,852.077,423.533,0.05,0.165,0.063,0.143,0.135,0.032,1271.08,84.809,0.012,0.008,0.143,0.007,0.23,0.076
84,845.081,425.048,0.05,0.193,0.063,0.139,0.133,0.03,1266.081,68.929,0.012,0.009,0.143,0.022,0.226,0.071
85,815.508,439.367,0.047,0.207,0.064,0.135,0.132,0.031,1269.045,75.963,0.012,0.01,0.143,0.028,0.224,0.077
