Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr
0,1.013,0.0,3.29,0.0,1.0,0.0,1.009,0.0,3.29,0.0,1.0,0.0
1,216.233,731.974,148.74,595.006,105.168,372.877,241.799,1149.404,124.267,444.557,259.714,955.19
2,147.84,573.397,94.336,361.865,105.826,339.337,96.909,428.605,147.696,606.636,162.043,478.508
3,147.84,404.319,135.188,408.994,105.826,261.207,75.146,145.973,170.764,585.371,117.7,387.277
4,95.545,271.075,124.668,274.593,94.994,221.25,106.135,166.868,132.083,449.579,114.973,209.937
5,94.336,238.274,97.659,261.207,108.997,185.193,98.42,165.294,124.203,217.955,105.281,207.522
6,94.336,238.274,78.651,237.796,79.722,154.717,98.42,165.294,114.973,168.22,121.476,206.105
7,71.698,162.84,97.659,237.796,79.722,162.593,98.42,165.294,114.973,167.666,132.083,217.263
8,71.698,162.84,83.415,237.796,79.565,141.443,93.915,128.155,121.476,168.371,93.915,165.697
9,71.698,162.84,78.578,152.882,68.112,143.014,93.915,128.155,60.015,131.258,60.015,113.651
10,61.483,131.558,69.584,131.814,68.926,97.18,93.915,128.155,60.015,131.258,60.015,113.651
11,55.828,83.95,59.117,113.064,57.105,97.403,93.915,128.155,60.015,147.999,60.015,142.505
12,52.397,76.408,58.822,95.89,47.55,94.742,84.901,128.155,60.015,142.484,54.51,116.692
13,52.397,76.408,60.651,95.213,47.55,95.639,84.901,113.536,54.51,116.692,54.51,116.692
14,55.828,82.847,60.651,96.809,47.55,84.862,72.59,110.086,54.51,116.692,54.51,116.692
15,52.397,76.408,52.042,95.014,43.112,83.833,37.827,102.6,31.049,112.099,31.049,112.099
16,48.169,67.28,47.55,75.417,47.55,93.278,37.827,102.6,23.279,84.398,23.279,84.398
17,48.169,67.714,47.55,75.417,47.55,93.278,37.827,102.6,24.112,93.2,23.279,93.2
18,47.55,67.28,43.112,66.008,43.112,77.02,37.827,102.6,24.112,93.2,23.279,93.2
19,47.55,67.28,43.112,66.008,43.112,110.001,37.827,102.6,24.112,93.2,23.279,93.2
20,47.55,67.28,43.112,67.529,43.112,65.887,37.827,102.6,23.279,93.2,23.279,93.312
21,51.258,77.309,47.55,68.223,33.39,65.033,37.827,102.6,23.279,93.2,23.279,93.312
22,51.258,77.309,47.55,68.223,33.39,65.033,37.827,102.6,23.279,93.2,23.279,93.312
23,51.258,77.309,47.55,68.223,33.39,58.386,37.827,102.6,23.279,93.2,23.279,93.312
24,51.258,77.309,47.291,68.223,33.39,58.386,34.517,99.699,22.47,92.111,22.47,76.245
25,51.258,77.309,47.291,68.223,33.39,58.386,23.222,94.364,22.47,92.111,22.47,76.245
26,51.258,77.309,47.291,68.223,33.39,58.386,23.222,94.364,22.47,92.111,22.47,76.245
27,47.55,68.47,47.291,68.223,23.146,43.21,23.222,94.364,22.47,92.111,22.47,76.245
28,47.55,68.47,47.291,68.223,23.146,43.21,23.222,94.364,22.47,92.111,22.47,76.245
29,47.55,68.47,47.291,68.223,23.146,43.21,23.222,94.364,22.47,92.111,22.47,76.245
30,47.55,68.47,47.291,68.223,23.146,43.21,23.222,94.364,22.47,76.245,22.47,75.62
31,43.112,67.267,43.112,67.267,14.808,42.0,23.222,86.406,22.47,76.245,22.47,62.546
32,43.112,67.267,43.225,67.267,13.713,39.417,23.222,73.95,22.778,95.159,22.778,74.771
33,37.717,67.267,32.929,49.475,14.344,37.701,23.222,73.95,22.778,95.159,22.778,74.771
34,37.717,67.267,32.929,49.475,14.344,37.701,23.222,73.493,22.778,74.771,22.778,83.874
35,37.717,67.267,32.929,49.475,14.344,37.701,23.222,73.493,22.778,77.043,22.778,85.378
36,33.39,62.28,32.929,49.475,14.344,37.701,23.222,73.95,22.778,78.019,19.857,80.34
37,33.39,62.28,32.929,49.475,14.344,37.701,23.222,73.95,22.778,78.019,19.857,80.34
38,33.39,62.28,14.353,38.82,14.344,34.985,23.222,73.95,22.778,78.019,19.857,72.77
39,33.39,62.28,14.353,38.82,14.344,34.985,23.222,86.406,22.778,78.019,17.99,54.233
40,33.39,62.28,14.353,38.82,14.344,34.985,23.222,86.406,22.778,78.019,17.99,54.233
41,33.39,62.28,14.353,38.82,14.344,34.985,23.222,86.406,22.778,78.019,17.99,54.233
42,33.39,62.28,14.353,38.82,14.344,34.985,23.222,86.406,22.778,78.019,17.99,59.608
43,33.39,62.28,14.353,38.82,14.344,30.48,23.222,86.406,22.778,78.019,17.99,59.608
44,33.39,62.28,14.353,38.82,14.344,30.48,23.222,76.656,22.778,64.037,16.928,36.198
45,33.39,62.28,14.344,34.985,14.344,30.48,23.222,76.656,22.778,55.042,16.928,36.2
46,13.096,50.605,14.344,30.48,14.344,30.48,20.698,59.688,22.778,55.042,16.928,36.2
47,13.096,50.605,14.344,30.48,14.344,30.48,20.698,59.688,22.778,55.042,16.928,36.2
48,13.096,50.605,14.344,30.48,14.344,30.48,20.698,59.688,18.398,32.511,16.928,33.031
49,13.096,50.605,14.344,30.48,14.344,30.48,20.698,59.688,18.398,32.511,16.928,33.031
50,13.096,50.605,14.344,30.48,14.344,30.48,20.698,59.688,18.398,32.511,16.928,33.031
51,13.096,50.605,14.344,30.48,14.344,30.48,20.698,59.688,16.928,29.368,16.928,33.031
52,13.096,50.605,14.344,30.48,14.344,30.48,20.698,37.659,16.928,29.704,18.318,32.85
53,13.096,50.605,14.344,30.48,14.344,30.48,19.857,31.075,16.928,29.704,19.38,35.631
54,12.773,47.329,14.344,30.48,14.344,30.48,18.398,29.368,17.99,29.704,19.38,35.631
55,12.912,35.669,14.344,27.93,14.344,26.444,18.398,29.368,17.99,29.704,19.38,35.631
56,12.912,35.669,14.344,27.93,14.344,26.444,18.398,29.368,17.99,29.704,19.38,35.631
57,14.344,30.48,14.344,27.93,14.344,26.444,18.398,29.368,17.99,29.704,19.38,35.631
58,14.344,30.48,14.344,27.93,13.258,26.518,18.398,29.368,17.99,29.704,19.38,35.631
59,14.344,30.48,14.344,27.225,13.857,20.298,18.398,29.368,17.99,29.704,19.38,35.631
60,14.344,30.48,14.344,27.225,13.857,20.298,19.38,32.701,17.99,24.405,17.99,24.554
61,14.344,30.48,14.344,27.225,13.857,20.298,19.38,32.701,17.99,24.405,17.99,24.554
62,14.344,30.48,14.344,27.225,13.857,20.298,19.38,32.701,17.99,24.405,17.767,20.851
63,14.344,30.48,14.344,27.225,13.857,20.298,19.38,32.701,17.99,24.405,17.767,20.851
64,14.344,30.48,14.344,27.225,13.857,20.298,19.38,32.701,17.99,24.405,17.767,20.851
65,14.344,30.48,14.344,27.225,13.857,20.298,19.38,31.886,17.767,23.324,17.767,20.851
66,14.344,30.48,14.344,27.225,13.857,20.298,19.38,31.886,17.767,23.324,17.767,20.851
67,14.344,30.48,14.344,27.225,13.857,20.298,18.318,29.522,17.767,20.851,17.767,20.851
68,14.344,30.48,14.344,27.225,13.857,20.298,18.318,29.522,17.767,20.851,17.767,20.851
69,14.344,30.48,14.344,27.225,13.857,20.298,18.318,29.522,17.767,20.851,17.767,20.851
70,14.344,27.93,14.344,24.828,13.857,20.298,18.318,29.522,17.767,20.851,17.767,20.851
71,14.344,27.93,14.344,24.828,13.857,20.298,18.318,29.522,17.767,20.851,17.767,20.851
72,14.344,27.93,14.344,20.298,13.857,18.871,18.318,29.522,17.767,20.851,17.767,20.851
73,14.344,27.93,14.344,20.298,13.857,18.871,18.318,29.522,17.767,20.851,17.767,20.851
74,14.344,27.225,14.344,20.298,13.857,18.871,18.318,29.522,17.767,20.851,17.767,20.851
75,14.344,27.225,14.344,20.298,13.857,18.871,18.318,29.522,17.767,20.851,17.767,20.851
76,14.344,27.225,14.344,20.298,13.857,18.871,18.176,23.324,17.99,24.554,15.966,19.678
77,14.344,27.225,14.344,20.298,13.857,18.871,18.176,20.851,17.99,24.554,15.966,19.678
78,14.344,27.225,14.344,20.298,13.857,18.871,18.176,20.851,17.99,24.554,16.62,20.01
79,14.344,27.225,14.344,20.298,13.857,18.871,18.176,20.851,17.99,24.554,16.62,20.01
80,14.344,27.225,14.344,20.298,13.857,18.871,18.176,20.851,17.99,24.554,16.62,20.01
81,14.344,27.225,14.344,20.298,13.857,18.871,18.176,20.851,17.99,24.554,16.62,20.01
82,14.344,27.225,14.344,20.298,13.857,18.871,16.928,20.851,17.99,24.554,16.62,20.01
83,14.344,27.225,14.344,20.298,13.857,18.871,16.928,20.851,17.99,24.554,16.62,20.01
84,14.344,27.225,14.344,20.298,13.857,18.871,16.928,20.851,17.99,24.554,16.62,20.01
85,14.344,27.225,14.344,20.298,13.857,18.871,16.928,20.851,15.781,19.98,15.228,17.101
86,14.344,27.225,14.344,20.298,13.857,18.871,16.928,20.851,15.781,19.98,15.228,16.738
87,14.344,27.225,14.344,20.298,13.857,18.871,16.928,20.851,15.781,19.98,15.228,16.738
88,14.344,27.225,14.344,20.298,13.857,18.871,16.928,20.851,15.781,19.98,15.228,16.738
89,14.344,26.116,14.344,20.298,13.51,15.547,15.781,17.558,15.781,19.98,15.228,16.738
90,14.344,26.116,14.344,20.298,13.51,15.547,15.781,17.558,15.781,19.98,15.228,16.738
91,14.344,26.116,14.344,20.298,13.51,15.547,15.781,17.558,15.781,19.98,15.228,16.738
92,14.344,26.116,14.344,20.298,13.51,15.547,15.781,17.558,15.781,19.98,15.228,16.738
93,14.344,26.116,14.344,20.298,13.51,15.547,15.781,17.58,15.781,19.071,14.943,15.648
94,14.344,26.116,14.344,20.298,13.51,15.547,15.781,17.58,15.781,19.071,14.943,15.648
95,14.344,26.116,14.344,20.298,13.51,15.547,15.781,17.58,15.781,19.071,14.943,15.648
96,14.344,26.116,14.344,20.298,13.51,15.547,15.781,17.58,15.781,19.071,14.943,15.648
97,14.344,26.116,14.344,20.298,13.51,15.547,15.781,17.58,15.781,19.071,14.943,15.648
98,14.344,26.116,14.344,20.298,13.51,15.547,15.781,17.58,15.781,19.071,14.943,15.648
99,14.344,26.116,14.344,20.298,13.51,15.547,15.781,17.58,15.781,19.071,14.943,15.648
100,14.312,26.444,14.312,20.666,12.608,13.672,15.781,17.58,15.781,19.071,14.943,15.648
