Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr
0,1.009,0.0,3.84,0.0,0.87,0.0,1.029,0.0,3.888,0.0,0.87,0.0
1,66.579,137.882,63.773,104.828,75.246,185.846,51.508,227.426,60.354,81.544,48.927,178.647
2,31.169,61.856,61.52,152.619,52.333,104.116,49.585,126.39,42.443,76.485,55.247,100.907
3,25.786,43.204,32.431,98.924,54.962,103.238,22.523,54.054,44.701,86.63,42.443,85.356
4,25.786,43.204,36.248,92.072,54.962,116.77,29.806,65.798,28.831,68.228,42.443,85.586
5,25.786,41.582,29.439,100.647,43.824,78.327,33.691,45.325,39.7,68.524,38.292,74.286
6,23.132,33.698,26.766,68.931,46.121,132.034,24.734,44.368,35.83,67.231,38.292,75.481
7,23.132,33.698,23.623,54.555,35.685,120.818,25.912,40.691,21.504,69.521,28.831,61.705
8,23.132,33.698,20.328,44.375,48.604,144.252,20.907,39.034,31.052,66.799,24.917,39.953
9,23.132,33.698,20.837,54.861,44.235,78.971,25.185,44.93,29.307,51.924,27.128,41.602
10,23.132,33.753,20.837,43.148,44.235,81.648,25.185,44.93,29.307,51.924,27.467,52.371
11,18.675,22.903,19.38,44.734,31.313,93.214,24.331,36.071,17.755,58.995,25.837,42.439
12,18.675,17.268,20.056,38.126,23.275,36.43,24.331,38.788,15.039,28.74,25.837,43.111
13,17.742,17.176,20.901,38.433,19.903,44.888,24.331,38.788,14.411,28.654,27.337,43.129
14,17.742,17.176,20.901,38.433,21.96,44.882,21.044,39.851,14.411,32.493,24.787,42.992
15,17.742,17.176,20.901,40.343,21.96,44.541,21.044,37.134,13.593,38.955,21.354,44.248
16,19.261,18.022,15.837,36.642,17.843,40.156,21.044,37.134,13.593,38.955,21.354,43.454
17,17.832,18.153,15.837,31.66,16.453,34.338,21.044,37.134,13.593,38.955,21.354,43.454
18,17.832,18.153,15.837,31.66,17.843,33.899,21.044,37.134,13.593,38.955,24.375,34.582
19,17.742,16.804,14.994,32.668,17.843,21.988,20.048,40.143,13.954,34.037,25.744,61.468
20,17.742,16.804,15.955,30.204,17.843,32.765,21.044,40.143,12.869,34.037,25.744,61.468
21,17.742,16.804,15.955,30.204,17.843,32.765,20.048,35.28,14.957,40.921,19.899,56.521
22,17.742,16.804,15.955,25.619,17.843,32.765,21.044,37.426,13.872,41.982,19.899,56.989
23,17.742,16.928,15.955,17.688,17.843,34.272,20.048,33.477,12.893,41.982,22.43,56.768
24,14.367,17.446,17.727,18.868,17.843,23.473,20.048,33.477,12.869,40.523,22.43,32.556
25,15.187,21.969,17.012,18.466,18.688,24.211,21.044,33.309,14.483,32.007,21.981,31.162
26,15.187,21.969,17.012,18.466,18.688,24.211,22.118,25.099,16.866,24.626,17.484,37.863
27,15.187,21.969,17.012,18.868,18.688,17.393,21.305,21.574,16.866,24.626,17.484,41.97
28,15.187,21.969,17.012,18.868,18.688,17.393,21.305,21.574,17.553,24.748,19.048,42.559
29,15.187,21.969,17.012,18.868,18.688,27.135,21.305,21.574,17.553,24.748,19.048,42.559
30,15.187,21.969,17.012,18.401,19.004,31.37,21.305,21.574,17.553,24.748,19.048,42.559
31,15.187,21.969,17.012,18.401,19.004,31.763,21.305,21.574,17.553,24.748,20.605,40.165
32,11.985,17.669,16.563,17.838,19.004,31.951,19.306,20.471,17.058,24.581,19.031,39.24
33,11.985,17.669,16.563,17.838,18.688,32.604,19.501,21.903,14.483,24.992,20.605,39.595
34,11.985,17.858,16.563,18.442,15.952,29.197,19.501,21.903,17.553,23.147,17.484,40.669
35,11.985,17.858,16.563,18.442,15.952,29.197,21.305,20.969,17.058,24.581,17.484,40.669
36,11.985,17.858,15.506,16.095,15.21,27.788,21.305,21.165,17.058,20.374,14.691,40.824
37,11.985,16.829,16.654,18.777,13.443,28.962,20.033,21.317,17.058,20.242,14.443,38.796
38,11.985,17.352,16.654,18.777,13.443,28.962,20.033,21.317,14.045,21.047,14.826,34.746
39,12.891,17.396,15.506,16.188,14.032,30.565,17.755,21.317,14.565,21.047,15.046,27.745
40,11.386,15.041,14.063,14.947,18.929,35.928,17.755,21.317,14.565,21.047,15.046,27.745
41,11.386,15.041,14.063,14.947,18.929,35.928,17.755,21.317,15.203,21.23,14.408,25.618
42,11.386,15.041,14.063,14.947,18.929,35.928,20.033,20.956,13.895,21.23,14.592,24.869
43,11.386,15.041,14.063,14.947,18.929,35.928,20.033,20.956,13.337,20.928,14.813,24.946
44,11.386,15.041,13.76,12.556,18.929,35.928,20.033,20.956,13.337,20.928,14.813,24.946
45,11.386,15.041,13.76,12.556,18.929,35.928,20.033,20.956,13.337,21.298,15.302,20.595
46,11.386,15.041,13.76,12.556,18.929,35.928,20.033,21.859,13.895,21.298,14.628,20.595
47,10.409,15.198,13.76,12.556,16.567,22.003,20.033,21.859,13.895,21.298,14.628,20.595
48,10.409,15.198,13.76,12.556,14.032,29.878,17.755,21.317,13.337,21.629,14.832,20.894
49,10.409,15.198,13.76,12.148,14.032,31.614,16.898,21.341,13.895,21.379,14.832,25.019
50,10.409,15.198,13.76,12.148,14.032,31.614,17.755,21.317,13.337,21.629,14.832,20.839
51,10.409,15.198,13.013,12.364,14.35,19.032,17.755,21.317,13.337,21.629,14.832,20.839
52,10.409,15.198,13.013,12.364,14.35,19.032,17.755,21.317,13.337,21.629,14.832,20.839
53,10.409,15.198,13.013,12.364,14.35,19.032,17.755,21.317,13.337,21.629,14.832,24.964
54,10.409,18.094,14.063,11.346,14.35,20.609,17.755,21.317,13.337,21.629,14.832,20.839
55,9.841,13.629,13.013,13.132,14.35,19.032,17.755,21.317,13.337,21.629,14.832,20.839
56,9.841,12.646,14.063,16.841,13.886,17.119,16.898,20.383,12.981,21.866,15.302,21.677
57,9.841,12.646,14.063,16.146,13.139,17.414,16.898,20.383,12.981,21.866,15.302,21.677
58,9.841,12.646,14.063,16.146,13.456,18.754,16.898,22.097,12.981,16.498,14.832,19.401
59,9.841,12.646,14.063,16.146,13.456,18.754,16.898,20.383,12.981,17.913,14.832,19.587
60,9.841,12.646,12.68,17.405,14.506,16.879,16.898,20.786,13.277,16.03,15.302,19.902
61,9.841,12.646,12.68,17.405,14.506,16.879,16.898,20.786,13.277,16.03,16.866,19.964
62,9.841,12.646,12.68,17.405,14.506,16.879,16.898,20.786,13.277,16.03,16.866,19.964
63,9.841,12.646,12.68,17.405,14.506,16.879,16.898,20.786,13.277,16.03,13.43,19.747
64,10.391,12.134,11.294,18.233,14.506,16.879,16.898,23.379,13.277,15.054,15.302,19.747
65,10.391,12.134,10.307,18.645,14.506,16.465,16.898,27.357,13.337,15.366,13.43,21.314
66,9.422,12.17,9.963,17.137,14.057,17.546,16.898,27.357,13.337,15.366,13.43,21.314
67,9.422,12.17,9.963,17.137,14.057,17.546,16.898,27.357,13.337,15.366,15.302,21.314
68,9.422,12.17,9.963,17.137,14.057,17.546,16.898,27.357,13.337,15.366,15.302,21.314
69,9.422,13.43,10.307,16.926,14.057,17.546,16.898,27.357,13.337,15.366,15.302,21.314
70,9.422,13.43,10.307,16.926,14.057,17.546,16.898,19.832,13.277,15.366,15.302,21.572
71,9.422,13.43,10.871,12.747,14.35,20.167,15.627,20.868,13.728,14.777,13.222,20.368
72,9.795,12.763,10.307,13.06,14.057,17.528,15.627,20.868,13.728,14.777,13.222,20.368
73,9.795,12.763,10.307,13.06,14.057,17.528,15.627,20.868,13.728,14.26,13.222,20.44
74,9.795,12.763,10.307,13.06,14.057,17.528,14.144,21.351,13.277,11.748,13.222,17.296
75,10.345,12.626,10.505,12.958,14.506,12.679,14.144,21.351,13.277,11.748,14.832,15.814
76,11.078,12.157,10.505,12.863,14.506,12.883,14.144,20.649,12.959,11.169,11.185,17.224
77,11.078,12.157,10.505,12.863,14.506,12.883,17.471,20.408,12.643,11.169,12.497,17.224
78,11.078,12.157,10.505,12.863,14.506,12.883,17.471,20.408,12.643,11.169,10.949,16.881
79,11.078,12.157,11.927,12.324,12.914,13.037,17.471,20.408,12.643,11.169,10.949,16.881
80,11.078,12.157,11.927,12.324,10.859,12.442,17.471,20.408,12.643,11.169,10.949,16.881
81,10.409,12.295,12.456,11.059,10.859,13.281,15.492,20.526,12.643,11.829,10.949,16.881
82,10.409,12.295,11.927,10.731,12.877,12.152,15.492,20.526,12.643,12.195,10.949,16.881
