Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr
0,1.113,0.0,3.637,0.0,1.132,0.0,2.171,0.0,1.075,0.0,3.506,0.0,1.087,0.0,2.093,0.0
1,969.96,174.078,26.44,1.463,4789.759,734.126,0.267,0.017,899.552,116.513,26.011,1.242,4564.54,994.774,0.288,0.005
2,674.756,59.294,23.895,0.666,2869.502,261.855,0.267,0.012,640.295,95.509,23.239,0.652,3210.507,513.928,0.291,0.013
3,510.309,39.785,22.038,0.58,2132.712,258.428,0.259,0.007,526.671,67.014,21.384,0.765,2354.575,405.013,0.289,0.016
4,439.224,46.728,20.941,1.084,1785.232,395.355,0.261,0.021,425.879,74.25,20.491,1.031,1752.134,332.728,0.289,0.02
5,350.634,36.825,19.754,0.769,1477.743,252.516,0.263,0.02,361.139,65.93,19.297,0.872,1507.769,241.478,0.298,0.027
6,312.109,30.465,18.975,0.542,1290.294,125.878,0.268,0.032,305.137,65.906,18.828,0.763,1281.686,71.356,0.288,0.02
7,275.594,24.792,18.352,0.443,1137.8,114.915,0.265,0.037,268.541,56.717,18.173,0.737,1137.839,222.821,0.284,0.023
8,250.646,19.66,17.828,0.419,1040.037,82.626,0.26,0.035,241.965,47.522,17.672,0.657,983.495,232.748,0.285,0.013
9,233.586,22.512,17.31,0.809,887.221,168.523,0.255,0.034,224.263,63.508,17.09,0.716,883.157,156.676,0.284,0.013
10,219.679,14.099,17.151,0.699,822.71,154.63,0.26,0.03,206.535,51.49,16.816,0.984,844.808,137.677,0.286,0.012
11,201.597,17.026,16.992,0.601,785.2,152.546,0.261,0.02,194.665,27.205,16.321,0.955,795.564,178.099,0.286,0.014
12,190.615,22.914,16.478,0.442,705.385,85.654,0.261,0.029,179.365,29.353,16.148,1.155,689.878,155.134,0.283,0.02
13,179.911,15.102,16.159,0.363,656.264,82.332,0.258,0.031,167.16,22.839,15.821,1.16,656.111,123.944,0.281,0.024
14,165.879,13.887,15.919,0.537,610.23,111.812,0.259,0.03,157.47,21.718,15.621,0.905,625.877,111.295,0.284,0.023
15,156.863,20.063,15.668,0.41,572.833,54.52,0.262,0.039,153.083,17.623,15.215,0.968,559.749,113.293,0.285,0.022
