Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr
0,3.141,0.0,2.532,0.0,33.139,0.0,2.909,0.0,2.445,0.0,30.33,0.0
1,0.578,287.627,0.611,291.315,0.559,258.23,0.58,369.919,0.559,355.043,0.559,355.041
2,0.607,248.153,0.601,231.383,0.568,234.251,0.56,253.151,0.573,264.462,0.563,249.448
3,0.602,238.288,0.6,231.958,0.6,231.958,0.55,244.791,0.593,243.842,0.582,250.447
4,0.584,228.025,0.596,228.025,0.61,226.373,0.558,226.926,0.581,221.983,0.581,217.854
5,0.61,220.822,0.605,220.835,0.603,220.833,0.576,214.688,0.573,209.353,0.582,209.481
6,0.605,220.835,0.598,220.818,0.59,220.742,0.579,214.702,0.582,209.565,0.588,208.873
7,0.603,220.836,0.596,220.836,0.596,220.804,0.582,209.481,0.591,208.826,0.589,209.462
8,0.594,225.594,0.595,212.292,0.595,209.927,0.582,209.481,0.588,204.428,0.585,204.363
9,0.594,212.26,0.595,209.927,0.595,209.927,0.585,204.431,0.579,204.202,0.579,204.202
10,0.594,212.234,0.595,209.918,0.595,209.869,0.585,204.431,0.573,201.105,0.573,201.105
11,0.597,209.956,0.583,209.943,0.583,209.865,0.585,204.258,0.584,201.212,0.584,201.212
12,0.587,209.956,0.583,207.341,0.583,207.29,0.584,201.114,0.578,200.195,0.597,195.765
13,0.587,207.397,0.583,207.341,0.583,207.29,0.578,200.096,0.585,190.213,0.601,190.142
14,0.587,209.234,0.583,209.22,0.583,209.136,0.578,200.096,0.6,190.161,0.597,188.94
15,0.583,209.22,0.583,207.355,0.585,207.271,0.578,198.834,0.596,189.537,0.597,189.489
16,0.576,209.073,0.568,207.078,0.581,207.022,0.585,195.74,0.594,189.41,0.594,189.41
17,0.578,209.073,0.579,207.682,0.579,209.74,0.585,195.74,0.597,189.41,0.594,189.41
18,0.578,209.073,0.588,203.578,0.588,204.246,0.594,191.777,0.597,189.492,0.594,189.586
19,0.579,207.682,0.588,204.246,0.588,200.291,0.596,193.397,0.597,189.017,0.597,188.989
20,0.577,208.543,0.588,204.246,0.597,200.0,0.596,193.397,0.597,189.028,0.597,188.997
21,0.577,208.543,0.588,204.246,0.597,200.0,0.596,193.397,0.597,189.028,0.597,185.662
22,0.577,208.543,0.588,200.291,0.597,200.069,0.596,193.397,0.597,189.028,0.594,185.662
23,0.577,208.543,0.588,200.291,0.597,197.725,0.581,195.375,0.597,188.997,0.603,181.414
24,0.577,208.543,0.594,199.945,0.592,197.725,0.598,186.842,0.597,181.396,0.603,181.414
25,0.577,208.543,0.594,199.945,0.586,197.725,0.598,186.842,0.597,181.396,0.603,181.414
26,0.577,206.154,0.589,197.601,0.576,197.725,0.598,186.842,0.597,181.396,0.603,181.414
27,0.591,200.441,0.589,197.61,0.576,191.693,0.594,186.354,0.596,181.414,0.603,181.455
28,0.594,200.045,0.604,192.894,0.599,190.412,0.598,184.688,0.603,181.455,0.603,181.437
29,0.605,199.149,0.604,192.894,0.59,190.463,0.598,184.688,0.603,181.455,0.59,181.415
30,0.605,199.149,0.604,192.894,0.59,190.463,0.601,181.358,0.603,181.455,0.59,181.415
31,0.605,197.66,0.604,192.894,0.59,190.463,0.601,181.358,0.603,181.455,0.597,181.415
32,0.604,192.96,0.599,192.894,0.59,190.463,0.601,181.358,0.603,181.439,0.597,181.415
33,0.604,192.96,0.56,192.894,0.59,190.385,0.595,181.396,0.603,181.415,0.597,181.415
34,0.601,192.96,0.565,192.894,0.603,190.411,0.595,181.396,0.603,181.415,0.603,181.437
35,0.601,192.96,0.565,192.894,0.603,190.411,0.61,181.396,0.603,181.437,0.597,181.437
