Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,s_hv_median,s_hv_iqr,s_spread_median,s_spread_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr,sw_hv_median,sw_hv_iqr,sw_spread_median,sw_spread_iqr
0,0.165,0.0,0.247,0.0,1.0,0.0,1.0,0.0,0.91766315,0.0,1.0,0.0,0.224,0.0,0.952,0.0,0.434,0.0,0.36046464,0.0,0.0,0.0,0.97631701,0.0
1,0.908,1.355,1.0,77.38,0.297,6.9,0.78519299,1.23181439,0.92691889,0.94128407,0.8613632,28.36253141,0.189,9.346,0.469,1.891,0.437,5.446,0.3275863,1.41750534,0.49520666,19.0812884,0.59853498,24.10129093
2,0.618,47.595,0.85,82.289,0.223,24.5,0.66563315,2.42657325,0.93938368,1.49873911,0.6680796,22.34160818,0.251,11.285,0.587,13.274,0.311,9.023,0.28334164,0.69592396,0.74567946,16.46016185,0.50894695,7.14372361
3,1.0,37.655,0.512,67.708,0.059,26.449,0.56134401,3.66731614,0.95585548,1.02388599,0.70289737,29.9502401,0.241,10.706,0.466,7.784,0.326,6.892,0.26498573,1.14461815,0.81835782,14.43865511,0.59691294,14.58615151
4,0.892,25.496,0.55,113.967,0.222,31.885,0.49511826,6.93332983,0.96710122,0.79249262,0.5779778,11.17457446,0.231,21.185,0.543,3.041,0.301,8.871,0.2300815,1.57390932,0.8385656,9.84995603,0.79867932,27.96264764
5,0.669,39.236,0.333,55.01,0.102,45.736,0.44346469,4.82182895,0.97261341,0.67460941,0.75252632,23.69462882,0.189,17.244,0.543,1.961,0.258,5.861,0.20556909,0.92084486,0.90618472,6.04049546,0.53335657,40.60366172
6,0.459,37.406,0.375,45.728,0.2,17.509,0.37683958,10.78747638,0.97802735,0.71391281,0.73062845,35.3285316,0.223,11.334,0.543,14.22,0.245,2.389,0.1863379,1.77463912,0.92512108,6.00216385,0.36339903,15.73382123
7,0.359,33.766,0.438,46.762,0.171,20.209,0.35171645,8.56694267,0.98218714,0.4300969,0.74948301,28.2408612,0.256,22.469,0.453,23.372,0.22,9.72,0.17342548,1.89921941,0.9423093,3.91090437,0.34106985,18.40346244
8,0.416,34.272,0.537,46.008,0.236,23.741,0.31624828,7.81095383,0.98510736,0.493641,0.73202913,12.76598366,0.182,14.235,0.416,17.775,0.213,9.853,0.15999758,1.71165404,0.95324893,3.15053473,0.26047993,6.43285066
9,0.246,20.327,0.393,35.62,0.17,24.751,0.2852946,6.86659541,0.98681285,0.45566031,0.75588499,24.17798316,0.216,6.381,0.441,23.478,0.15,8.11,0.15029113,2.15393252,0.96827654,2.2840513,0.30607893,12.48290267
