Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,s_hv_median,s_hv_iqr,s_spread_median,s_spread_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr,sw_hv_median,sw_hv_iqr,sw_spread_median,sw_spread_iqr
0,50.766,0.0,52.317,0.0,142.509,0.0,176.53489378,0.0,2104315114.4795,0.0,0.44788444,0.0,51.73,0.0,32.997,0.0,174.141,0.0,188.10076697,0.0,2021544560.851,0.0,0.52366089,0.0
1,22.969,2.3,31.828,16.816,86.679,19.282,156.26880337,5.76812837,2105511190.5204,753739.00257492,0.63733688,0.06125409,34.525,0.495,23.215,0.475,135.262,3.972,147.78359911,1.62381212,2046878044.1102,22774046.92554998,0.69728154,0.05148558
2,36.233,6.833,40.173,15.679,44.084,9.171,117.02951635,3.57723001,2107264569.6856,1564348.85329986,0.6735158,0.04581954,29.486,2.048,15.73,1.583,120.782,6.893,132.31971947,3.1178037,2076404353.77725,31081488.14032507,0.77947094,0.11138188
3,18.759,10.08,29.362,21.895,49.653,28.698,115.75251447,7.1974686,2108640433.044,1870179.71012497,0.76124123,0.04771147,23.871,6.339,12.985,2.614,95.697,8.904,120.13173749,6.62903579,2090478799.3652,14675567.6969502,0.78451,0.09053855
4,13.071,4.897,14.308,11.428,29.752,10.663,109.51941037,12.21815506,2109640311.8915,1050836.80712509,0.77936011,0.0625712,13.172,9.713,9.912,4.978,83.978,20.218,114.16928791,14.66928831,2098218616.2698002,13870635.859375,0.81509593,0.05277449
5,10.146,9.727,9.098,3.038,30.192,20.072,102.69755002,21.25226605,2110019589.74605,811123.42292523,0.76228714,0.06201474,12.308,4.199,7.383,4.813,72.739,33.815,111.19618601,23.56938834,2102066566.8811998,4798182.46062517,0.85873081,0.07243251
6,5.843,15.487,10.295,16.471,20.476,13.277,93.28758535,6.10118859,2110271254.3744001,458662.73710012,0.81609047,0.07727555,14.149,9.009,5.845,5.386,52.375,23.088,108.85158314,13.45762056,2105422211.70925,6143488.87444997,0.87832465,0.09417555
7,7.269,5.012,6.248,7.414,15.97,4.842,80.37420309,17.0394191,2110456746.6623,259413.94965005,0.83632181,0.09633651,8.477,4.585,4.693,5.996,49.536,14.505,97.86683223,31.98929178,2106569652.8408,3952781.05532527,0.88545471,0.09149108
8,4.016,8.337,4.498,6.899,14.043,7.653,74.74976606,13.03090565,2110548978.2984,166304.64685011,0.82476813,0.11375369,10.658,8.591,5.865,5.785,34.522,19.191,90.36418999,7.22763717,2108844892.98475,1453993.72790003,0.87267642,0.09010671
9,5.964,4.859,6.028,8.787,9.755,12.327,60.5650461,9.59966118,2110627302.86595,124079.33207512,0.81209013,0.14796898,8.045,5.774,5.995,7.289,25.074,1.624,74.85508506,13.9933507,2109345797.633,1521077.18009996,0.92173611,0.07534657
10,3.089,5.702,8.472,8.782,6.958,6.019,60.77802144,9.113596,2110670413.7620502,92835.77117515,0.87308673,0.06472159,8.747,4.45,7.703,8.543,20.395,5.749,66.83680768,14.01978009,2110062690.0512,780326.70435023,0.90986687,0.15610257
11,3.391,6.129,8.335,10.782,7.23,4.02,52.68465995,9.09527209,2110693109.72335,33183.98797512,0.8793398,0.14136063,5.328,6.309,3.551,7.805,19.227,7.206,62.80176764,18.06206225,2110341424.36585,374564.19350004,0.89307807,0.07707138
