Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,s_hv_median,s_hv_iqr,s_spread_median,s_spread_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr,sw_hv_median,sw_hv_iqr,sw_spread_median,sw_spread_iqr
0,1.0,0.0,0.907,0.0,0.577,0.0,1.0,0.0,0.69617486,0.0,-0.01372682,0.0,0.512,0.0,1.0,0.0,1.0,0.0,0.45075813,0.0,0.0,0.0,-0.01373278,0.0
1,0.532,8.467,0.615,3.055,0.15,34.206,0.7379817,5.35605516,0.73228122,4.47049787,-0.01348348,0.01122953,0.386,1.341,0.818,6.24,0.25,26.335,0.35320654,2.26931071,0.45010599,47.00340324,-0.01362966,0.00786366
2,0.4,7.348,0.45,6.238,0.059,38.857,0.65380841,2.973501,0.76603928,8.07809481,-0.01341997,0.00564209,0.314,2.765,0.759,12.102,0.212,22.038,0.28285916,3.63379673,0.51038861,32.48220427,-0.01356014,0.00373027
3,0.301,5.294,0.357,10.847,0.088,57.383,0.53744754,13.87213274,0.81290314,7.09472805,-0.01339721,0.01822491,0.276,2.343,0.685,8.025,0.115,31.911,0.24951706,4.80254046,0.57332561,20.45974645,-0.01351194,0.01224737
4,0.248,4.763,0.232,11.631,0.166,31.937,0.45049722,10.70357901,0.86031821,5.18170371,-0.01336329,0.00537807,0.227,1.47,0.614,7.569,0.131,39.569,0.22828936,5.03342779,0.73436457,15.25132091,-0.01352042,0.00969122
5,0.18,4.807,0.196,5.552,0.207,20.059,0.31374361,7.93102193,0.87505606,5.1006107,-0.01324007,0.00978547,0.212,2.665,0.528,14.805,0.13,29.164,0.20333121,5.18547263,0.79730814,7.39951526,-0.01349518,0.01138326
6,0.138,5.28,0.141,3.783,0.122,19.434,0.28168102,12.46460404,0.89216202,2.99806467,-0.01324791,0.01090602,0.203,5.545,0.454,23.801,0.241,15.892,0.18692216,7.53072125,0.83539277,6.71296141,-0.01353954,0.01307696
7,0.105,2.095,0.124,3.82,0.1,25.381,0.21828243,7.12662916,0.92026452,1.96179053,-0.01312706,0.01710661,0.172,6.508,0.379,11.439,0.012,22.006,0.16617991,4.69903615,0.84384877,10.16704368,-0.01349869,0.01094556
8,0.095,0.965,0.106,10.565,0.029,24.008,0.14718977,11.65689418,0.92471838,1.10638952,-0.01305161,0.02729476,0.146,6.239,0.269,14.013,0.187,32.359,0.15737658,4.24075288,0.87714647,6.51234499,-0.01349784,0.01028312
9,0.081,2.798,0.096,11.157,0.058,27.444,0.09323377,10.06316839,0.93216265,2.32164446,-0.01302323,0.0169779,0.136,3.814,0.22,11.082,0.161,30.095,0.14555648,2.09274489,0.87899369,5.83417082,-0.01343445,0.01272924
