Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr
0,1.0,0.0,0.926,0.0,0.761,0.0,0.992,0.0,0.996,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,0.155,2.978,0.45,9.525,0.058,2.852,0.0,0.0009,0.118,7.147,0.409,12.767,0.065,2.177,0.0,0.00042
2,0.06,8.3,0.256,26.132,0.028,1.152,0.0,0.00103,0.063,4.805,0.244,15.25,0.035,2.042,0.0,0.00029
3,0.053,3.314,0.239,14.08,0.019,1.195,0.0,0.00095,0.047,2.087,0.196,6.594,0.02,0.65,0.0,0.00033
4,0.029,3.201,0.181,4.702,0.015,1.478,0.0,0.00099,0.025,1.738,0.153,13.433,0.014,0.697,0.0,0.00031
5,0.03,2.136,0.19,4.619,0.014,1.166,0.0,0.00098,0.022,1.402,0.146,13.673,0.012,0.275,0.0,0.00034
6,0.03,2.141,0.183,7.807,0.013,1.166,0.0,0.00094,0.021,1.24,0.134,11.522,0.01,0.617,0.0,0.00032
7,0.021,1.899,0.183,6.227,0.01,0.666,0.0,0.00095,0.015,1.242,0.134,12.25,0.008,0.493,0.0,0.00031
8,0.021,1.534,0.16,9.27,0.01,0.612,0.0,0.00096,0.011,1.268,0.1,10.828,0.007,0.243,0.0,0.00043
9,0.015,1.138,0.16,10.031,0.007,0.542,0.0,0.00096,0.01,1.204,0.086,13.001,0.006,0.251,0.0,0.00045
10,0.015,1.138,0.145,10.441,0.007,0.57,0.0,0.00096,0.01,0.911,0.086,9.538,0.006,0.153,0.0,0.00045
11,0.013,1.174,0.119,14.423,0.006,0.42,0.0,0.00098,0.01,0.911,0.1,6.547,0.006,0.112,0.0,0.00034
12,0.011,1.072,0.106,12.315,0.005,0.318,0.0,0.00097,0.01,0.911,0.1,6.547,0.006,0.104,0.0,0.00035
13,0.01,1.062,0.123,11.085,0.005,0.258,0.0,0.00095,0.01,0.94,0.081,6.103,0.006,0.15,0.0,0.00038
14,0.01,1.062,0.123,11.085,0.005,0.258,0.0,0.00095,0.01,0.94,0.081,6.103,0.006,0.15,0.0,0.00038
15,0.01,1.072,0.113,10.332,0.005,0.258,0.0,0.00095,0.01,0.744,0.069,4.746,0.005,0.305,0.0,0.00042
16,0.012,1.177,0.097,9.616,0.004,0.23,0.0,0.00097,0.008,0.536,0.072,7.41,0.005,0.242,0.0,0.00042
17,0.011,0.909,0.097,13.574,0.003,0.291,0.0,0.00097,0.008,0.536,0.099,11.899,0.005,0.242,0.0,0.00043
18,0.011,0.909,0.097,13.594,0.003,0.291,0.0,0.00097,0.007,0.536,0.099,10.841,0.005,0.253,0.0,0.00043
19,0.009,0.949,0.078,13.135,0.003,0.311,0.0,0.00096,0.007,0.39,0.074,8.868,0.005,0.277,0.0,0.00041
20,0.009,0.949,0.078,13.135,0.003,0.311,0.0,0.00095,0.007,0.261,0.072,8.868,0.004,0.244,0.0,0.00044
