Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr
0,1.0,0.0,1.0,0.0,0.597,0.0,1.0,0.0,0.662,0.0,0.927,0.0,0.699,0.0,0.67512,0.0
1,0.838,8.361,0.809,3.302,0.0,21.099,0.0027,0.01975,0.568,2.533,0.803,4.704,0.358,35.13,0.00182,0.00727
2,0.741,8.062,0.654,5.246,0.3,38.362,0.00238,0.02503,0.535,1.506,0.695,8.876,0.716,65.401,0.00174,0.01024
3,0.524,9.905,0.575,1.524,0.455,49.03,0.00189,0.02484,0.51,4.275,0.632,2.902,0.661,54.821,0.00165,0.00593
4,0.441,8.778,0.503,6.322,0.682,41.705,0.00159,0.03623,0.469,3.726,0.569,7.599,0.735,52.097,0.00157,0.01033
5,0.327,7.013,0.461,6.813,0.694,31.502,0.00124,0.02231,0.435,3.623,0.575,8.053,0.76,53.263,0.00145,0.01545
6,0.289,11.75,0.423,8.216,0.797,35.741,0.0012,0.02499,0.42,2.973,0.486,4.408,0.765,37.146,0.00137,0.01819
7,0.236,7.344,0.371,11.831,0.872,39.467,0.00106,0.03053,0.388,6.124,0.461,7.634,0.853,39.297,0.00133,0.03557
8,0.197,7.25,0.35,6.358,0.82,73.166,0.00089,0.0352,0.382,8.014,0.438,6.159,0.863,51.903,0.00126,0.03704
9,0.185,5.556,0.329,5.634,0.625,49.606,0.00087,0.04787,0.373,12.001,0.436,4.936,0.706,62.554,0.00118,0.04729
10,0.168,1.88,0.298,6.389,0.738,49.493,0.00081,0.04447,0.355,11.917,0.437,9.251,0.758,75.566,0.00109,0.04703
11,0.161,2.436,0.273,6.033,0.628,54.382,0.00063,0.04115,0.337,12.023,0.407,6.092,0.88,67.122,0.001,0.04531
12,0.141,2.621,0.265,2.967,0.988,23.326,0.00055,0.0308,0.302,13.071,0.39,6.578,0.882,47.053,0.00092,0.04273
13,0.128,3.421,0.26,4.387,0.825,70.88,0.00053,0.02942,0.279,12.445,0.397,10.123,0.864,49.832,0.00086,0.04673
14,0.123,2.509,0.252,6.937,0.712,44.773,0.00056,0.02338,0.267,11.166,0.397,11.605,0.815,73.338,0.00083,0.04325
15,0.107,2.2,0.212,6.956,0.954,22.587,0.00044,0.03274,0.252,11.111,0.395,10.549,0.845,47.841,0.00082,0.04168
16,0.09,2.918,0.21,6.696,1.0,54.244,0.00033,0.02088,0.245,11.339,0.398,8.831,0.711,49.3,0.00078,0.03985
17,0.096,3.957,0.204,4.39,0.645,37.581,0.00033,0.02307,0.229,7.029,0.381,9.48,0.629,48.231,0.00072,0.03046
18,0.088,3.411,0.209,6.662,0.557,25.415,0.00031,0.0159,0.196,9.558,0.394,9.042,0.526,50.07,0.00064,0.03159
19,0.079,3.033,0.206,6.598,0.707,25.469,0.00026,0.00864,0.178,9.842,0.354,7.935,0.552,35.097,0.00062,0.02784
20,0.069,1.099,0.213,6.317,0.701,40.446,0.00022,0.01268,0.169,8.43,0.343,7.654,0.494,59.822,0.00056,0.02206
21,0.066,0.978,0.206,7.899,0.803,39.313,0.00023,0.01134,0.16,6.885,0.341,2.732,0.434,42.946,0.00051,0.02134
22,0.062,1.778,0.204,8.268,0.597,54.708,0.00022,0.01173,0.153,5.906,0.322,5.47,0.544,36.146,0.00048,0.01949
23,0.06,2.297,0.196,8.535,0.578,23.743,0.0002,0.016,0.146,4.8,0.332,5.46,0.538,19.605,0.00047,0.02084
24,0.061,2.068,0.197,8.514,0.525,46.6,0.0002,0.0131,0.148,4.931,0.316,6.629,0.53,33.468,0.00047,0.01303
25,0.059,2.675,0.177,9.951,0.539,63.329,0.00017,0.01195,0.134,2.336,0.316,5.987,0.568,39.079,0.00043,0.01586
26,0.049,2.182,0.189,7.219,0.447,33.178,0.00017,0.00993,0.123,3.911,0.31,4.915,0.601,42.231,0.00042,0.0062
27,0.05,1.608,0.184,6.427,0.46,43.678,0.00018,0.00581,0.12,3.567,0.298,4.812,0.533,50.932,0.00041,0.0027
28,0.048,1.758,0.162,8.261,0.473,46.603,0.00015,0.0072,0.114,2.683,0.313,3.076,0.547,44.282,0.00037,0.00968
29,0.046,1.475,0.155,9.931,0.459,52.47,0.00015,0.00656,0.116,2.949,0.308,5.583,0.411,25.475,0.00037,0.01117
30,0.042,1.202,0.154,4.958,0.467,53.536,0.00015,0.00686,0.103,3.279,0.301,5.976,0.432,40.983,0.00035,0.01042
31,0.043,1.231,0.151,4.292,0.385,29.615,0.00014,0.01171,0.103,3.287,0.284,6.57,0.498,48.357,0.00034,0.01371
32,0.043,1.339,0.15,2.922,0.355,22.128,0.00013,0.01158,0.096,2.048,0.284,6.793,0.502,21.845,0.0003,0.01548
33,0.039,1.996,0.136,3.953,0.281,27.247,0.00013,0.0109,0.094,2.668,0.256,7.606,0.622,26.496,0.0003,0.01619
34,0.038,1.911,0.128,6.882,0.329,31.192,0.00013,0.0112,0.09,1.35,0.243,10.15,0.62,53.677,0.00029,0.01662
35,0.04,2.106,0.122,3.704,0.364,43.011,0.00012,0.011,0.085,2.343,0.24,7.962,0.497,38.072,0.00027,0.00977
36,0.037,2.003,0.125,2.781,0.404,40.843,0.00011,0.009,0.089,2.641,0.249,8.297,0.666,39.856,0.00027,0.01113
37,0.036,2.824,0.119,5.107,0.56,64.826,0.00012,0.00903,0.081,2.442,0.267,7.624,0.644,39.665,0.00026,0.01414
38,0.037,2.917,0.122,5.679,0.5,56.227,0.00011,0.00938,0.079,3.104,0.273,6.11,0.494,28.77,0.00025,0.01608
39,0.034,3.466,0.118,4.759,0.428,53.092,0.00011,0.01176,0.085,3.401,0.261,6.72,0.456,9.253,0.00024,0.01761
40,0.033,3.446,0.12,6.438,0.431,44.399,9e-05,0.00938,0.082,2.728,0.249,6.17,0.493,12.392,0.00024,0.01553
41,0.028,3.124,0.121,5.437,0.473,56.048,9e-05,0.00935,0.083,2.843,0.243,5.901,0.422,23.029,0.00024,0.01435
42,0.018,2.956,0.118,3.291,0.541,40.247,9e-05,0.00935,0.081,4.33,0.25,5.311,0.49,38.81,0.00024,0.01192
43,0.017,2.94,0.111,3.264,0.476,37.449,8e-05,0.00855,0.078,4.35,0.217,4.052,0.487,26.391,0.00025,0.01298
44,0.017,3.413,0.116,3.168,0.39,37.59,7e-05,0.00879,0.075,4.474,0.211,5.718,0.644,51.159,0.00024,0.0148
45,0.016,3.599,0.115,3.761,0.36,19.105,7e-05,0.00899,0.071,3.263,0.222,7.416,0.701,44.765,0.00022,0.01245
46,0.013,3.115,0.125,5.312,0.287,22.152,7e-05,0.00764,0.071,3.177,0.209,8.243,0.619,41.257,0.00021,0.01256
47,0.013,3.11,0.118,2.455,0.317,20.891,6e-05,0.00495,0.063,3.489,0.241,8.421,0.614,48.169,0.0002,0.01253
48,0.012,3.227,0.108,2.435,0.389,20.289,6e-05,0.00429,0.061,1.881,0.257,8.716,0.7,43.326,0.0002,0.01187
49,0.013,2.56,0.099,4.055,0.419,23.061,6e-05,0.0042,0.063,1.932,0.228,5.134,0.798,32.035,0.0002,0.0121
50,0.017,3.471,0.093,4.893,0.398,26.338,6e-05,0.00392,0.066,1.94,0.216,6.06,0.757,33.442,0.00021,0.01113
51,0.016,3.497,0.092,3.502,0.441,17.058,6e-05,0.00392,0.066,1.484,0.213,5.252,0.675,28.74,0.00019,0.01021
52,0.016,3.149,0.093,3.518,0.361,37.385,5e-05,0.0051,0.062,1.545,0.204,6.8,0.664,48.339,0.00019,0.00964
53,0.015,3.144,0.099,5.573,0.357,7.212,5e-05,0.00502,0.066,1.533,0.222,7.76,0.744,47.318,0.00019,0.00777
54,0.016,3.067,0.092,4.282,0.32,23.07,5e-05,0.00482,0.064,1.468,0.229,8.46,0.575,39.318,0.00018,0.00789
55,0.018,2.741,0.083,2.719,0.356,22.089,5e-05,0.00455,0.065,1.226,0.192,8.046,0.587,59.485,0.00018,0.00799
56,0.017,2.901,0.083,4.367,0.348,18.417,5e-05,0.00406,0.068,1.286,0.2,8.582,0.536,22.732,0.00017,0.00634
57,0.016,2.059,0.089,4.875,0.313,39.926,5e-05,0.0041,0.063,0.818,0.193,8.714,0.517,36.728,0.00018,0.00649
58,0.017,2.142,0.081,6.377,0.383,37.976,5e-05,0.00466,0.063,1.323,0.199,8.517,0.493,28.641,0.00016,0.00576
59,0.017,1.915,0.077,6.814,0.401,33.871,3e-05,0.00521,0.061,1.43,0.19,9.101,0.531,22.119,0.00017,0.0045
60,0.01,1.55,0.072,4.882,0.332,36.457,3e-05,0.00506,0.061,1.389,0.193,10.006,0.518,38.008,0.00017,0.00497
61,0.012,1.729,0.072,5.198,0.373,39.77,3e-05,0.00488,0.061,1.389,0.184,7.674,0.539,44.935,0.00017,0.00617
62,0.008,1.287,0.073,4.658,0.263,44.406,3e-05,0.00494,0.061,1.038,0.174,9.467,0.621,43.697,0.00016,0.00474
63,0.007,1.401,0.056,3.446,0.253,35.615,3e-05,0.005,0.056,1.213,0.161,8.757,0.58,39.583,0.00016,0.00545
64,0.008,1.495,0.045,3.956,0.238,34.499,3e-05,0.00511,0.053,1.228,0.177,7.908,0.59,41.691,0.00015,0.00468
65,0.016,1.376,0.041,3.872,0.23,32.043,3e-05,0.00504,0.058,1.154,0.181,7.802,0.584,47.692,0.00015,0.00405
66,0.014,1.092,0.048,2.973,0.262,41.57,3e-05,0.0051,0.059,1.097,0.181,10.574,0.528,47.459,0.00014,0.00471
67,0.012,1.092,0.047,3.243,0.23,28.414,3e-05,0.00478,0.057,1.235,0.183,10.972,0.535,54.156,0.00014,0.005
68,0.012,1.028,0.042,3.51,0.26,38.735,3e-05,0.00503,0.06,1.1,0.181,10.949,0.577,50.533,0.00013,0.00485
69,0.015,1.003,0.039,4.367,0.294,38.794,3e-05,0.00458,0.059,0.957,0.173,10.712,0.601,26.501,0.00013,0.00499
70,0.011,1.059,0.038,3.286,0.232,47.427,3e-05,0.00486,0.057,0.985,0.156,9.74,0.544,50.499,0.00013,0.00595
71,0.01,0.949,0.04,2.105,0.232,53.817,3e-05,0.00493,0.057,1.486,0.173,7.765,0.544,45.287,0.00013,0.006
72,0.01,1.116,0.041,2.445,0.246,46.738,3e-05,0.00501,0.058,1.009,0.141,9.554,0.569,46.224,0.00012,0.00586
73,0.01,0.829,0.036,4.396,0.262,49.042,3e-05,0.00508,0.054,1.165,0.149,8.636,0.623,53.481,0.00012,0.00575
74,0.011,0.646,0.027,4.916,0.262,51.419,3e-05,0.00514,0.054,1.144,0.155,6.675,0.644,69.046,0.00011,0.00469
75,0.008,0.819,0.029,2.501,0.246,46.31,3e-05,0.00501,0.057,0.889,0.149,5.869,0.672,68.624,0.00011,0.00486
76,0.009,1.033,0.027,2.383,0.229,48.611,3e-05,0.00504,0.055,1.116,0.146,6.477,0.721,69.819,0.0001,0.00492
77,0.011,1.089,0.025,3.204,0.229,47.115,2e-05,0.00496,0.051,0.729,0.174,9.823,0.71,65.287,0.0001,0.00479
78,0.013,1.12,0.031,3.492,0.281,45.768,1e-05,0.00496,0.053,1.155,0.163,8.774,0.689,58.746,0.0001,0.00466
79,0.011,1.162,0.027,3.576,0.298,52.938,1e-05,0.00495,0.053,1.476,0.159,10.794,0.536,61.649,0.0001,0.00494
80,0.01,1.337,0.018,3.293,0.304,55.618,1e-05,0.00507,0.05,1.446,0.159,11.089,0.519,62.882,0.0001,0.00579
81,0.009,1.092,0.021,3.227,0.222,59.023,1e-05,0.00495,0.049,1.107,0.156,11.114,0.573,44.308,0.0001,0.00577
82,0.007,1.095,0.019,3.104,0.222,60.674,1e-05,0.00476,0.049,0.946,0.152,11.918,0.574,43.317,0.0001,0.00622
83,0.008,1.19,0.018,4.144,0.205,59.684,1e-05,0.00473,0.048,0.689,0.146,11.246,0.491,43.64,0.0001,0.00702
84,0.008,0.967,0.018,4.236,0.133,59.684,1e-05,0.00475,0.048,0.69,0.147,7.162,0.557,37.893,0.0001,0.00748
85,0.008,1.116,0.015,3.888,0.172,51.78,1e-05,0.00475,0.048,0.867,0.15,7.01,0.587,43.344,0.0001,0.00739
86,0.007,0.735,0.015,5.055,0.102,48.929,1e-05,0.00355,0.05,1.023,0.15,9.006,0.554,34.72,0.0001,0.00752
87,0.007,0.771,0.015,5.237,0.122,48.71,1e-05,0.00359,0.045,1.096,0.154,9.784,0.56,49.937,0.0001,0.00873
88,0.006,0.778,0.012,5.14,0.205,45.599,1e-05,0.00331,0.048,0.972,0.149,9.541,0.521,64.093,0.0001,0.00849
89,0.004,0.669,0.005,4.536,0.235,38.589,1e-05,0.00302,0.048,0.998,0.151,9.683,0.508,71.48,0.0001,0.00556
90,0.005,0.528,0.008,4.269,0.218,48.227,1e-05,0.00322,0.048,1.235,0.145,9.351,0.597,73.086,0.0001,0.00553
91,0.005,0.527,0.002,4.249,0.307,55.354,1e-05,0.00331,0.044,1.079,0.138,11.189,0.598,63.633,9e-05,0.0058
92,0.003,0.882,0.004,4.255,0.212,44.861,1e-05,0.00334,0.043,1.02,0.138,11.579,0.541,69.729,9e-05,0.00566
93,0.002,0.775,0.004,2.747,0.281,44.208,1e-05,0.00329,0.046,1.117,0.133,11.039,0.528,70.148,9e-05,0.00562
94,0.001,0.789,0.007,2.703,0.277,50.047,1e-05,0.00111,0.043,0.991,0.13,11.022,0.528,70.112,9e-05,0.00565
95,0.0,0.771,0.008,3.294,0.338,51.726,0.0,0.00111,0.04,1.131,0.137,11.428,0.528,73.944,9e-05,0.00564
96,0.0,0.974,0.007,2.988,0.326,48.188,0.0,0.00106,0.038,1.107,0.14,9.892,0.636,69.234,9e-05,0.00557
97,0.0,0.752,0.003,3.333,0.372,53.755,0.0,0.00121,0.036,1.431,0.134,8.938,0.613,65.529,9e-05,0.00373
98,0.001,0.368,0.002,2.479,0.399,64.029,0.0,0.00134,0.036,1.595,0.135,9.917,0.618,71.457,9e-05,0.0037
99,0.001,0.579,0.0,2.774,0.399,52.97,0.0,0.00139,0.037,1.256,0.136,8.854,0.526,63.113,9e-05,0.00267
100,0.001,0.578,0.0,2.62,0.36,50.682,0.0,0.0013,0.039,1.419,0.139,9.051,0.547,65.124,8e-05,0.00291
