Generation,s_o1_median,s_o1_iqr,s_o2_median,s_o2_iqr,s_o3_median,s_o3_iqr,s_igd_median,s_igd_iqr,sw_o1_median,sw_o1_iqr,sw_o2_median,sw_o2_iqr,sw_o3_median,sw_o3_iqr,sw_igd_median,sw_igd_iqr
0,0.951,0.0,1.0,0.0,0.839,0.0,1.0,0.0,1.0,0.0,0.882,0.0,1.0,0.0,0.95415,0.0
1,0.494,6.026,0.606,0.878,0.387,6.466,0.0,5e-05,0.495,7.108,0.619,3.204,0.36,6.217,0.0,3e-05
2,0.334,5.268,0.511,4.82,0.26,3.254,0.0,5e-05,0.355,4.303,0.515,2.72,0.233,2.839,0.0,4e-05
3,0.282,3.373,0.456,4.687,0.182,3.662,0.0,0.00013,0.298,4.636,0.442,4.144,0.167,3.964,0.0,5e-05
4,0.233,2.648,0.411,4.822,0.142,1.509,0.0,8e-05,0.239,3.867,0.386,5.862,0.141,4.272,0.0,8e-05
5,0.193,1.893,0.38,1.743,0.115,1.386,0.0,0.00013,0.187,3.662,0.355,2.639,0.104,1.958,0.0,9e-05
6,0.166,1.775,0.347,3.052,0.097,0.802,0.0,8e-05,0.162,3.89,0.326,3.864,0.085,1.499,0.0,0.00011
7,0.155,1.904,0.311,2.693,0.081,1.977,0.0,9e-05,0.141,3.135,0.295,4.662,0.076,0.997,0.0,9e-05
8,0.136,2.609,0.281,3.088,0.076,1.539,0.0,0.0001,0.118,2.191,0.28,5.356,0.064,0.665,0.0,9e-05
9,0.117,2.701,0.264,1.779,0.065,1.256,0.0,0.00015,0.105,1.599,0.254,4.202,0.056,0.955,0.0,9e-05
10,0.105,2.304,0.254,2.559,0.054,0.877,0.0,0.0002,0.094,1.824,0.247,3.721,0.051,1.145,0.0,0.0001
11,0.094,2.05,0.239,4.066,0.049,0.79,0.0,0.00023,0.088,1.952,0.233,2.235,0.048,0.846,0.0,9e-05
12,0.087,1.392,0.221,2.986,0.044,1.004,0.0,0.00021,0.082,1.412,0.215,3.688,0.043,0.891,0.0,9e-05
13,0.08,1.009,0.21,3.22,0.042,0.632,0.0,0.00024,0.075,0.939,0.213,3.414,0.041,0.856,0.0,7e-05
14,0.076,1.128,0.199,2.702,0.04,0.511,0.0,0.00025,0.072,1.052,0.201,2.795,0.038,0.764,0.0,6e-05
15,0.071,1.373,0.197,1.426,0.035,0.695,0.0,0.00024,0.065,0.92,0.203,2.741,0.035,0.516,0.0,7e-05
16,0.066,0.918,0.178,2.404,0.033,0.533,0.0,0.00025,0.064,1.192,0.189,2.493,0.033,0.333,0.0,7e-05
17,0.064,0.941,0.173,2.385,0.031,0.665,0.0,0.00027,0.061,0.967,0.182,2.345,0.031,0.218,0.0,9e-05
