,NSGAII_R,SPEA2_R
0,100.0,100.0
1,111.94155231,112.468422839
2,111.616469273,111.561479577
3,114.993079205,114.861861977
4,111.654394775,111.915879327
5,115.650356554,116.025659878
6,115.096114993,114.908330629
7,119.802956472,119.834363157
8,109.78913531,109.846101554
9,113.732711285,114.028091513
10,114.630040297,114.772245598
11,111.668592644,111.826374661
12,112.05571724,112.166896867
13,113.114541466,113.198374188
14,114.859134022,114.941854752
15,113.763282351,114.139877981
16,115.424093977,115.803413891
17,110.488627417,110.851853712
18,114.294541334,114.594131077
19,114.279411437,114.503607103
20,118.354041769,118.586235161
21,115.728478986,115.907789204
22,110.513496925,110.956155329
23,110.259265268,110.700790969
24,114.794787748,115.313292353
25,115.096066557,115.602714703
26,114.148354323,114.591047208
27,119.138694664,119.59717057
28,117.180434187,117.631374209
29,115.404430484,115.846564932
30,115.029521076,115.458846429
31,119.915793038,120.363526818
32,111.73767172,112.154870563
33,110.52592042,110.876002079
34,111.514123292,111.867335001
35,113.301246457,113.647116755
36,113.051555634,113.378533284
37,117.261358727,117.60051234
38,114.994949727,115.25533722
39,110.365048876,110.614952706
40,114.079489886,114.274151278
41,110.797625971,110.986687301
42,118.030954495,118.232358533
43,109.828657308,110.016065223
44,116.431184617,116.632038937
45,113.6708645,113.866957019
46,109.098977361,109.287182961
47,110.210797653,110.400921243
48,113.731813563,113.926587628
49,115.947219476,116.145787586
50,111.294654613,111.485254865
51,112.521369364,112.714070454
52,114.925935034,115.122743695
53,112.404825422,112.597316727
54,115.68496059,115.883069069
55,119.036957233,119.240805948
56,110.490575514,110.679788699
57,111.913780476,112.105430874
58,116.321048663,116.520246432
59,115.29487348,115.492313942
60,113.101703194,113.263282343
61,116.612574197,116.707027667
62,117.914472358,118.009253044
63,119.938022554,119.925202447
64,116.785270736,116.772787625
65,115.140548583,115.128241275
66,113.444342788,113.432216787
67,117.773012648,117.760423957
68,114.887043348,114.874763138
69,115.042430398,115.030133578
70,109.539119286,109.527410711
71,113.577060636,113.55057525
72,111.293117826,111.304998552
73,116.831141366,116.843613285
74,116.918463487,116.930944728
75,119.53003901,119.542799041
76,108.348028186,108.359594518
77,113.527367986,113.539487221
78,111.375745013,111.335171082
79,119.030594566,118.98723199
80,112.994004417,112.959625834
81,110.693837944,110.660159191
82,121.303599838,121.244519514
83,110.565396316,110.511545981
84,110.00582497,110.0797557
85,119.002182651,119.082159491
86,110.676257005,110.750638308
87,115.941956561,116.01987674
88,113.744958361,113.821402021
89,114.102318552,114.17900238
90,112.539072786,112.614706016
91,111.649242689,111.724277898
92,116.105320431,116.1833504
93,112.829386352,112.905214691
94,110.479272825,110.52476171
95,118.379561049,118.42830281
96,120.010583731,120.059997051
97,113.122838487,113.169415837
98,114.865956762,114.913251826
99,112.421350627,112.467639146
100,115.817167229,115.864853946
