,NSGAII_R,SPEA2_R
0,100.0,100.0
1,107.997179473,107.972323734
2,113.199154251,113.133132167
3,112.518947068,112.430603958
4,107.7141961,107.682179681
5,107.986649844,108.058538309
6,109.964239531,109.981754502
7,107.355987742,107.374068272
8,107.5639119,107.561133063
9,112.58566461,112.540025839
10,108.234233245,108.174654454
11,108.344138586,108.277266206
12,112.046171314,111.988759063
13,113.409185781,113.319724615
14,108.154891487,108.010302445
15,110.119690302,110.014924767
16,112.702980843,112.618262891
17,107.122218051,107.04081689
18,110.781291734,110.699322168
19,113.556416224,113.472400046
20,110.81446341,110.710843698
21,110.071783867,109.972208929
22,113.169650084,113.013885103
23,110.919656324,110.814096865
24,109.226764587,109.123121748
25,109.222996588,109.024456747
26,110.363119114,110.292904261
27,108.807466853,108.72759807
28,108.810495156,108.741673814
29,110.867545452,110.765015269
30,113.665749733,113.548128904
31,109.526669109,109.384241516
32,111.152166693,111.007486872
33,111.526049891,111.382306652
34,110.593234552,110.450693596
35,112.351530696,112.211274333
36,110.690369416,110.552186798
37,109.159851771,109.119115678
38,111.36394708,111.322606737
39,110.440488569,110.398242749
40,113.6605134,113.654274853
41,108.798718559,108.792746864
42,109.332036708,109.32603574
43,107.940511633,107.934587043
44,113.336409288,113.316671946
45,108.166474751,108.147628148
46,112.369085338,112.349506484
47,112.906181321,112.884502376
48,112.399413747,112.389984807
49,114.842607788,114.832973894
50,110.045472997,110.017854832
51,110.128059059,110.100420167
52,113.390218644,113.349368289
53,110.734211395,110.694317902
54,114.281704959,114.240533434
55,107.604731709,107.565965654
56,109.270263688,109.249388234
57,110.061718159,110.040038972
58,114.034178638,114.011716983
59,107.943874001,107.914424501
60,113.932910159,113.908524439
61,107.701738573,107.68252314
62,111.617749557,111.597835455
63,109.887261294,109.875140815
64,109.106488798,109.096751652
65,108.988252656,108.978526061
66,113.429905058,113.419782071
67,107.806524137,107.798627979
68,107.325032571,107.317521936
69,110.784427127,110.776177207
70,107.892060373,107.887229075
71,112.57845272,112.573411571
72,114.303169488,114.298051107
73,110.549309474,110.544359187
74,110.526280982,110.524621606
75,110.23354551,110.231890529
76,112.240529332,112.238844219
77,109.23578255,109.236078658
78,113.664338718,113.664472221
79,108.945465539,108.9455935
80,109.861078994,109.861287892
81,109.252732811,109.252940552
82,115.372036955,115.376313735
83,108.849987035,108.854007747
84,113.013437252,113.015233401
85,109.816256841,109.818002177
86,113.697437999,113.699245019
87,108.653780451,108.653946365
88,108.829823375,108.825835771
89,116.842619471,116.838338272
90,110.456596993,110.452549783
91,107.454079763,107.44794962
92,114.205782792,114.199267472
93,108.403357924,108.399064323
94,113.259815923,113.25532997
95,110.094866262,110.090070631
96,111.142932032,111.138090748
97,107.090853725,107.086188946
98,111.103350638,111.098511078
99,106.998831525,106.994170754
100,111.724354249,111.719487639
