,NSGAII_R,SPEA2_R
0,100.0,100.0
1,inf,inf
2,1005.38875317,1010.11125394
3,inf,inf
4,inf,inf
5,inf,inf
6,inf,inf
7,291.468271004,293.59555743
8,inf,inf
9,inf,inf
10,inf,inf
11,inf,inf
12,338.16926622,339.069832588
13,956.136004643,958.683120078
14,inf,inf
15,inf,inf
16,inf,inf
17,inf,inf
18,421.112536314,425.008162118
19,inf,inf
20,inf,inf
21,inf,inf
22,inf,inf
23,inf,inf
24,inf,inf
25,inf,inf
26,inf,inf
27,inf,inf
28,inf,inf
29,inf,inf
30,inf,inf
31,inf,inf
32,2076.35571837,2079.34505515
33,1735.74669874,1738.24565949
34,inf,inf
35,inf,inf
36,inf,inf
37,inf,inf
38,inf,inf
39,inf,inf
40,inf,inf
41,inf,inf
42,inf,inf
43,inf,inf
44,583.942184084,582.757824986
45,13346.2184212,13319.1494482
46,inf,inf
47,inf,inf
48,inf,inf
49,inf,inf
50,inf,inf
51,inf,inf
52,inf,inf
53,inf,inf
54,inf,inf
55,inf,inf
56,inf,inf
57,inf,inf
58,inf,inf
59,inf,inf
60,inf,inf
61,2692.46603545,2701.56361691
62,inf,inf
63,inf,inf
64,910.80917483,908.944525268
65,inf,inf
66,inf,inf
67,inf,inf
68,3372.11425431,3365.21071014
69,inf,inf
70,inf,inf
71,2129.943269,2124.73886633
72,inf,inf
73,inf,inf
74,inf,inf
75,inf,inf
76,inf,inf
77,932.472031071,933.837905815
78,inf,inf
79,inf,inf
80,inf,inf
81,inf,inf
82,inf,inf
83,inf,inf
84,9274.6653062,9261.53598244
85,inf,inf
86,3967.3898098,3961.77352678
87,inf,inf
88,inf,inf
89,inf,inf
90,inf,inf
91,inf,inf
92,inf,inf
93,inf,inf
94,inf,inf
95,inf,inf
96,inf,inf
97,806.650194742,805.508291373
98,inf,inf
99,535.195370719,534.437741946
100,inf,inf
