,NSGAII_R,SPEA2_R
0,100.0,100.0
1,134.397920756,114.908010098
2,125.880815968,121.976071121
3,219.093339066,192.393060933
4,144.67770908,143.921795601
5,122.394390732,106.602083508
6,123.00087732,115.362742311
7,147.617114513,93.0028847562
8,134.320922035,87.4252838987
9,137.885307944,73.8737239374
10,139.094999368,87.101172674
11,119.926007296,85.9322642278
12,137.665362885,79.5972977845
13,131.270861592,86.5133587092
14,133.803027975,91.7722839195
15,128.190300448,88.2208436635
16,123.449568627,85.3087059171
17,117.192808189,73.4991141966
18,109.444505637,82.8381971377
19,108.730195823,84.7438256827
20,121.303864666,106.986382564
21,109.1386326,92.9866133623
22,136.713361135,122.322956022
23,142.30261417,140.40076698
24,87.7033007219,89.7560863102
25,111.888915279,109.766876866
26,117.163039808,111.955061101
27,112.30744498,110.911466988
28,118.121843573,120.583666368
29,112.995372705,115.415967727
30,141.973257423,152.535485942
31,106.059607359,112.665876368
32,109.256441118,127.944684809
33,142.992784423,165.465721705
34,189.80882505,199.508721727
35,119.768510887,123.976129064
36,120.471103276,123.713959982
37,123.951078899,118.504174577
38,97.4058212635,91.463679815
39,132.465813129,122.214506141
40,140.994555885,127.463056638
41,150.902052696,132.48822976
42,133.897371651,130.814587131
43,98.6568068783,94.1756401735
44,109.791105074,103.419723675
45,101.755838214,96.5362209569
46,142.299698897,135.243380292
47,144.289165936,141.52054184
48,149.622946938,150.192761089
49,188.645610937,180.202370678
50,122.214836945,113.369686827
51,131.279810666,119.992207482
52,115.211332301,106.321534037
53,169.574151712,156.489674956
54,90.9356747406,93.5840297131
55,97.9129426102,101.816828084
56,88.497263294,93.126373889
57,147.735422382,155.042846322
58,159.835247744,167.911128329
59,166.23633341,172.443975146
60,107.825786689,110.73353633
61,105.552554719,109.712179147
62,100.663520236,101.816110996
63,168.784157455,167.300013248
64,121.836433913,122.425292056
65,99.072901744,96.0024076257
66,134.674903007,131.490743538
67,134.536873645,130.190758407
68,102.434125413,98.7755886837
69,118.249601247,119.781020133
70,137.376954774,140.74457546
71,136.148395802,137.874205353
72,153.00672007,144.481781663
73,127.103436035,116.567566659
74,178.888799041,167.22402502
75,145.368340057,142.558620494
76,125.466522181,123.041470469
77,98.6547298982,96.7479039382
78,109.589448999,107.471273758
79,112.905397359,101.100085956
80,163.632051474,145.194283084
81,128.840497256,106.924761583
82,137.762900508,120.247698304
83,323.194799656,287.218468937
84,114.27488982,102.470366364
85,116.970971648,106.12141616
86,140.238959506,126.7881717
87,127.986308778,116.115033886
88,139.638044693,126.686021701
89,131.230989205,119.526877633
90,107.051665956,99.6751525701
91,94.1141324985,88.0983831228
92,119.501911205,111.863382021
93,123.134514286,115.263790116
94,327.220956987,320.149054944
95,160.6662258,157.193905992
96,155.133755524,151.830230677
97,107.28916101,104.335067153
98,133.303065324,133.449575351
99,87.4721601768,85.8198192515
100,105.155962529,102.98339957
