Generation, o25, o50, o75, n25, n50, n75 
0,57.3165471112,57.3165471112,57.3165471112,2.99644611108,2.99644611108,2.99644611108
1,47.663552577,47.663552577,47.663552577,2.32338266936,2.32338266936,2.32338266936
2,42.6116410503,42.6116410503,42.6116410503,1.97113374314,1.97113374314,1.97113374314
3,36.3874850692,36.3874850692,36.3874850692,1.53714905252,1.53714905252,1.53714905252
4,29.7201688534,29.7201688534,29.7201688534,1.072264629,1.072264629,1.072264629
5,26.3178403254,26.3178403254,26.3178403254,0.835034312456,0.835034312456,0.835034312456
6,20.9725545864,20.9725545864,20.9725545864,0.462329614058,0.462329614058,0.462329614058
7,12.794704578,12.794704578,12.794704578,-0.107878092273,-0.107878092273,-0.107878092273
8,6.69401782969,6.69401782969,6.69401782969,-0.533253783221,-0.533253783221,-0.533253783221
9,0.0,0.0,0.0,-1.0,-1.0,-1.0
